record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-04 08:20:29,385,2520,19,5,5,2806,224,61,5,1,0,0,524,373,99,94,135,85,0,27,3,4376,0,1,0,19,374,5,0
2025-08-04 09:25:11,166,160,10,3,11,228,310,33,37,1,0,2,398,219,11,10,46,39,0,52,66,2619,20,1,0,10,465,17,0
2025-08-04 10:25:11,162,0,0,0,0,0,0,0,0,0,0,0,21,15,0,0,7,1,0,0,164,7530,24,0,0,0,0,0,0
2025-08-04 11:25:11,16,0,2,0,0,0,0,0,0,0,0,0,58,33,0,0,8,6,0,0,42,6979,11,0,0,2,20,0,0
2025-08-04 12:25:11,95,0,0,0,0,0,0,0,0,0,0,0,16,9,0,0,3,6,0,0,111,7388,17,0,0,0,0,0,0
2025-08-04 13:25:11,104,1,4,0,1,2,19,6,14,1,0,0,189,131,0,0,15,32,0,7,113,6106,35,0,0,4,174,2,0
2025-08-04 14:26:06,253,194,4,0,4,247,264,24,35,1,0,0,223,118,0,0,12,3,0,7,89,4134,14,0,0,4,394,14,0
2025-08-04 15:26:13,182,114,34,0,19,163,123,38,68,1,0,0,419,267,0,1,59,8,0,16,33,1414,12,0,0,34,484,3,0
2025-08-05 01:04:40,907,1065,9,0,7,1349,17,13,48,1,0,1,284,210,0,0,41,22,0,45,125,4338,34,0,0,9,327,1,0
2025-08-05 02:04:40,175,88,16,0,10,129,16,5,2062,1,0,0,343,199,0,0,57,88,0,38,1983,2044,113,0,0,16,164,0,0
2025-08-05 03:04:40,175,13,11,0,3,60,76,2,1299,1,0,0,228,82,0,0,18,70,0,122,1564,1478,71,0,0,11,413,0,0
2025-08-05 05:13:24,421,11622,33,0,0,8318,7,5,35545,1,0,0,374,256,0,0,51,30,1,90,307,11027,36,0,2,33,496,0,0
2025-08-05 06:13:24,105,1156,12,0,0,407,854,2,1430,1,0,0,208,60,0,0,31,10,0,15,1,2179,2,0,0,12,1657,0,0
2025-08-05 07:13:24,285,358,25,0,0,414,997,15,111,1,0,0,348,87,46,45,15,4,0,5,31,2278,2,0,0,25,357,47,0
2025-08-05 08:13:24,354,282,52,0,2,355,262,4,111,1,0,0,377,93,1,1,20,18,0,48,64,1214,7,0,0,52,335,11,0
2025-08-05 09:13:24,970,1208,7,0,0,1408,1081,13,442,1,0,0,373,146,5,4,15,41,0,14,461,2978,13,0,0,7,649,33,0
2025-08-05 10:13:27,540,633,12,0,5,743,542,5,344,1,0,2,404,182,14,15,23,83,0,14,576,1745,21,0,0,12,604,16,0
2025-08-05 11:13:27,269,200,13,0,7,276,205,28,1409,1,0,0,577,380,0,0,46,75,0,89,2278,1070,49,0,0,13,515,11,0
2025-08-05 13:03:51,114,24,8,0,7,65,49,24,2006,1,0,1,323,218,0,0,25,2,0,32,2104,1920,26,1,0,8,171,13,0
2025-08-05 14:03:51,71,0,0,0,0,73,0,0,5176,1,0,0,13,0,0,0,0,1,0,0,5322,81,39,0,0,0,2,0,0
2025-08-05 15:03:50,172,0,0,0,0,89,0,0,4884,1,0,0,1,0,0,0,0,0,0,0,5122,89,26,0,0,0,0,0,0
2025-08-05 17:11:11,0,0,0,0,0,81,0,0,5142,1,0,0,3,0,0,0,0,3,0,0,5284,89,20,1,0,0,34,0,0
2025-08-05 18:11:11,0,0,0,0,0,87,0,0,5629,1,0,0,0,0,0,0,0,0,0,0,5758,87,19,0,0,0,0,0,0
2025-08-05 19:11:11,0,0,0,0,0,92,0,0,5400,1,0,0,0,0,0,0,0,0,0,0,5562,92,17,0,0,0,0,0,0
2025-08-05 20:11:11,0,0,0,0,0,94,0,0,5347,1,0,0,0,0,0,0,0,1,0,0,5550,94,16,0,0,0,0,0,0
2025-08-05 21:11:11,0,0,0,0,0,87,0,0,5394,1,0,0,0,0,0,0,0,0,0,0,5634,87,14,0,0,0,0,0,0
2025-08-05 22:11:11,0,0,0,0,0,100,0,0,5235,1,0,0,0,0,0,0,0,0,0,0,5536,100,14,0,0,0,0,0,0
2025-08-05 23:11:11,0,0,0,0,0,84,0,0,5397,1,0,0,0,0,0,0,0,0,0,0,5602,84,14,0,0,0,0,0,0
2025-08-06 00:56:37,54,0,0,0,0,1556,0,0,5315,1,0,0,4,0,0,0,0,2,0,0,5051,1556,12,1,0,0,0,0,0
2025-08-06 01:56:37,26,39,16,0,0,1003,5,23,2907,1,0,0,262,181,0,0,25,14,0,18,2962,1301,8,0,0,16,346,0,0
2025-08-06 02:56:37,994,1255,19,0,7,1475,1016,11,63,1,0,0,509,345,1,1,66,5,0,42,33,3515,0,0,0,19,526,0,0
2025-08-06 05:59:45,34,6,19,0,1,813,296,1,555,1,0,0,185,98,0,0,42,29,0,3,1032,1462,7,1,0,19,277,0,0
2025-08-06 06:59:45,3,0,0,0,0,2834,0,0,418,1,0,0,3,0,0,0,1,0,0,0,1248,3174,5,0,0,0,0,0,0
2025-08-06 07:59:45,0,0,0,0,0,2421,0,0,253,1,0,0,0,0,0,0,0,0,0,0,759,3242,3,0,0,0,0,0,0
2025-08-06 08:59:45,507,626,5,0,1,2182,1166,0,2618,1,0,0,71,21,3,2,12,2,0,8,2683,4350,23,0,0,5,273,1,0
2025-08-06 09:59:45,378,151,5,0,0,1379,808,3,3825,1,0,0,63,24,0,1,15,49,0,13,3260,2739,21,0,0,5,438,3,0
2025-08-06 10:59:48,0,0,0,0,0,1829,0,0,5451,1,0,0,0,0,0,0,0,60,0,0,4372,1829,24,0,0,0,0,0,0
2025-08-06 12:33:36,785,583,2,0,0,1900,1227,0,3940,1,0,0,54,16,0,0,8,2,0,0,4052,3768,17,1,0,2,270,0,0
