record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-06 23:40:39,243,178,3,0,1,189,58,0,7,1,0,2,102,81,0,0,17,81,0,2,12,486,1,0,0,3,102,0,0
2025-07-07 00:54:58,54,56,37,0,0,68,0,1,21,1,0,0,88,75,0,0,17,15,0,0,20,238,2,1,0,37,133,0,0
2025-07-07 06:27:52,228,228,9,0,0,330,144,9,8,1,0,0,269,232,0,0,21,8,0,7,20,804,3,0,0,9,423,132,0
2025-07-07 10:39:01,948,624,7,0,0,875,59,0,60,1,0,2,252,184,0,0,38,58,0,5,8,1653,2,0,0,7,523,0,0
2025-07-07 12:22:52,791,654,8,0,0,874,352,22,24,1,0,5,371,230,25,30,47,78,1,21,45,2333,9,0,1,8,546,13,0
2025-07-07 14:44:49,169,0,0,0,0,0,0,0,0,0,0,0,14,6,0,0,4,2,0,0,170,407,12,0,0,0,2,0,0
2025-07-07 16:11:33,580,267,2,0,0,331,137,21,32,1,0,0,262,210,0,0,21,10,0,6,126,1400,7,0,0,2,210,20,0
2025-07-07 17:18:04,161,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,165,352,7,0,0,0,0,0,0
2025-07-07 18:18:11,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,356,8,0,0,0,0,0,0
2025-07-07 19:18:11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,376,7,0,0,0,0,0,0
2025-07-07 20:18:11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,356,8,0,0,0,0,0,0
2025-07-07 21:18:21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,362,5,0,0,0,0,0,0
2025-07-07 22:18:21,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,358,6,0,0,0,0,0,0
2025-07-07 23:18:21,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,344,6,0,0,0,0,0,0
2025-07-08 00:18:21,437,253,2,0,0,297,84,11,1,0,0,0,296,252,0,0,21,44,0,73,96,1091,5,0,0,2,178,14,0
2025-07-08 01:18:21,391,252,8,1,0,283,54,9,30,1,0,0,415,354,0,0,21,68,0,12,117,1213,46,0,0,8,347,19,0
2025-07-08 02:24:26,662,393,0,9,0,442,109,13,2,0,0,14,270,228,0,0,7,60,0,7,142,1320,28,0,0,0,201,36,0
2025-07-08 03:59:03,997,621,4,0,0,692,179,7,1,0,0,2,395,354,0,0,21,16,0,4,202,2181,46,1,0,4,296,104,0
2025-07-08 05:35:10,2510,2854,11,0,0,3614,140,14,224,1,0,1,664,517,0,0,46,31,0,77,204,6134,37,0,0,11,751,16,0
2025-07-08 07:03:21,864,640,3,0,0,832,96,10,234,1,0,0,299,234,0,0,23,19,0,14,200,2237,18,0,0,3,946,24,0
2025-07-08 16:15:38,222,0,2,0,2,3,0,0,0,0,0,0,80,56,0,0,14,7,0,17,264,656,18,0,0,2,46,0,0
2025-07-08 17:15:38,541,189,2,0,0,198,0,2,7,1,0,2,212,148,0,0,31,10,0,58,179,1031,17,0,0,2,120,0,0
2025-07-08 18:37:19,288,73,0,0,1,121,0,0,2,1,0,0,48,31,0,0,17,3,0,11,254,802,24,1,0,0,71,0,0
2025-07-08 21:24:05,201,0,0,0,0,0,0,0,0,0,0,0,43,37,0,0,7,62,0,0,285,634,13,1,0,0,2,0,0
2025-07-08 22:24:05,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,311,648,17,0,0,0,0,0,0
2025-07-08 23:24:05,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,0,37,82,1,0,0,0,0,0,0
2025-07-09 00:24:05,479,308,3,1,0,394,120,8,9,1,0,0,341,293,0,0,15,89,0,68,8,1168,6,0,1,3,194,46,0
2025-07-09 02:19:24,516,234,7,0,0,247,6,13,73,1,0,0,264,206,0,0,12,7,0,9,281,1208,29,0,0,7,390,0,0
2025-07-09 04:07:37,354,83,2,0,0,86,8,1,4,0,0,0,78,48,0,0,0,2,0,0,256,795,45,1,0,2,56,0,0
2025-07-09 05:07:42,65,23,3,0,0,35,9,0,12,1,0,0,137,101,0,0,12,14,0,23,43,205,3,0,0,3,95,0,0
2025-07-09 06:09:25,998,739,6,0,0,881,101,6,63,1,0,1,264,207,5,5,21,16,1,20,282,2011,22,1,1,6,474,18,0
2025-07-09 07:09:28,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,648,18,0,0,0,0,0,0
2025-07-09 08:09:36,503,234,0,0,0,272,71,4,0,0,0,0,132,100,0,0,9,0,0,53,296,1217,14,0,0,0,88,0,0
2025-07-09 09:09:36,162,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,2,0,0,0,296,632,13,0,0,0,8,0,0
2025-07-09 10:09:36,25,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,196,426,8,0,0,0,0,0,0
2025-07-09 18:59:39,152,122,2,0,0,244,377,20,28,1,0,0,391,308,0,0,32,7,0,17,216,1527,13,0,0,2,202,14,0
2025-07-09 19:59:42,229,99,0,0,0,139,283,3,0,0,0,0,48,29,0,0,6,0,0,10,133,864,9,0,0,0,34,0,0
2025-07-09 20:59:42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,172,374,9,0,0,0,0,0,0
2025-07-09 21:59:42,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,364,7,0,0,0,0,0,0
2025-07-09 22:59:42,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,362,9,0,0,0,0,0,0
2025-07-09 23:59:42,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,356,8,0,0,0,0,0,0
2025-07-10 00:59:42,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,352,9,0,0,0,0,0,0
2025-07-10 01:59:42,837,492,8,0,2,653,82,6,9,1,0,0,439,337,0,0,56,69,0,87,164,1573,13,0,0,8,504,0,0
2025-07-10 02:59:42,3869,7542,11,0,0,4776,138,7,233,1,0,2,302,221,19,20,44,87,1,58,608,7873,4,0,1,11,704,4,0
2025-07-10 03:59:42,1234,2597,1,0,0,1799,35,10,189,1,0,0,126,92,0,0,17,62,0,7,296,3225,4,0,0,1,621,0,0
2025-07-10 04:59:48,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,164,362,8,0,0,0,0,0,0
2025-07-10 07:21:59,498,180,86,0,0,190,69,0,0,0,0,3,21,13,0,0,5,3,0,0,153,767,9,1,0,86,70,0,0
2025-07-10 08:22:04,54,0,0,0,0,0,0,0,0,0,0,0,35,28,0,0,12,0,0,0,172,365,7,0,0,0,0,0,0
2025-07-10 09:22:04,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,372,9,0,0,0,0,0,0
2025-07-10 10:22:27,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,370,6,0,0,0,0,0,0
2025-07-10 11:23:26,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,374,7,0,0,0,0,0,0
2025-07-10 12:23:38,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,356,5,0,0,0,0,0,0
2025-07-10 13:25:29,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,352,4,0,0,0,0,0,0
2025-07-10 14:26:11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,350,5,0,0,0,0,0,0
2025-07-10 15:26:10,26,0,0,0,0,0,0,0,0,0,0,0,52,43,0,0,0,0,0,10,166,401,6,0,0,0,12,0,0
2025-07-10 16:28:17,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,376,4,0,0,0,0,0,0
2025-07-10 18:53:33,21,0,2,0,0,0,0,0,0,0,0,0,114,89,0,0,10,13,0,50,177,384,7,0,0,2,40,0,0
2025-07-10 19:53:33,519,233,0,0,0,272,67,0,2,0,0,0,118,100,0,0,8,1,0,40,247,954,6,0,0,0,116,0,0
2025-07-10 20:53:37,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,352,5,0,0,0,0,0,0
2025-07-10 21:53:36,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,354,5,0,0,0,0,0,0
2025-07-10 22:53:36,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,342,4,0,0,0,0,0,0
2025-07-10 23:53:36,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,352,4,0,0,0,0,0,0
2025-07-11 00:53:36,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,376,6,0,0,0,0,0,0
2025-07-11 01:53:36,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,342,5,0,0,0,0,0,0
2025-07-11 02:53:36,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,368,4,0,0,0,0,0,0
2025-07-11 03:53:36,470,248,2,0,0,320,104,12,9,1,0,0,338,297,0,0,19,46,0,81,326,1095,4,0,0,2,280,1,0
2025-07-11 04:53:50,1658,2266,10,0,0,1900,252,9,87,1,0,0,376,338,0,0,53,75,0,6,92,3583,0,0,0,10,1085,0,0
2025-07-11 05:53:50,230,84,6,0,1,85,21,4,13,1,0,1,98,67,0,0,8,65,0,31,178,496,4,0,0,6,262,0,0
2025-07-11 06:53:55,153,0,0,0,0,0,0,0,0,0,0,0,21,19,0,0,0,60,0,7,202,375,4,0,0,0,4,0,0
2025-07-11 08:06:55,616,299,6,0,0,388,136,9,26,1,0,0,301,279,0,0,45,34,0,7,242,1160,68,1,0,6,409,0,0
2025-07-11 09:07:16,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,348,18,0,0,0,0,0,0
2025-07-11 10:07:16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,364,13,0,0,0,0,0,0
2025-07-11 11:07:16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,162,330,13,0,0,0,0,0,0
2025-07-11 12:07:16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,350,9,0,0,0,0,0,0
2025-07-11 13:07:21,92,27,4,0,1,56,186,3,15,1,0,0,267,202,0,0,62,8,0,79,151,793,7,0,0,4,302,0,0
2025-07-11 14:13:12,513,257,2,0,0,328,90,22,80,1,0,0,387,305,0,0,71,0,0,28,46,1192,10,0,0,2,399,0,0
2025-07-11 15:17:27,862,591,7,0,0,609,185,2,146,1,0,0,177,114,0,0,67,48,0,25,87,1523,9,0,0,7,550,0,0
2025-07-11 16:23:53,261,75,0,0,0,75,2,0,16,1,0,0,19,15,0,0,3,61,0,4,158,527,26,0,0,0,38,0,0
2025-07-11 17:23:53,354,218,3,0,0,311,8,2,691,1,0,0,190,91,0,0,33,71,0,43,577,1228,9,0,0,3,782,1,0
2025-07-11 18:24:12,1381,1211,2,0,0,1471,156,5,486,1,0,0,295,207,0,0,43,63,0,25,201,2988,29,0,0,2,896,0,0
2025-07-11 19:24:12,733,424,1,0,0,536,410,7,88,1,0,0,131,95,0,0,21,61,0,12,100,1675,14,0,0,1,586,22,0
2025-07-11 20:24:12,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,169,372,19,0,0,0,0,0,0
2025-07-11 21:24:12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,157,336,13,0,0,0,0,0,0
2025-07-11 22:24:12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,170,370,11,0,0,0,0,0,0
2025-07-11 23:24:22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,166,350,13,0,0,0,0,0,0
