record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-06 19:21:41,896,782,56,0,0,872,138,3,52,1,0,0,480,369,10,10,36,6,1,54,43,1758,4,1,1,56,470,11,0
2025-07-06 21:14:16,12544,13928,1,0,0,14343,13,69,15,1,0,0,148,135,0,0,26,2,0,450,0,27060,7,1,0,1,208,0,0
2025-07-07 01:29:37,23660,23861,0,0,0,24150,29,10,23,1,0,0,228,130,0,0,39,12,0,6546,0,28453,5,1,0,0,171,23,0
2025-07-07 02:29:37,23860,28852,0,0,0,28852,0,0,0,0,0,0,0,0,0,0,0,0,0,7159,0,30057,3,0,0,0,0,0,0
2025-07-07 03:36:06,1750,2061,0,0,0,2061,0,0,0,0,0,0,0,0,0,0,0,1,0,250,0,2061,0,0,0,0,0,0,0
2025-07-07 04:40:54,634,819,0,0,0,819,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,821,0,0,0,0,0,0,0
2025-07-07 17:39:43,1117,6585,16,0,0,7542,37,0,222,1,0,0,319,129,0,0,11,11,0,37,51,15107,4,1,0,16,664,0,0
2025-07-07 20:28:29,46,96,6,0,0,195,70,28,282,1,0,0,242,101,0,0,39,7,0,21,439,756,7,1,0,6,1012,56,0
2025-07-07 21:28:29,60,35,10,0,0,44,218,4,161,1,0,0,233,36,0,0,18,0,0,9,78,672,1,0,0,10,649,121,0
2025-07-07 22:28:29,302,428,10,0,0,492,331,173,99,1,0,0,269,136,7,10,16,4,0,196,74,1865,3,0,0,10,710,24,0
2025-07-07 23:28:29,300,411,31,0,0,552,660,3,112,1,0,0,360,179,47,45,18,4,0,52,67,2378,2,0,0,31,1279,41,0
2025-07-08 01:51:14,13,2,7,0,0,6,2,0,22,1,0,0,4,1,0,0,14,4,0,1,6,51,0,1,0,7,136,0,0
2025-07-08 03:10:57,437,2459,7,0,0,3302,11,0,35,1,0,0,136,46,0,0,32,4,0,366,25,7655,2,0,0,7,249,0,0
2025-07-08 07:40:10,389,4079,8,0,0,4283,0,0,73,1,0,0,84,3,0,0,7,8,0,218,31,9444,2,0,0,8,283,0,0
2025-07-08 15:31:26,16,0,4,0,0,5,0,0,23,1,0,0,104,57,0,0,26,6,0,19,0,267,0,1,0,4,883,0,0
2025-07-09 13:33:27,1,0,1,0,0,5,0,0,2,1,0,0,11,5,0,0,2,2,0,0,0,551,0,1,0,1,124,0,0
2025-07-11 14:48:31,310,29,2,0,1,438,50,0,5738,1,0,0,183,156,0,0,11,2,0,194,9015,823,49,1,0,2,375,0,0
2025-07-11 22:48:39,189,221,17,0,0,365,3271,0,456,1,0,0,274,112,0,0,19,6,1,14,374,7175,2,1,1,17,776,7,0
2025-07-11 23:59:45,499,116,28,0,0,178,304,0,4145,1,0,0,251,124,0,0,28,2,0,49,6511,827,19,1,0,28,145,43,0
2025-07-12 00:59:45,364,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1042,0,4,0,0,0,0,0,0
2025-07-12 01:59:45,370,0,0,0,1,1,0,0,3,0,0,0,38,21,0,0,7,0,0,0,0,45,0,0,0,0,0,0,0
2025-07-12 02:59:45,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-12 03:59:45,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838,0,0,0,0,0,0,0,0
2025-07-12 04:59:48,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,0,1,0,0,0,0,0,0
2025-07-12 05:59:48,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-12 07:01:02,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-12 08:08:29,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-12 09:14:07,859,0,0,0,0,4,1,0,2368,1,0,0,81,68,0,0,2,0,0,167,1589,107,5,0,0,0,0,0,0
2025-07-12 23:06:10,148,0,0,0,0,2,0,0,1410,1,0,0,3,2,0,0,0,3,0,9,29807,5,59,1,0,0,0,0,0
2025-07-13 00:19:35,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12350,2,22,0,0,0,0,0,0
2025-07-13 02:07:26,473,112,8,0,4,207,616,17,21134,1,0,0,399,398,6,9,53,70,0,199,10049,1726,19,1,0,8,761,200,0
2025-07-13 03:16:16,431,12,7,0,5,41,42,2,12872,1,0,0,205,203,0,0,30,70,0,193,20032,379,34,0,0,7,567,19,0
2025-07-28 05:18:53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584,2,0,0,3,57,1,0,0,0,0,0,0
2025-07-29 05:29:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,55,1,0,0,0,0,0,0
2025-07-31 20:36:19,848,6,1,0,0,81,10,0,39940,1,0,0,106,91,0,0,7,3,0,63,15083,10451,12,1,0,1,59,5,0
2025-07-31 21:36:19,105,1,0,0,0,3683,1,0,11218,1,0,0,39,28,0,0,4,2,0,30,2234,30225,4,0,0,0,67,0,0
2025-07-31 22:36:19,59,0,2,0,0,4314,0,0,3828,1,0,0,25,18,0,0,6,4,0,16,1645,31675,0,0,0,2,31,0,0
2025-08-01 05:16:07,0,4,0,0,0,33,0,0,1,1,0,0,0,0,0,0,0,2,0,0,2,23622,1,0,0,0,4,0,0
