record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-04 10:49:44,192,158,52,0,0,654,14,9,161,1,0,3,96,61,0,0,33,63,2,0,129,887,14,0,2,52,713,0,0
2025-08-04 11:49:44,186,304,12,0,1,762,127,11,135,1,0,0,143,101,6,6,47,130,3,9,92,1398,5,0,3,12,917,2,0
2025-08-04 12:49:44,343,210,1,0,1,279,157,5,68,1,0,0,113,55,3,3,13,118,2,0,139,2855,4,0,2,1,340,8,0
2025-08-04 17:59:05,412,228,6,0,0,295,84,44,75,1,0,4,143,91,0,0,10,27,3,14,127,777,16,0,3,6,233,2,0
2025-08-04 18:59:05,23,1,2,0,0,1,0,0,22,1,0,2,50,36,0,0,6,15,1,2,44,148,4,0,1,2,52,0,0
2025-08-04 19:59:05,390,278,4,0,0,345,30,0,11,1,0,0,22,10,0,0,8,18,3,4,92,582,2,0,3,4,326,0,0
2025-08-04 20:59:05,412,738,46,0,0,793,0,1,14,1,0,0,85,76,0,0,22,142,1,0,33,1106,1,0,1,46,204,0,0
2025-08-05 11:12:51,761,4983,22,0,3,5319,74,20,20,1,0,6,252,175,0,0,24,99,3,19,368,7760,13,0,3,22,326,4,0
2025-08-05 13:05:59,504,489,2,0,0,637,404,27,27,1,0,6,158,98,9,9,3,6,1,2,134,9928,16,1,1,2,288,63,0
2025-08-05 14:05:59,568,6411,6,0,0,6833,88,4,132,1,0,2,98,65,0,0,4,14,1,5,468,18624,27,0,1,6,253,0,0
2025-08-05 15:05:59,212,115,2,0,0,189,80,1,51,1,0,3,56,41,0,0,12,11,1,2,192,15105,11,0,1,2,115,0,0
2025-08-05 17:25:07,4,3,0,0,0,5,6,0,3,1,0,0,19,12,0,0,0,3,0,0,83,26421,7,1,0,0,6,0,0
2025-08-05 18:25:07,73,88,2,0,0,100,16,6,9,1,0,0,81,62,0,0,7,71,2,0,55,20627,8,0,2,2,121,0,0
2025-08-05 19:25:07,4,4,2,0,3,4,4,0,2,1,0,0,13,7,0,0,2,63,0,0,65,27675,10,0,0,2,5,0,0
2025-08-05 20:25:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,63,29024,8,0,0,0,0,0,0
2025-08-05 21:25:07,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,62,0,0,70,28889,5,0,0,0,0,0,0
2025-08-05 22:25:07,2,2,0,0,0,2,2,0,1,0,0,0,10,9,0,0,0,60,0,0,67,28319,11,0,0,0,0,0,0
2025-08-05 23:25:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,65,29009,7,0,0,0,0,0,0
2025-08-06 00:25:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,70,29008,7,0,0,0,0,0,0
2025-08-06 01:25:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,75,29009,3,0,0,0,0,0,0
2025-08-06 02:25:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,72,28990,4,0,0,0,0,0,0
2025-08-06 03:25:07,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,58,29057,4,0,0,0,0,0,0
2025-08-06 05:46:32,63,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,75,28991,4,0,0,0,0,0,0
2025-08-06 06:46:32,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,29092,5,0,0,0,0,0,0
2025-08-06 07:46:32,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,29110,3,0,0,0,0,0,0
2025-08-06 08:46:32,24,4,1,0,0,4,4,0,0,0,0,0,78,58,0,0,5,33,1,0,61,24231,13,0,1,1,64,0,0
2025-08-06 09:46:32,103,112,3,0,2,104,9,0,0,0,0,0,67,48,0,0,6,76,1,0,58,23908,7,0,1,3,85,0,0
2025-08-06 10:46:35,339,574,7,0,1,1095,68,4,1948,1,0,1,209,135,13,13,29,106,1,26,1423,4867,72,0,1,7,321,0,0
2025-08-06 12:39:30,48,2,3,0,0,7,8,0,8,1,0,0,27,18,0,0,10,64,0,0,69,27426,4,1,0,3,21,0,0
2025-08-06 18:16:25,7,7,2,0,0,62,11,0,1,0,0,0,44,33,0,0,7,23,1,12,36,18144,6,0,1,2,25,0,0
2025-08-06 19:16:26,2,2,2,0,1,5,0,0,0,0,0,0,43,37,0,0,4,10,0,0,82,26659,11,0,0,2,22,0,0
2025-08-06 20:16:26,301,1103,14,0,14,352,7,1,5244,1,0,0,147,74,0,0,17,26,0,1,4541,1146,203,0,0,14,76,0,0
2025-08-06 21:16:25,27,934,1,0,0,132,4,0,0,0,0,0,8,4,0,0,1,3,0,8,117,28410,9,0,0,1,20,0,0
2025-08-07 02:52:42,7,7,0,0,0,11,6,0,0,0,0,0,44,35,0,0,0,2,0,7,90,19875,7,0,0,0,4,2,0
2025-08-07 03:52:42,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,120,17859,6,0,0,0,0,0,0
2025-08-07 05:05:07,6,7,2,0,0,1,6,0,1,0,0,0,33,25,0,0,14,28,0,0,106,16492,5,0,0,2,40,0,0
2025-08-07 06:05:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,128,17917,5,0,0,0,0,0,0
2025-08-07 07:05:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,17901,4,0,0,0,0,0,0
2025-08-07 08:05:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,17904,6,0,0,0,0,0,0
2025-08-07 09:05:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,17915,5,0,0,0,0,0,0
2025-08-07 10:05:07,354,2437,13,0,1,548,15,0,750,1,0,2,169,120,0,0,24,76,1,6,1102,11300,77,0,1,13,78,2,0
2025-08-07 11:05:07,137,194,5,0,0,215,30,0,49,1,0,4,107,76,0,0,21,93,0,1,50,1018,1,0,0,5,173,0,0
2025-08-07 12:59:22,83,1812,8,0,0,1803,48,1,64,1,0,0,78,39,0,0,4,8,0,113,305,3146,9,1,0,8,700,3,0
2025-08-07 13:59:38,6,7,1,0,0,7,8,0,4,0,0,0,21,12,0,0,1,2,0,1,104,16957,15,0,0,1,2,0,0
2025-08-07 14:59:38,0,1,1,0,0,1,0,0,5,1,0,0,34,30,0,0,6,10,0,0,0,18,2,0,0,1,28,0,0
2025-08-07 17:09:56,0,0,1,0,0,0,2,0,0,0,0,0,11,7,0,0,4,8,0,0,88,13871,15,0,0,1,14,0,0
2025-08-07 18:09:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,18008,7,0,0,0,0,0,0
2025-08-07 19:09:56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,18010,10,0,0,0,0,0,0
2025-08-08 03:46:58,21,36,5,0,0,47,12,6,76,1,0,0,116,86,0,0,9,20,2,3,116,7896,15,0,2,5,156,0,0
2025-08-08 05:02:18,0,0,3,0,0,0,0,0,0,0,0,0,15,10,0,0,5,25,0,0,0,3,0,0,0,3,32,0,0
2025-08-08 06:02:18,41,44,1,1,0,54,89,28,30,1,0,0,73,35,2,2,1,62,0,2,1,2527,0,0,0,1,6,16,0
2025-08-08 07:02:18,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,60,0,0,123,17627,9,0,0,0,0,0,0
2025-08-08 08:02:18,0,2,2,0,1,2,2,0,0,0,0,0,14,13,0,0,2,62,0,0,80,17299,10,0,0,2,2,0,0
2025-08-08 09:02:18,0,0,0,0,0,0,18,0,0,0,0,0,3,0,0,0,0,60,0,10,28,15160,6,0,0,0,0,0,0
2025-08-08 10:02:19,0,0,0,0,0,0,1,0,2,1,0,0,29,25,0,0,0,61,0,0,152,17080,16,0,0,0,0,0,0
2025-08-08 11:33:08,140,64,17,0,1,99,13,4,165,1,0,0,141,104,0,0,37,74,1,6,378,13217,22,1,1,17,175,0,0
2025-08-08 12:50:13,0,0,2,0,0,0,0,0,0,0,0,0,21,16,0,0,8,11,0,0,12,1774,0,1,0,2,19,0,0
2025-08-08 14:57:41,6,3,1,0,0,4,3,2,11,1,0,1,45,35,0,0,3,2,0,1,13,111,1,0,0,1,362,0,0
2025-08-08 17:07:04,0,0,1,0,0,0,0,0,0,0,0,0,5,2,0,0,2,4,0,0,117,17923,6,0,0,1,0,0,0
2025-08-08 18:07:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,18010,6,0,0,0,0,0,0
2025-08-08 19:07:04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,113,17829,4,0,0,0,0,0,0
2025-08-08 20:07:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,18011,7,0,0,0,0,0,0
