record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-12 20:37:12,0,0,1,0,0,0,0,0,0,0,0,0,22,18,0,0,10,7,0,3,0,10,0,1,0,1,7,0,0
2025-08-13 05:08:57,1314,86,15,1,4,144,271,14,2461,1,0,0,304,177,0,0,107,16,2,75,343,821,5,0,2,15,213,6,0
2025-08-13 06:09:05,2751,7879,22,0,10,1329,48,7,13196,1,0,0,226,141,0,0,70,38,4,47,907,2145,44,0,4,22,366,0,0
2025-08-13 07:10:27,5789,43648,13,0,6,4393,60,14,116366,1,0,0,289,186,0,0,97,21,3,122,1558,6038,36,0,3,13,665,2,0
2025-08-13 08:17:49,2557,48675,38,0,8,4537,260,17,220531,1,0,0,587,396,0,0,134,91,0,116,345,6757,10,0,0,38,321,8,0
2025-08-13 12:07:46,2816,18721,14,0,2,4573,76,5,69520,1,0,0,365,269,0,0,56,24,2,92,2342,6632,48,1,2,14,424,0,0
2025-08-13 14:50:29,975,26697,10,0,1,2392,36,0,133440,1,0,0,114,82,0,0,51,20,0,40,217,3050,10,1,0,10,227,0,0
2025-08-14 00:29:53,305,2479,26,0,7,467,6,3,955,1,0,0,247,177,0,0,80,111,1,30,3,658,11,0,1,26,178,0,0
2025-08-14 01:29:53,0,0,1,0,0,0,0,0,0,0,0,0,22,16,0,0,14,77,0,3,0,12,0,0,0,1,29,0,0
2025-08-14 04:28:19,1639,6546,5,0,1,817,40,0,9569,1,0,0,73,37,0,0,19,4,0,142,719,1217,23,1,0,5,396,0,0
2025-08-14 09:49:04,2,2,1,0,0,2,2,0,0,0,0,0,34,14,0,0,2,2,0,4,0,23,0,0,0,1,25,0,0
