record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-21 19:52:50,362,265,5,0,0,465,32,12,176,1,0,10,221,166,0,0,81,101,0,15,173,803,14,0,0,5,692,1,0
2025-07-21 21:23:14,0,1,0,0,0,4,0,0,0,0,0,0,31,19,0,0,7,12,0,0,0,49,0,0,0,0,33,0,0
2025-07-22 10:27:58,1442,1508,8,1,0,2418,31,22,60,1,0,10,230,162,0,1,47,50,0,30,212,2704,7,0,0,8,268,4,0
2025-07-22 11:45:47,216,205,16,0,0,309,64,19,61,1,0,14,372,309,77,77,82,105,0,15,105,844,4,0,0,16,248,2,0
2025-07-22 13:13:31,15,10,8,0,0,20,1,2,12,1,0,2,66,41,0,0,22,31,0,0,9,80,1,0,0,8,168,0,0
2025-07-22 14:30:51,16,5,2,0,0,39,1,6,22,1,0,0,70,56,0,0,18,7,0,0,16,156,1,0,0,2,74,0,0
2025-07-22 15:53:39,27,12,4,0,2,29,16,1,33,1,0,0,88,71,0,0,16,16,0,10,34,152,1,0,0,4,320,1,0
2025-07-22 17:15:00,54,53,3,0,0,90,41,6,33,1,0,2,136,91,0,0,24,25,1,10,30,364,1,0,0,3,545,0,0
2025-07-22 19:02:44,626,853,6,0,0,2087,421,24,81,1,0,0,143,109,1,1,27,28,1,3,60,3608,2,1,1,6,584,3,0
2025-07-23 09:48:23,54,13,6,0,0,16,23,3,7,1,0,0,180,129,0,1,42,57,1,5,35,322,0,0,1,6,412,0,0
2025-07-23 11:12:19,123,0,3,0,1,11,1,0,17,1,0,0,93,42,0,0,15,9,0,3,130,569,5,0,0,3,56,0,0
2025-07-23 17:12:06,289,175,130,24,0,269,134,26,51,1,0,0,222,143,0,0,22,34,1,7,58,915,2,0,1,130,1228,0,0
2025-07-23 18:13:17,398,311,1,3,0,400,95,9,21,1,0,0,174,130,0,0,6,0,0,24,27,792,4,0,0,1,290,3,0
2025-07-23 19:13:17,626,464,0,14,0,609,375,42,57,1,0,0,180,116,0,0,0,1,0,12,81,1638,11,0,0,0,438,37,0
2025-07-24 09:19:57,1288,1194,3,13,0,1509,511,28,76,1,0,0,160,127,0,0,10,16,0,2,44,2754,5,0,0,3,417,16,0
2025-07-24 12:10:00,364,335,2,0,0,468,326,2,12,1,0,0,117,99,1,1,12,8,0,3,11,1221,2,1,0,2,241,0,0
2025-07-24 13:39:17,570,422,3,35,0,605,242,47,59,1,0,0,164,112,4,4,2,0,0,4,118,1617,12,0,0,3,529,0,0
2025-07-24 14:53:04,341,277,2,6,0,334,300,3,2,1,0,0,64,42,2,2,2,0,0,4,4,934,1,0,0,2,155,0,0
2025-07-24 15:54:52,313,288,4,3,0,324,130,4,23,1,0,0,68,43,0,0,1,6,0,1,16,773,1,0,0,4,284,2,0
2025-07-24 17:13:18,843,842,11,4,0,1008,865,34,24,1,0,0,168,122,3,3,23,35,0,2,9,2457,2,0,0,11,335,13,0
2025-07-24 18:17:16,766,706,12,0,0,927,197,13,93,1,0,0,187,108,29,31,10,13,0,8,73,1697,7,0,0,12,811,0,0
2025-07-25 07:50:13,706,658,2,22,0,766,438,12,22,1,0,1,129,62,97,98,4,6,0,2,10,2020,1,0,0,2,519,0,0
2025-07-26 12:03:54,389,221,2,3,0,298,261,6,0,0,0,0,122,94,10,10,12,6,0,4,0,885,1,0,0,2,274,0,0
2025-07-26 13:09:33,200,124,8,5,0,137,18,1,8,1,0,0,75,44,0,0,22,22,0,5,31,487,1,0,0,8,384,0,0
2025-07-26 14:19:34,541,274,3,0,0,312,24,3,4,1,0,0,85,54,0,0,6,4,0,5,68,931,10,0,0,3,131,0,0
2025-07-26 15:19:39,215,105,1,4,0,125,9,0,10,1,0,0,63,29,0,0,3,0,0,1,90,738,5,0,0,1,98,0,0
2025-07-26 17:35:38,393,280,1,15,0,356,178,33,54,1,0,12,406,345,2,1,3,3,0,3,133,1025,8,1,0,1,721,82,0
2025-07-26 18:36:21,315,153,1,5,0,179,53,1,2,1,0,1,166,137,0,0,5,0,0,16,108,1467,13,0,0,1,291,9,0
2025-07-27 07:16:45,479,318,1,1,0,396,128,25,8,1,0,0,290,236,0,0,6,2,0,32,125,1322,8,0,0,1,480,24,0
2025-07-27 09:20:11,208,106,0,10,0,167,54,1,10,1,0,0,68,19,0,0,2,2,0,16,54,861,4,1,0,0,256,11,0
2025-07-27 10:37:50,600,378,1,19,0,472,180,14,38,1,0,0,318,256,3,3,4,4,1,1,109,1305,10,0,1,1,466,51,0
2025-07-27 11:58:24,468,411,0,10,0,490,313,4,6,1,0,0,392,349,0,0,1,0,0,2,84,1290,9,0,0,0,296,245,0
2025-07-27 13:16:23,682,611,0,12,0,704,483,2,11,1,0,0,602,564,0,0,6,18,0,0,126,1696,8,0,0,0,385,386,0
2025-07-27 14:39:13,613,490,5,2,0,670,36,7,127,1,0,0,220,160,0,0,22,43,0,0,322,1283,35,0,0,5,468,2,0
2025-07-27 15:52:37,537,456,0,4,1,1032,96,25,150,1,0,0,227,167,0,0,5,1,0,18,316,1577,42,0,0,0,912,63,0
2025-07-27 17:03:21,379,179,7,0,0,436,81,8,452,1,0,0,78,21,0,0,2,15,1,58,509,1040,14,0,1,7,1388,0,0
2025-07-27 18:10:54,193,148,11,14,0,188,46,90,69,1,0,0,244,167,0,0,22,38,0,14,130,549,40,0,0,11,485,2,0
2025-07-27 19:17:14,24,21,1,1,0,37,191,18,8,1,0,0,126,107,0,0,1,2,0,2,2,412,1,0,0,1,245,1,0
2025-07-28 10:38:06,333,231,1,14,0,267,111,24,4,1,0,0,231,192,0,0,4,2,0,0,80,670,6,0,0,1,470,49,0
2025-07-28 12:05:57,76,9,0,4,0,10,10,0,2,0,0,0,44,37,0,0,2,0,0,0,79,406,9,0,0,0,70,0,0
2025-07-28 14:47:12,283,242,0,2,1,278,122,19,19,1,0,0,367,318,0,0,11,2,0,3,105,1174,10,1,0,0,462,105,0
2025-07-28 17:05:49,153,110,0,9,0,137,49,0,1,0,0,0,58,39,0,0,13,3,0,0,0,332,1,0,0,0,223,0,0
2025-07-28 18:06:44,269,251,1,20,1,281,152,5,15,1,0,0,226,187,0,0,6,0,0,3,112,680,7,0,0,1,342,57,0
2025-07-28 19:08:32,370,329,0,23,0,332,108,7,28,1,0,0,256,208,0,0,12,1,0,1,47,742,9,0,0,0,340,28,0
2025-07-28 20:12:00,105,70,10,0,0,107,1,0,112,1,0,0,184,141,0,0,23,27,0,7,179,311,20,0,0,10,708,0,0
2025-07-28 21:12:33,584,772,2,9,0,664,40,18,54,1,0,0,235,177,0,0,1,5,0,25,600,1182,23,0,0,2,865,0,0
2025-07-29 08:44:52,173,101,3,4,0,105,8,6,3,1,0,0,303,273,0,0,36,117,0,0,69,785,11,0,0,3,222,0,0
2025-07-29 10:30:24,597,495,2,4,0,562,236,4,2,1,0,0,291,255,0,0,22,80,0,1,63,1781,6,0,0,2,308,93,0
2025-07-29 12:10:42,1450,1433,13,5,3,863,152,9,14,1,0,0,364,289,0,0,25,90,0,7,1658,1811,71,0,0,13,876,107,0
2025-07-29 15:49:34,170,154,0,11,0,187,88,4,15,1,0,0,122,101,0,0,10,2,0,0,7,430,3,1,0,0,269,1,0
2025-07-29 17:34:26,1706,2944,1,21,0,3165,169,14,18,1,0,0,325,292,0,0,8,2,0,1,62,4946,9,0,0,1,733,80,0
2025-07-29 18:35:00,336,293,1,7,0,327,200,11,6,1,0,0,340,309,0,0,5,0,0,0,13,889,1,0,0,1,845,167,0
2025-07-29 19:37:39,666,734,5,1,2,1182,66,3,911,1,0,0,134,85,0,0,14,3,0,14,1841,1850,54,0,0,5,528,1,0
2025-07-30 09:54:46,372,297,9,8,0,372,86,2,255,1,0,0,223,177,0,2,38,50,0,3,163,792,3,0,0,9,473,0,0
2025-07-30 11:11:48,141,139,6,2,0,2196,135,18,464,1,0,0,339,313,6,6,11,71,0,0,422,2795,39,0,0,6,254,128,0
2025-07-30 12:33:07,247,186,0,3,1,1725,53,2,252,1,0,0,41,29,2,0,2,61,0,0,16,2090,4,0,0,0,468,0,0
2025-07-30 13:54:37,319,165,4,0,1,259,129,11,341,1,0,0,85,50,23,23,14,67,0,28,504,808,23,0,0,4,880,0,0
2025-07-30 15:24:10,88,116,0,0,0,132,255,0,0,0,0,0,32,7,57,57,1,60,0,0,0,642,0,0,0,0,137,0,0
2025-07-31 08:39:02,96,17,2,12,0,48,21,0,64,1,0,0,65,48,0,0,8,7,0,0,49,167,2,0,0,2,295,0,0
2025-07-31 11:03:14,168,175,4,10,1,238,88,7,13,1,0,0,138,102,1,0,15,15,0,2,0,608,1,0,0,4,338,0,0
2025-07-31 12:38:30,644,928,2,6,0,827,37,7,248,1,0,0,155,119,0,0,11,6,0,6,543,1700,10,0,0,2,2591,1,0
2025-07-31 14:40:54,150,112,4,8,0,126,16,4,19,1,0,0,107,87,0,0,11,2,0,1,68,700,11,0,0,4,345,1,0
2025-08-01 07:35:06,11,7,2,5,0,13,28,2,54,1,0,0,106,98,0,0,16,73,0,2,14,152,0,0,0,2,177,0,0
2025-08-02 10:50:32,4,0,0,0,0,0,0,0,1,0,0,0,16,9,0,0,5,7,0,4,0,5,0,1,0,0,66,0,0
2025-08-02 15:08:18,1,1,1,0,0,3,1,0,5,1,0,0,43,39,0,0,7,15,0,0,0,36,1,0,0,1,60,0,0
2025-08-02 17:02:36,149,207,34,5,0,91,74,1,119,1,0,0,357,302,0,0,38,8,0,14,260,437,35,0,0,34,497,58,0
2025-08-03 13:09:02,546,3607,5,2,0,891,27,10,8117,1,0,0,231,182,0,0,23,31,0,8,516,1271,45,0,0,5,441,3,0
2025-08-03 14:09:04,63,5,7,0,0,19,1,2,92,1,0,0,122,87,0,0,36,37,0,18,74,132,10,0,0,7,520,0,0
2025-08-03 15:09:04,1,0,1,0,0,0,0,0,0,0,0,0,60,55,0,0,18,12,0,1,0,48,0,0,0,1,353,0,0
2025-08-03 17:09:03,2,1,1,0,0,3,2,2,35,1,0,0,59,46,0,0,8,8,0,0,0,43,0,0,0,1,73,0,0
2025-08-03 18:09:03,53,45,2,2,0,93,91,1,263,1,0,0,201,165,0,0,3,5,0,0,801,317,91,0,0,2,251,15,0
2025-08-03 19:09:04,344,343,0,5,0,381,358,1,0,0,0,0,423,394,0,0,6,0,0,0,11,911,3,0,0,0,202,306,0
2025-08-04 10:47:29,105,95,7,0,1,105,8,0,14,1,0,0,155,111,0,0,28,33,3,1,18,286,5,1,3,7,643,3,0
2025-08-04 11:47:29,97,14,10,3,0,46,286,1,10,1,0,0,111,93,0,0,23,19,0,5,38,756,5,0,0,10,295,2,0
2025-08-04 14:48:24,2,0,10,0,0,0,2,14,3,0,0,0,143,129,0,0,11,22,0,2,0,126,0,0,0,10,145,2,0
2025-08-04 15:48:32,55,0,11,0,0,64,0,0,304,1,0,0,107,93,0,0,4,3,0,6,262,266,9,0,0,11,461,0,0
2025-08-04 17:59:39,336,334,6,0,0,363,334,0,5,0,0,0,486,449,0,0,52,54,2,2,0,904,2,0,2,6,258,330,0
2025-08-04 18:59:39,46,42,5,0,0,402,42,2,594,1,0,0,261,231,0,0,7,11,0,2,1807,743,139,0,0,5,135,40,0
2025-08-05 06:46:06,169,4,7,0,0,45,10,44,1635,1,0,0,222,176,0,0,16,22,0,12,1504,464,92,0,0,7,507,4,0
2025-08-05 07:46:06,1372,28,5,0,0,72,8,18,215,1,0,0,243,127,0,0,29,5,0,84,972,360,49,0,0,5,556,0,0
2025-08-05 15:24:17,0,0,9,0,0,0,0,0,0,0,0,0,33,23,0,0,12,7,0,0,41,9,4,0,0,9,75,0,0
2025-08-05 17:02:33,162,109,11,0,2,45,38,6,62,1,0,0,239,210,0,0,19,16,0,2,36,380,1,0,0,11,392,0,0
2025-08-05 19:11:05,180,66,9,0,0,84,64,12,9,1,0,0,370,322,0,0,9,16,0,1,183,519,5,1,0,9,336,40,0
2025-08-05 20:11:05,680,237,0,0,0,291,138,38,1917,1,0,0,207,175,0,0,2,0,0,0,413,830,15,0,0,0,414,64,0
2025-08-06 07:45:02,718,162,0,0,0,236,143,25,3516,1,0,0,189,162,0,0,2,2,0,3,6154,644,68,0,0,0,151,126,0
2025-08-06 08:45:02,100,19,2,0,1,20,29,12,4,1,0,0,178,149,0,0,20,91,0,13,91,227,4,0,0,2,261,27,0
2025-08-06 09:45:02,113,1,1,0,0,3,65,0,4,1,0,0,98,60,0,0,2,63,0,9,65,417,1,0,0,1,205,65,0
2025-08-06 10:45:05,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,191,671,2,0,0,0,0,0,0
2025-08-06 12:47:19,91,0,1,0,0,15,0,0,9167,1,0,0,40,29,0,0,3,4,0,0,12979,278,52,1,0,1,19,0,0
2025-08-06 13:47:25,132,70,5,0,0,91,441,7,1823,1,0,0,197,169,0,0,19,22,0,3,3155,842,11,0,0,5,478,97,0
2025-08-06 14:47:59,493,0,0,0,0,27,0,1,10980,1,0,0,72,65,0,0,1,1,0,0,14808,129,41,0,0,0,65,0,0
2025-08-06 15:48:16,346,0,0,0,0,186,0,0,20871,1,0,0,16,15,0,0,1,0,0,0,30827,205,69,0,0,0,10,0,0
2025-08-06 17:01:48,180,123,0,0,0,172,26,10,579,1,0,0,77,66,0,0,1,2,0,14,553,299,2,0,0,0,140,0,0
2025-08-07 06:53:51,0,80,2,0,0,80,0,0,0,0,0,0,25,19,0,0,6,9,0,0,3,100,0,0,0,2,38,0,0
2025-08-07 07:53:51,1,0,2,0,0,0,0,0,0,0,0,0,18,13,0,0,4,6,0,0,0,9,0,0,0,2,11,0,0
2025-08-07 14:54:56,178,103,3,0,0,150,88,18,0,0,0,0,112,98,0,0,7,15,0,2,1,356,0,0,0,3,86,88,0
2025-08-07 15:54:56,1512,2485,1,0,0,2672,229,47,1300,1,0,0,220,182,0,0,3,3,0,39,825,4249,1,0,0,1,383,71,0
2025-08-07 17:01:50,1815,2388,5,0,0,2522,308,4,1,0,0,0,83,80,0,0,0,4,0,0,0,3674,1,0,0,5,204,5,0
2025-08-07 18:01:50,179,102,4,0,0,122,118,24,19,1,0,0,121,97,1,2,12,11,0,25,76,548,0,0,0,4,195,102,0
2025-08-08 06:20:27,27,0,1,0,0,879,0,0,1232,1,0,0,12,5,0,0,4,6,0,7,2880,911,6,1,0,1,23,0,0
2025-08-08 14:23:18,40,0,1,0,0,240,0,0,14144,1,0,0,80,68,0,0,14,20,0,2,20771,356,36,0,0,1,24,0,0
