record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-08 15:47:36,387,362,8,1,1,601,56,15,103,1,0,1,102,88,0,0,42,9,0,2,40,1158,3,0,0,8,456,0,0
2025-07-09 05:53:21,426,472,4,0,0,1031,115,63,220,1,0,5,217,183,0,3,66,99,3,8,165,1907,8,0,3,4,384,4,0
2025-07-09 06:53:27,253,211,9,0,0,706,24,8,276,1,0,0,248,205,0,0,86,156,3,8,101,1460,3,0,3,9,463,0,0
2025-07-09 10:16:44,21,5,1,0,0,23,0,0,23,1,0,0,67,53,2,3,12,10,1,4,25,72,1,0,1,1,67,0,0
2025-07-09 14:18:16,977,1321,1,0,1,1771,125,15,160,1,0,0,122,101,0,0,47,81,0,4,33,3143,0,0,0,1,608,4,0
2025-07-09 15:18:25,869,865,1,10,0,1037,358,18,26,1,0,2,149,124,0,0,31,68,1,13,23,2260,3,0,1,1,523,9,0
2025-07-09 16:18:28,1118,1318,3,12,0,1479,221,6,98,1,0,2,95,60,54,54,25,63,0,11,52,3138,4,0,0,3,688,10,0
2025-07-09 17:18:28,1509,1563,4,0,2,1629,48,1,83,1,0,6,183,139,5,5,73,90,0,3,76,3789,4,0,0,4,679,0,0
2025-07-10 03:06:27,977,624,1,0,0,649,131,4,69,1,0,0,126,100,0,0,29,47,0,0,32,1817,8,0,0,1,246,0,0
2025-07-10 04:06:27,1287,824,5,0,0,856,10,7,21,1,0,0,173,130,0,0,43,103,1,0,58,1993,6,0,1,5,267,0,0
2025-07-10 05:06:34,1779,1718,8,0,1,2181,157,9,411,1,0,0,155,109,12,14,54,114,3,6,166,4867,15,0,3,8,809,0,0
2025-07-10 06:06:34,1121,1028,2,0,2,1259,596,8,122,1,0,1,75,32,13,12,9,70,1,0,58,3437,3,0,1,2,535,0,0
2025-07-10 07:07:14,102,129,1,0,0,163,22,0,0,0,0,0,12,6,0,0,2,65,0,0,0,323,0,0,0,1,84,0,0
2025-07-10 08:07:19,1709,1100,1,0,0,1230,184,6,35,1,0,0,87,58,0,0,23,65,1,0,92,2954,14,0,1,1,324,0,0
