record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-07 18:08:37,1071,1457,307,0,0,2428,399,25,130,1,0,0,77,41,1,1,2,6,1,2,125,4001,7,1,1,307,499,8,0
2025-07-07 19:08:37,229,205,5,6,3,353,530,28,84,1,0,1,139,82,11,11,15,8,2,45,29,1827,0,0,2,5,352,29,0
2025-07-07 20:08:37,83,52,2,2,2,86,45,6,24,1,0,0,36,13,2,2,2,8,2,28,11,327,1,0,2,2,131,20,0
2025-07-07 21:08:47,216,135,1,1,0,161,200,13,1,0,0,0,55,39,0,0,8,0,0,0,0,569,0,0,0,1,98,4,0
2025-07-07 22:08:47,1259,867,55,7,0,1121,370,41,20,1,0,0,161,89,7,6,8,8,2,28,17,2430,0,0,2,55,304,10,0
2025-07-07 23:08:47,292,359,37,0,0,590,230,14,32,1,0,0,103,34,135,135,7,28,6,11,84,1740,3,0,6,37,409,10,0
2025-07-08 00:08:47,1105,703,21,3,0,1036,401,39,39,1,0,3,212,136,13,14,34,12,2,3,27,2334,0,0,2,21,320,22,0
2025-07-08 01:08:47,1275,577,22,0,4,750,355,33,11,1,0,0,213,150,1,1,24,8,2,0,3,1995,0,0,2,22,343,61,0
2025-07-08 15:04:56,230,269,303,2,0,510,176,18,37,1,0,0,96,46,5,5,13,22,5,33,24,1069,0,1,5,303,490,1,0
2025-07-08 16:05:01,1373,766,21,0,0,1296,491,17,16,1,0,0,172,118,36,36,34,19,1,2,4,2526,0,0,1,21,560,49,0
2025-07-08 17:05:01,229,198,22,2,1,346,96,26,317,1,0,1,126,66,9,8,40,22,3,0,91,874,2,0,3,22,720,0,0
2025-07-08 20:30:44,399,389,13,2,0,669,39,10,16,1,0,0,82,50,41,2,36,8,0,11,20,941,0,1,0,13,552,0,0
2025-07-08 21:30:44,1369,702,20,36,0,887,153,29,28,1,0,0,92,53,3,2,6,10,1,2,25,1736,1,0,1,20,462,2,0
2025-07-09 10:28:06,635,589,3,0,0,845,276,15,43,1,0,0,76,50,81,81,7,10,2,13,89,1678,1,1,2,3,312,2,0
2025-07-09 11:28:06,519,125,0,0,0,131,5,5,10,1,0,0,25,14,0,1,0,0,0,0,11,317,1,0,0,0,51,0,0
2025-07-09 14:13:52,185,231,184,0,0,364,97,39,4,1,0,5,133,83,74,76,24,16,1,0,12,845,0,1,1,184,215,24,0
2025-07-09 15:14:02,539,406,3,0,1,500,174,8,1,0,0,0,86,47,71,70,3,4,0,0,17,1315,0,0,0,3,157,15,0
