record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-07 05:29:34,831,791,25,4,6,1059,369,18,72,1,0,18,361,273,2,2,126,95,0,7,160,2120,4,0,0,25,409,15,0
2025-08-07 06:29:34,642,648,9,0,1,792,25,11,4,1,0,0,68,43,5,5,31,91,0,13,166,1111,3,0,0,9,144,0,0
2025-08-07 09:29:34,378,345,10,0,1,464,95,14,63,1,0,0,91,52,5,6,21,71,0,14,187,849,3,0,0,10,182,6,0
2025-08-07 15:00:04,200,185,10,0,0,255,28,0,16,1,0,0,104,69,21,21,29,71,0,0,17,433,1,0,0,10,126,0,0
2025-08-08 02:42:09,0,0,0,0,0,1,0,0,0,0,0,0,8,5,0,0,3,10,0,0,0,14,0,1,0,0,22,0,0
2025-08-08 03:42:09,1914,2123,11,0,2,2598,328,19,112,1,0,0,286,206,21,21,72,82,1,6,156,3973,1,0,1,11,495,0,0
2025-08-08 05:01:49,297,360,7,0,0,429,78,13,20,1,0,0,140,117,24,24,16,8,0,2,20,871,0,0,0,7,153,2,0
2025-08-08 06:01:51,1,0,2,0,0,1,0,0,0,0,0,0,16,3,0,0,3,4,0,0,0,7,0,0,0,2,28,0,0
2025-08-08 07:01:52,39,32,2,0,0,42,1,0,17,1,0,0,18,4,5,5,5,4,0,1,16,102,0,0,0,2,108,0,0
2025-08-08 09:01:51,0,0,0,0,0,2,0,0,0,0,0,0,9,2,0,0,0,0,0,9,0,20,0,0,0,0,12,0,0
2025-08-08 10:01:51,36,20,1,0,0,38,1,0,50,1,0,0,70,51,7,7,24,43,0,0,34,147,1,0,0,1,56,0,0
2025-08-08 11:01:57,340,147,21,0,2,489,133,3,461,1,0,0,317,164,5,5,44,106,1,33,411,1658,8,0,1,21,534,2,0
2025-08-08 12:01:57,2,5,25,0,11,16,7,5,6,0,0,0,169,101,0,0,53,104,0,0,0,120,0,0,0,25,102,0,0
2025-08-09 02:10:49,1,1,2,0,0,1,1,0,0,0,0,0,35,26,0,0,8,22,0,0,0,34,1,0,0,2,29,0,0
2025-08-09 03:10:49,123,183,16,0,0,196,0,0,1,0,0,2,81,64,3,3,45,96,0,0,1,264,0,0,0,16,45,0,0
2025-08-09 05:18:56,106,118,7,0,0,162,47,0,8,1,0,0,10,2,13,13,2,4,0,0,30,368,0,0,0,7,28,0,0
2025-08-09 09:25:41,0,0,0,0,0,0,0,0,0,0,0,0,16,11,0,0,3,61,0,0,0,15,0,0,0,0,45,0,0
2025-08-09 14:30:34,1112,310,11,0,2,489,64,2,161,1,0,0,288,183,6,6,19,22,0,95,162,1206,3,0,0,11,323,34,0
2025-08-09 17:04:08,208,202,4,0,0,208,6,0,7,1,0,0,31,16,0,0,12,13,0,1,9,346,0,1,0,4,55,0,0
2025-08-10 00:04:08,4,3,6,0,7,5,3,0,1,0,0,0,89,63,0,0,21,24,0,0,0,47,1,0,0,6,30,0,0
2025-08-10 01:04:08,28,9,7,0,0,66,30,5,1802,1,0,0,77,48,0,0,7,3,0,0,1135,209,64,0,0,7,52,0,0
2025-08-10 08:14:56,13,3,6,0,0,19,1,6,70,1,0,0,125,92,0,0,15,64,1,11,1323,151,79,0,1,6,75,0,0
2025-08-10 09:14:56,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,1819,0,24,0,0,0,1,0,0
2025-08-10 10:16:21,16,8,3,0,0,20,4,0,384,1,0,0,72,47,0,0,4,65,0,0,476,130,4,0,0,3,72,0,0
2025-08-10 11:16:35,0,0,1,0,0,0,0,0,0,0,0,0,18,10,0,0,9,70,0,0,0,56,0,0,0,1,459,0,0
2025-08-10 14:23:21,11,1,6,0,0,2,1,0,12,1,0,0,25,11,0,0,6,71,0,0,5,51,0,0,0,6,62,0,0
2025-08-11 03:51:14,191,143,11,0,0,223,5,1,188,1,0,1,132,92,0,0,26,86,0,5,46,392,5,0,0,11,86,0,0
2025-08-11 09:47:35,5,11,18,0,3,35,1,2,6,1,0,0,66,43,0,0,25,23,0,0,6,228,3,0,0,18,436,0,0
2025-08-11 13:08:11,290,88,17,0,2,131,39,0,617,1,0,0,241,180,0,0,27,15,0,19,443,404,2,0,0,17,78,10,0
2025-08-11 14:22:37,2939,4293,2,0,0,4910,192,3,15,1,0,0,105,76,0,0,7,13,0,3,30,7690,0,0,0,2,345,6,0
2025-08-11 17:03:32,317,227,23,0,3,314,77,0,0,0,0,0,97,68,0,0,43,10,0,1,0,568,1,0,0,23,168,0,0
2025-08-11 18:12:06,66,62,8,0,1,116,84,8,216,1,0,0,121,75,0,0,21,8,0,2,57,470,3,1,0,8,140,0,0
2025-08-12 01:12:10,0,0,0,0,0,0,0,0,0,0,0,0,41,40,0,0,6,40,0,0,0,21,1,0,0,0,24,0,0
2025-08-12 05:18:58,526,525,20,0,1,711,28,4,28,1,0,0,136,107,0,0,46,29,1,1,257,984,1,0,1,20,370,0,0
2025-08-12 06:18:58,483,447,16,0,0,612,86,0,77,1,0,0,65,42,0,0,14,9,0,5,254,1011,1,0,0,16,204,0,0
2025-08-12 12:45:30,222,229,3,0,0,295,23,30,4,1,0,0,107,88,0,0,10,8,0,4,106,501,1,1,0,3,142,4,0
2025-08-13 03:54:58,139,82,6,0,1,84,21,14,0,0,0,0,56,31,0,0,14,24,0,7,0,188,0,0,0,6,54,0,0
