record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-23 14:32:54,1247,1361,7,0,0,2095,978,9,137,1,0,1,154,55,21,23,9,6,0,29,198,4057,16,0,0,7,908,4,0
2025-07-23 15:47:54,862,977,8,0,2,1361,597,27,44,1,0,0,176,80,49,49,26,54,1,5,53,2781,2,0,1,8,719,4,0
2025-07-24 06:49:21,1161,1120,26,0,0,1515,279,15,60,1,0,0,209,162,12,11,41,26,0,0,118,2883,2,0,0,26,532,0,0
2025-07-24 07:53:19,712,532,6,0,2,709,179,6,9,1,0,0,213,165,1,1,63,26,0,0,8,1702,0,0,0,6,379,0,0
2025-07-24 11:19:37,668,592,7,0,1,836,91,10,40,1,0,0,188,141,1,2,23,21,0,1,46,1621,1,0,0,7,514,4,0
2025-07-24 12:55:41,585,462,2,0,5,634,961,15,139,1,0,0,171,101,45,46,21,4,0,0,153,2899,4,1,0,2,401,113,0
2025-07-24 14:18:15,739,473,6,0,1,536,58,9,161,1,0,7,184,140,0,0,18,16,1,1,127,1511,5,0,1,6,465,13,0
2025-07-24 15:25:16,439,386,7,0,1,523,283,5,198,1,0,0,153,98,0,0,23,27,2,6,197,1753,9,0,2,7,557,0,0
2025-07-26 10:47:22,538,537,3,0,2,678,7,1,8,1,0,0,104,85,0,0,37,11,0,7,12,945,0,0,0,3,98,2,0
2025-07-26 11:48:09,637,694,3,0,3,1042,162,5,35,1,0,0,258,177,16,15,27,46,0,22,76,2275,24,0,0,3,306,4,0
2025-07-26 12:53:24,133,68,3,0,0,82,4,0,9,1,0,0,92,61,0,0,26,75,0,2,62,491,13,0,0,3,59,0,0
2025-07-26 14:05:12,78,5,8,0,1,13,4,3,75,1,0,0,226,187,0,0,49,76,0,0,121,469,10,0,0,8,111,2,0
2025-07-27 08:29:01,290,160,4,0,0,181,3,0,4,1,0,0,88,54,0,0,12,68,0,2,33,596,6,0,0,4,99,0,0
2025-07-27 11:09:03,154,77,3,0,0,99,17,23,8,1,0,0,127,99,0,0,11,65,0,2,20,350,3,0,0,3,116,0,0
2025-07-27 13:49:52,11,1,3,0,1,1,1,0,2,1,0,0,67,54,0,0,12,113,0,7,9,109,0,0,0,3,56,0,0
2025-07-28 06:06:46,171,0,5,0,1,33,0,2,402,1,0,0,133,99,0,0,27,13,0,12,386,329,11,0,0,5,136,0,0
2025-07-28 07:07:32,188,158,2,0,1,204,11,0,23,1,0,0,73,57,0,0,11,3,0,3,61,405,12,0,0,2,92,0,0
2025-07-28 11:35:29,0,0,3,0,0,0,0,0,0,0,0,0,19,12,0,0,5,6,0,0,0,9,0,0,0,3,20,0,0
2025-07-28 13:11:14,338,171,25,1,0,271,42,7,317,1,0,0,251,143,1,2,31,19,1,46,250,1373,40,0,1,25,689,5,0
2025-07-29 07:00:23,247,12,8,0,3,134,11,2,329,1,0,0,187,114,0,0,47,15,0,25,434,626,32,0,0,8,310,0,0
2025-07-29 15:09:48,0,0,2,0,0,0,0,1,0,0,0,0,52,42,0,0,3,4,0,0,0,63,4,0,0,2,22,0,0
2025-07-30 11:59:49,140,1,6,0,0,33,1,1,322,1,0,0,129,86,0,0,20,54,0,18,295,242,29,0,0,6,123,0,0
2025-07-31 06:35:57,1,0,3,0,0,0,0,0,0,0,0,0,25,16,0,0,8,10,0,0,1,29,1,0,0,3,31,0,0
2025-07-31 07:49:47,152,1,1,0,0,29,0,1,389,1,0,0,22,10,0,0,3,17,0,15,292,186,16,0,0,1,35,0,0
2025-07-31 11:35:10,52,0,9,0,2,8,0,0,149,1,0,0,74,43,0,0,17,76,0,0,130,98,15,0,0,9,62,0,0
2025-08-02 15:07:14,236,1,1,0,0,30,0,0,891,1,0,0,23,8,0,0,4,5,0,4,665,101,28,0,0,1,32,0,0
2025-08-03 14:18:27,11,3,2,0,2,7,6,2,15,1,0,0,39,31,0,0,28,56,0,3,15,245,1,0,0,2,205,0,0
2025-08-04 10:44:50,0,0,0,0,0,0,0,0,0,0,0,0,16,13,0,0,1,0,0,1,0,12,0,0,0,0,16,0,0
2025-08-04 12:44:50,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,0,3,31,0,0,0,4,2,0,0,0,20,0,0
2025-08-04 13:45:41,427,337,1,0,0,433,163,5,33,1,0,1,142,110,0,0,24,10,0,0,13,895,1,0,0,1,205,0,0
2025-08-05 14:02:35,598,663,1,0,0,849,1054,0,29,1,0,0,107,53,0,0,8,2,0,3,2,2466,2,0,0,1,246,0,0
2025-08-06 11:31:22,3,1,17,0,1,3,14,0,46,1,0,0,98,66,0,0,30,16,2,0,5,106,0,0,2,17,176,0,0
2025-08-06 12:52:42,53,5,7,0,0,10,5,0,162,1,0,0,164,123,1,3,18,12,0,1,103,151,20,1,0,7,97,0,0
2025-08-06 14:23:54,61,85,2,0,0,123,14,0,0,0,0,0,10,6,0,0,5,4,0,0,0,222,1,1,0,2,68,0,0
2025-08-07 06:44:34,18,0,8,0,0,243,0,0,4019,1,0,0,78,51,0,0,19,8,0,0,3328,354,86,0,0,8,71,0,0
2025-08-07 07:44:34,418,549,1,0,0,666,127,4,45,1,0,0,128,101,0,0,10,0,0,2,46,1121,23,0,0,1,74,2,0
2025-08-07 08:44:34,1316,1402,3,0,4,1817,636,0,14,1,0,0,75,37,0,0,10,62,0,3,0,3193,0,0,0,3,226,0,0
