record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 10:49:04,0,0,0,0,0,0,1,0,0,0,0,0,4,3,0,0,4,2,0,0,0,3,0,0,0,0,61,1,3194
2025-08-05 11:59:12,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,6,2,0,0,0,3,0,0,0,0,153,1,2786
2025-08-05 13:24:55,0,0,0,0,1,0,0,0,0,0,0,0,9,8,0,0,7,0,0,0,0,0,0,0,0,0,63,0,32
2025-08-05 15:43:56,23,21,0,0,0,29,113,7,0,0,0,0,113,92,0,0,6,4,0,2,0,277,0,1,0,0,188,71,4478
2025-08-05 17:23:02,1423,3154,0,0,2,3528,25,10,35,1,0,0,213,149,0,0,17,10,1,10,1,6229,0,1,0,0,723,83,3285
2025-08-05 18:58:45,1551,4787,1,3,27,4573,2100,18,29,1,0,0,244,166,0,0,25,13,1,12,57,10818,2,0,0,1,1265,0,4
2025-08-05 20:26:44,2038,4841,2,0,11,70,50,30,31,1,0,0,452,357,0,0,32,16,1,15,57,11146,2,0,0,2,1389,4,4108
2025-08-06 00:05:57,60,58,1,0,24,96,1229,13,19,0,0,0,209,155,0,0,31,19,0,5,0,2337,1,5,0,1,1040,2,395
2025-08-06 01:49:58,1887,2735,0,0,33,3579,7,0,6,0,0,0,71,57,0,0,17,8,0,8,0,4903,0,1,0,0,338,0,0
2025-08-06 10:43:42,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,10,2,0,0,0,5,0,0,0,0,92,0,2184
2025-08-06 11:46:54,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,2,0,0,0,5,0,0,0,0,92,0,3792
2025-08-06 12:54:02,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,2,0,0,0,5,0,0,0,0,92,0,4027
2025-08-06 14:06:45,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,2,0,0,0,5,0,0,0,0,92,0,4363
2025-08-06 15:28:17,3,2,0,1,1,2,74,0,36,0,0,0,41,33,0,0,15,2,0,0,0,179,0,0,0,0,254,0,3823
2025-08-06 16:55:58,100,205,8,0,76,57,1258,19,114,1,0,3,179,116,65,68,36,3,1,7,2,2098,0,0,0,8,910,2,0
2025-08-06 18:41:00,131,211,9,0,40,12,6,7,127,1,0,3,235,145,555,580,57,3,1,17,2,3311,0,0,0,9,1335,2,1663
2025-08-06 20:28:44,1015,1542,9,0,42,1291,3306,21,131,1,0,19,407,262,723,748,75,5,1,85,7,9827,0,0,0,9,2240,2,774
2025-08-06 22:20:01,1240,2072,12,0,54,199,2135,14,139,1,0,21,566,364,1151,1176,99,5,1,145,7,13538,0,0,0,12,2992,34,626
