record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:05:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5865,0,6,0,0,0,0,0,3468
2025-08-05 07:07:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11808,0,12,0,0,0,0,0,3755
2025-08-05 08:10:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17888,0,16,0,0,0,0,0,3731
2025-08-05 09:14:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20956,0,20,0,0,0,0,0,3856
2025-08-05 10:19:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3297,0,4,0,0,0,0,0,3915
2025-08-05 11:26:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6472,0,8,0,0,0,0,0,4018
2025-08-05 12:42:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10290,0,13,0,0,0,0,0,4542
2025-08-05 14:20:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16312,0,18,0,0,0,0,0,5907
2025-08-05 17:21:00,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,28383,0,28,2,0,2,0,0,5641
2025-08-05 21:11:26,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,5923,0,4,2,0,2,0,0,5568
2025-08-05 22:49:22,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,10323,0,7,2,0,2,0,0,5875
2025-08-06 00:12:45,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,15844,0,11,2,0,2,0,0,5003
2025-08-06 11:55:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3222,0,5,0,0,0,0,0,3528
2025-08-06 13:03:18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5828,0,9,0,0,0,0,0,4056
2025-08-06 14:16:07,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8752,0,12,0,0,0,0,0,4369
2025-08-06 16:49:52,15,0,4,0,0,0,0,0,24,1,0,0,195,160,0,0,22,6,0,7,17856,185,21,2,0,4,67,0,4899
2025-08-06 18:34:04,15,0,4,0,0,0,0,0,24,1,0,0,195,160,0,0,22,6,0,7,26515,185,28,2,0,4,67,0,6252
2025-08-06 20:21:16,15,0,4,0,0,0,0,0,24,1,0,0,195,160,0,0,22,6,0,7,33726,185,34,2,0,4,67,0,6432
2025-08-06 22:13:03,15,0,4,0,0,0,0,0,24,1,0,0,195,160,0,0,22,6,0,7,39476,185,39,2,0,4,67,0,6706
2025-08-06 23:47:10,15,0,4,0,0,0,0,0,24,1,0,0,196,161,0,0,23,6,0,7,47461,185,51,2,0,4,67,0,5346
2025-08-07 01:03:48,15,0,4,0,0,0,0,0,24,1,0,0,196,161,0,0,23,6,0,7,53615,185,60,2,0,4,67,0,4598
2025-08-07 02:11:22,15,0,4,0,0,0,0,0,24,1,0,0,196,161,0,0,23,6,0,7,58542,185,68,2,0,4,67,0,4053
2025-08-07 03:17:06,15,0,4,0,0,0,0,0,24,1,0,0,196,161,0,0,23,6,0,7,63002,185,74,2,0,4,67,0,3943
2025-08-07 04:21:03,15,0,4,0,0,0,0,0,24,1,0,0,196,161,0,0,23,6,0,7,67842,185,80,2,0,4,67,0,3837
2025-08-07 06:03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6918,0,6,0,0,0,0,0,3390
2025-08-07 07:04:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6981,0,6,0,0,0,0,0,3656
2025-08-07 08:06:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13970,0,12,0,0,0,0,0,3666
2025-08-07 09:07:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20192,0,17,0,0,0,0,0,3715
2025-08-07 10:11:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24963,0,22,0,0,0,0,0,3787
2025-08-07 11:14:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31127,0,31,0,0,0,0,0,3833
2025-08-07 12:21:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36935,0,40,0,0,0,0,0,4006
2025-08-07 13:29:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41741,0,47,0,0,0,0,0,4086
2025-08-07 14:40:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45123,0,51,0,0,0,0,0,4230
2025-08-07 16:00:27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52468,0,58,0,0,0,0,0,4805
2025-08-07 17:36:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60474,0,64,0,0,0,0,0,5732
2025-08-07 19:22:17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69781,0,74,0,0,0,0,0,6377
2025-08-07 21:00:12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75739,0,81,0,0,0,0,0,5875
2025-08-07 22:48:51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84966,0,93,0,0,0,0,0,6519
2025-08-08 00:28:44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,94108,0,102,0,0,0,0,0,5639
2025-08-08 01:46:04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,98651,0,106,0,0,0,0,0,4640
2025-08-08 02:55:55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,102047,0,110,0,0,0,0,0,4190
2025-08-08 04:03:50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,105249,0,113,0,0,0,0,0,4075
2025-08-08 06:05:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3784,0,4,0,0,0,0,0,3484
2025-08-08 07:08:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7680,0,9,0,0,0,0,0,3764
