record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-07 21:01:43,50,253,0,0,0,28,5308,0,0,0,0,0,180,117,0,0,23,10,1,1,0,5888,0,0,0,0,1222,0,221
2025-08-07 22:50:29,57,270,0,0,0,20,5682,0,2,1,0,0,222,126,0,0,27,10,1,2,0,13627,0,0,0,0,1599,0,1401
2025-08-08 00:29:54,57,270,0,0,0,0,0,0,2,1,0,0,222,126,0,0,27,10,1,2,0,13627,0,0,0,0,1599,0,3100
2025-08-08 01:47:04,57,270,0,0,0,0,0,0,2,1,0,0,222,126,0,0,27,10,1,2,0,13627,0,0,0,0,1599,0,2093
2025-08-08 02:56:54,57,270,0,0,0,0,0,0,2,1,0,0,222,126,0,0,27,10,1,2,0,13627,0,0,0,0,1599,0,1012
2025-08-08 04:04:47,57,270,0,0,0,0,0,0,2,1,0,0,222,126,0,0,27,10,1,2,0,13627,0,0,0,0,1599,0,1092
2025-08-08 06:05:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1106
2025-08-08 07:08:12,3,1,0,0,0,1,2,0,2,0,0,0,14,9,0,0,1,2,0,0,0,11,0,0,0,0,18,0,568
2025-08-08 08:11:20,3,1,0,0,0,0,0,0,2,0,0,0,14,9,0,0,1,2,0,0,0,11,0,0,0,0,18,0,3471
2025-08-08 09:14:16,3,1,0,0,0,0,0,0,2,0,0,0,14,9,0,0,1,2,0,0,0,11,0,0,0,0,18,0,3090
2025-08-08 10:17:57,3,1,0,0,0,0,0,0,2,0,0,0,15,9,0,0,1,2,0,0,0,11,0,0,0,0,19,0,2723
2025-08-08 11:27:33,3,1,0,0,0,0,0,0,2,0,0,0,15,9,0,0,1,2,0,0,0,11,0,0,0,0,19,0,3573
2025-08-08 12:43:26,3,1,0,0,0,0,0,0,2,0,0,0,15,9,0,0,1,2,0,0,0,11,0,0,0,0,19,0,2996
2025-08-08 14:21:03,3,1,0,0,0,0,0,0,2,0,0,0,15,9,0,0,1,2,0,0,0,11,0,0,0,0,19,0,3901
