record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 16:58:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,7,0,5248
2025-08-05 18:41:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,7,0,6145
2025-08-05 20:04:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,7,0,4971
2025-08-05 21:44:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,7,0,6019
2025-08-07 14:58:54,28,30,3,0,0,0,0,0,0,0,0,0,67,14,0,0,47,15,1,3,0,203,0,6,0,3,1053,0,3640
2025-08-07 16:21:13,28,30,3,0,0,0,0,0,0,0,0,0,67,14,0,0,47,15,1,3,0,203,0,6,0,3,1053,0,4939
2025-08-07 18:00:37,30,30,4,0,0,0,0,0,5,1,0,0,73,20,0,0,48,15,1,3,0,212,0,6,0,4,1070,0,5518
2025-08-07 20:46:01,163,219,24,0,9,229,51,15,22,1,0,1,214,90,2,2,71,17,1,10,0,1049,0,7,0,24,1717,13,1882
2025-08-08 21:36:14,692,1038,1,1,5,62,10,3,78,1,0,1,221,48,2,2,62,20,3,25,33,2050,1,2,0,1,1730,0,3877
2025-08-08 23:31:30,693,1039,1,0,0,2,11,0,78,1,0,1,221,48,2,2,63,20,3,25,33,2067,1,2,0,1,1754,0,6196
2025-08-09 18:33:03,3,8,1,0,0,10,2,0,8,1,0,0,14,1,0,0,8,2,0,1,15,81,0,0,0,1,125,0,5592
2025-08-09 20:31:40,3,8,1,0,0,0,0,0,8,1,0,0,19,2,0,0,11,2,0,1,15,81,0,0,0,1,131,0,6431
2025-08-10 17:28:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6808
2025-08-14 14:46:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,6807
2025-08-14 16:42:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6956
2025-08-14 18:33:40,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,5,0,0,0,2,9,0,6326
2025-08-14 20:29:19,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,5,0,0,0,2,9,0,6939
2025-08-14 22:21:45,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,5,0,0,0,2,9,0,6746
2025-08-15 00:06:12,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,5,0,0,0,2,9,0,6266
