record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:05:12,11,1,0,0,0,2645,18,1,1348,1,0,0,12,3,1,0,3,3,0,0,314,2670,8,0,0,0,32,5,0
2025-08-05 07:07:47,53,1,0,0,0,2768,0,0,2819,1,0,0,12,3,1,0,3,3,0,0,691,5438,15,0,0,0,32,5,0
2025-08-05 08:09:59,53,1,0,0,0,2770,0,0,4242,1,0,0,12,3,1,0,3,3,0,0,1054,8208,22,0,0,0,32,5,0
2025-08-05 09:14:15,53,1,0,0,0,2855,0,0,5626,1,0,0,12,3,1,0,3,3,0,0,1410,11063,27,0,0,0,32,5,0
2025-08-05 10:19:30,0,0,0,0,0,2781,0,0,1534,1,0,0,0,0,0,0,0,0,0,0,386,2781,5,0,0,0,0,0,0
2025-08-05 11:26:28,0,0,0,0,0,2830,0,0,2993,1,0,0,0,0,0,0,0,0,0,0,754,5611,10,0,0,0,0,0,0
2025-08-05 12:42:09,189,7,0,0,0,2528,21,1,4360,1,0,0,208,188,0,0,2,2,0,151,1061,8463,14,0,0,0,43,7,0
2025-08-05 14:20:35,205,7,0,0,0,4924,0,0,5830,1,0,0,208,188,0,0,2,4,0,151,1439,13387,18,0,0,0,43,7,0
2025-08-05 16:02:05,221,7,0,0,0,4952,0,0,7636,1,0,0,208,188,0,0,2,4,0,151,1869,18339,23,0,0,0,43,7,0
2025-08-05 17:41:20,233,7,0,0,0,4865,0,0,9131,1,0,0,208,188,0,0,2,4,0,151,2246,23204,27,0,0,0,43,7,0
2025-08-05 19:11:42,242,7,0,0,0,4297,0,0,10641,1,0,0,208,188,0,0,2,4,0,151,2614,27501,31,0,0,0,43,7,0
2025-08-05 21:41:25,1027,1028,2,0,2,1412,267,8,11464,1,0,0,610,369,134,136,33,11,0,200,3190,31991,34,1,0,2,1485,21,0
2025-08-06 01:33:00,296,224,0,0,0,375,175,4,21,1,0,0,403,291,15,14,26,5,1,90,79,1143,0,0,0,0,883,16,0
2025-08-06 02:34:32,456,441,0,0,2,356,222,1,1,0,0,0,551,312,72,73,45,5,1,99,79,2059,0,0,0,0,1399,45,0
2025-08-06 03:35:58,113,46,0,0,0,96,40,7,9,1,0,0,284,153,6,7,21,2,0,46,1,591,0,0,0,0,375,15,406
2025-08-06 04:37:33,120,48,4,0,4,4,0,2,23,1,0,0,353,193,7,8,49,5,0,46,4,810,0,0,0,4,1407,15,1293
2025-08-06 13:13:10,612,31,0,0,0,288,1,5,44289,1,0,0,157,82,2,2,8,7,0,127,4676,618,96,1,0,0,108,0,0
2025-08-06 14:26:32,652,31,0,0,0,409,0,0,66519,1,0,0,157,82,2,2,8,7,0,127,7399,1027,130,1,0,0,108,0,0
2025-08-06 15:50:11,707,31,0,0,0,355,0,0,93823,1,0,0,157,82,2,2,8,7,0,127,10496,1382,165,1,0,0,108,0,0
2025-08-06 17:23:39,775,31,0,0,0,379,0,0,122918,1,0,0,157,82,2,2,8,7,0,127,13788,1761,197,1,0,0,108,0,0
2025-08-06 19:09:12,819,31,0,0,0,470,0,0,153983,1,0,0,157,82,2,2,8,7,0,127,17079,2231,227,1,0,0,108,0,0
2025-08-06 20:58:52,876,31,0,0,0,437,0,0,185859,1,0,0,157,82,2,2,8,7,0,127,20312,2668,256,1,0,0,108,0,0
2025-08-06 22:49:08,1647,1289,1,0,3,483,463,18,190008,1,0,0,715,425,3,3,27,11,0,147,20745,5246,260,1,0,1,1233,177,0
2025-08-07 00:12:21,1744,1870,9,0,1,303,1,0,190018,1,0,0,780,458,10,10,36,11,0,159,20747,5871,260,1,0,9,2898,177,1545
2025-08-07 01:26:38,2580,3429,11,0,3,1878,140,4,190075,1,0,0,972,515,27,26,86,13,2,193,20756,8450,260,1,0,11,3470,290,725
2025-08-07 02:33:34,3226,4479,11,0,0,1542,160,0,190314,1,0,0,1136,555,78,78,95,14,3,205,21077,10854,261,1,0,11,4459,296,0
2025-08-07 03:38:33,3784,4810,11,0,20,801,263,17,190366,1,0,0,1331,650,80,80,121,14,3,283,21331,12261,261,1,0,11,4855,296,0
2025-08-07 04:41:57,3901,4821,11,0,2,38,4,0,190473,1,0,0,1479,730,104,104,140,16,3,311,21363,12558,265,1,0,11,5266,298,1036
2025-08-07 23:48:55,1314,2343,1,0,3,2268,4923,0,4,1,0,0,937,594,35,50,79,12,0,6,3,25486,0,1,0,1,3123,476,0
2025-08-08 01:13:13,2247,3512,1,0,0,1474,993,2,7,1,0,0,1096,617,463,475,81,12,0,6,4,29675,0,1,0,1,3644,506,0
2025-08-08 02:25:19,2616,4543,1,0,4,869,2649,5,9,1,0,0,1301,770,463,475,88,12,0,22,4,33792,0,1,0,1,4475,510,961
2025-08-08 03:33:48,4025,11902,2,1,0,1301,3199,20,20,1,0,0,1600,897,560,573,107,16,0,57,7,40059,0,1,0,2,5836,687,0
2025-08-08 06:08:25,208,97,1,0,0,144,700,48,100,1,0,0,710,433,4,3,58,43,0,72,3,1662,5,0,0,1,696,153,0
2025-08-08 07:11:11,230,98,1,0,0,152,1,7,28023,1,0,0,736,444,4,3,58,43,0,80,3062,1835,34,0,0,1,700,153,0
2025-08-08 08:14:19,230,98,1,0,0,192,0,0,55382,1,0,0,736,444,4,3,58,43,0,80,6178,2027,59,0,0,1,700,153,0
2025-08-08 09:17:14,0,0,0,0,0,174,0,0,28215,1,0,0,0,0,0,0,0,0,0,0,3113,174,24,0,0,0,0,0,0
2025-08-08 10:21:09,0,0,0,0,0,176,0,0,56518,1,0,0,0,0,0,0,0,0,0,0,6141,350,47,0,0,0,0,0,0
2025-08-08 11:30:53,0,0,0,0,0,300,0,0,80760,1,0,0,0,0,0,0,0,0,0,0,8857,650,66,0,0,0,0,0,0
2025-08-16 21:19:04,59,24,0,0,7,75,26,1,0,0,0,0,52,18,0,0,15,2,0,5,0,171,0,0,0,0,80,17,4746
2025-08-16 23:20:06,177,149,0,0,2,157,50,2,452,1,0,0,105,24,8,8,20,3,0,11,40,474,0,0,0,0,271,44,4857
