record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-09 19:19:40,1,2,0,0,1,19,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,22,0,0,0,0,40,0,5382
2025-08-09 21:18:57,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,22,0,0,0,0,40,0,5377
2025-08-09 23:15:43,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,22,0,0,0,0,40,0,6705
2025-08-11 00:05:21,5685,12282,50,0,3,12628,259,1,124,1,0,0,461,216,0,0,21,4,0,413,10,19921,2,1,0,50,2199,0,506
2025-08-11 01:54:49,5857,12293,50,0,2,13,11,2,132,1,0,0,499,233,0,0,26,4,0,593,10,20287,2,1,0,50,2396,0,2728
2025-08-11 03:30:31,5858,12293,50,0,0,0,0,0,132,1,0,0,499,233,0,0,26,4,0,593,10,20287,2,1,0,50,2396,0,3393
2025-08-11 06:06:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2161
2025-08-11 16:27:57,2645,6394,0,1,3,6275,92,8,28,1,0,0,357,198,4,5,17,4,0,181,30,9353,6,1,0,0,973,18,2706
2025-08-11 18:38:08,2941,6732,0,0,11,446,100,19,153,1,0,0,690,382,20,21,74,8,4,239,30,11339,6,1,0,0,2072,22,1867
2025-08-11 20:48:03,4219,8892,15,0,4,1677,1128,0,426,1,0,0,1074,547,33,25,117,10,4,433,32,18189,7,1,0,15,3055,22,851
2025-08-12 13:14:49,210,491,0,0,1,511,0,0,6,1,0,0,37,16,0,0,9,3,0,7,0,772,0,0,0,0,169,0,5102
2025-08-12 15:32:02,1027,3224,1,0,0,3072,74,6,9,1,0,0,125,59,0,0,13,12,3,144,3534,5636,213,1,0,1,1664,21,1364
2025-08-13 10:15:42,1990,8591,30,0,2,9255,23,0,44,1,0,0,86,41,0,0,6,2,0,569,1,13667,0,0,0,30,998,0,483
2025-08-13 16:46:52,911,6847,6,0,7,7771,295,4,128,1,0,0,324,147,0,0,54,4,2,1251,13,12882,0,1,0,6,1913,7,0
2025-08-13 20:44:41,2117,8250,7,1,1,186,383,8,274,1,0,0,1187,601,0,0,87,12,6,2127,24,18008,5,3,0,7,4504,101,2076
2025-08-13 22:46:30,3408,9439,23,0,4,1438,268,3,492,1,0,0,1550,710,0,0,99,12,6,2513,57,22951,5,3,0,23,5637,176,1148
2025-08-14 00:31:56,3580,9534,28,0,0,180,50,8,734,1,0,0,1770,790,3,3,139,16,10,2564,67,23991,5,3,0,28,7674,176,915
