record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 09:03:51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,12607
2025-08-05 10:09:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,3909
2025-08-05 11:15:15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,3974
2025-08-05 12:28:17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,4382
2025-08-05 14:03:50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,5732
2025-08-05 20:39:39,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,24,0,0,0,0,0,9,0,0,0,0,5243
2025-08-06 01:32:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3380
2025-08-06 02:34:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3691
2025-08-06 03:41:11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3410
2025-08-06 04:42:43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3692
2025-08-06 06:54:16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3404
2025-08-06 07:54:54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3637
2025-08-06 08:55:56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3662
2025-08-06 09:57:39,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,3388
2025-08-06 10:59:46,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,3726
2025-08-06 12:04:00,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,3854
2025-08-06 13:12:22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,4102
2025-08-06 14:25:41,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,4398
2025-08-06 15:49:20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,5018
2025-08-06 17:22:36,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,5595
2025-08-06 19:08:07,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,6331
2025-08-06 20:57:41,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,6574
2025-08-06 22:48:03,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,6622
2025-08-07 00:49:55,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,5,7,0,0,0,0,0,3,0,0,0,0,4903
2025-08-07 01:58:42,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,5,7,0,0,0,0,0,3,0,0,0,0,4126
2025-08-07 03:04:55,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,5,7,0,0,0,0,0,3,0,0,0,0,3973
2025-08-07 04:09:15,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,5,7,0,0,0,0,0,3,0,0,0,0,3859
2025-08-07 06:03:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3394
2025-08-07 07:04:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3656
