record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-06 01:33:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3332
2025-08-06 02:34:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3692
2025-08-06 03:36:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3685
2025-08-06 04:37:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3694
2025-08-06 06:03:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3356
2025-08-06 07:03:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3639
2025-08-06 08:04:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3639
2025-08-06 09:05:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3671
2025-08-06 11:00:01,55,28,2,0,12,58,20,7,19,1,0,0,183,90,0,0,28,2,0,39,2,491,1,1,0,2,404,0,0
2025-08-06 12:04:16,214,385,6,3,4,256,91,10,85,1,0,4,457,219,0,0,74,6,4,42,44,1457,22,1,0,6,513,0,0
2025-08-07 12:28:39,118,233,0,0,18,294,139,13,35,1,0,6,196,83,0,0,57,4,0,17,0,1025,1,0,0,0,357,0,0
2025-08-07 14:13:55,289,962,0,1,0,0,3,2,44,1,0,6,384,185,2,2,80,10,0,24,0,1542,1,1,0,0,490,1,3895
2025-08-07 15:29:15,289,962,0,0,0,0,0,0,44,1,0,6,384,185,2,2,80,10,0,24,0,1542,1,1,0,0,490,1,4218
2025-08-08 01:41:18,478,1614,1,0,0,0,0,0,113,1,0,6,795,444,4,4,157,36,2,46,0,3158,1,5,0,1,975,8,4345
2025-08-08 02:51:17,478,1614,1,0,0,0,0,0,113,1,0,6,795,444,4,4,157,36,2,46,0,3158,1,5,0,1,975,8,4199
2025-08-08 03:59:10,478,1614,1,0,0,0,0,0,113,1,0,6,795,444,4,4,157,36,2,46,0,3158,1,5,0,1,975,8,4073
2025-08-08 06:05:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3486
2025-08-08 07:08:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3764
2025-08-08 08:11:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3789
2025-08-08 09:14:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3775
2025-08-08 10:18:08,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3499
2025-08-08 11:27:45,26,21,0,1,1,114,10,0,40,0,0,0,80,27,12,12,21,9,9,14,40,410,17,0,0,0,91,0,2532
