record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-08 02:54:52,36,21,0,0,0,24,0,0,0,0,0,0,39,27,0,0,0,2,0,0,0,134,0,1,0,0,86,0,2273
2025-08-08 04:02:46,36,21,0,0,0,0,0,0,0,0,0,0,39,27,0,0,0,2,0,0,0,134,0,1,0,0,86,0,4074
2025-08-09 02:31:20,36,4,0,0,0,5,0,0,11,1,0,0,69,49,0,0,4,16,0,0,34,175,10,7,0,0,114,0,4391
2025-08-10 01:48:33,100,34,0,0,0,42,5,17,57,1,0,1,534,431,0,0,1,5,0,28,0,643,103,1,0,0,535,0,35788
2025-08-10 03:16:16,183,70,0,0,0,53,6,5,74,1,0,1,726,599,0,0,1,5,0,28,0,922,127,1,0,0,675,0,3322
2025-08-11 02:17:03,88,16,0,0,0,22,3,10,53,1,0,0,377,302,0,0,6,2,0,1,77,460,141,0,0,0,399,0,57
2025-08-11 03:49:22,88,16,0,0,0,0,0,0,53,1,0,0,377,302,0,0,6,2,0,1,77,460,141,0,0,0,399,0,5538
2025-08-12 10:55:13,162,146,4,0,0,187,466,1,32,1,0,0,85,68,0,0,0,2,0,0,8,1286,6,1,0,4,654,2,256
2025-08-12 12:32:28,162,146,4,0,0,0,0,0,32,1,0,0,85,68,0,0,0,2,0,0,8,1286,6,1,0,4,654,2,5834
2025-08-12 14:23:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6664
2025-08-13 02:59:46,492,570,1,0,0,329,36,0,0,0,0,0,111,65,0,0,9,10,0,2,34,1438,1,2,0,1,570,1,4307
2025-08-13 04:09:18,492,570,1,0,0,0,0,0,0,0,0,0,111,65,0,0,9,10,0,2,34,1438,1,2,0,1,570,1,4172
2025-08-13 06:05:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3469
2025-08-14 02:29:48,1009,1213,3,1,0,1499,197,2,25,1,0,0,116,66,21,25,0,2,0,0,5,2200,2,1,0,3,459,2,69060
2025-08-14 03:38:35,1009,1213,3,0,0,0,0,0,25,1,0,0,116,66,21,25,0,2,0,0,5,2200,2,1,0,3,459,2,4126
2025-08-14 04:44:36,1009,1213,3,0,0,0,0,0,25,1,0,0,116,66,21,25,0,2,0,0,5,2200,2,1,0,3,459,2,3961
2025-08-14 06:06:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3524
