record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 14:44:29,585,729,0,0,1,921,4661,7,36,1,0,0,172,120,162,172,6,2,0,39,0,8328,0,0,0,0,438,1,0
2025-08-05 16:26:14,742,866,0,0,1,231,3036,1,54,1,0,0,249,156,162,172,20,3,1,111,0,13617,0,0,0,0,619,1,1763
2025-08-05 18:06:35,883,1035,1,0,8,225,1464,10,67,1,0,0,488,307,201,213,37,6,2,127,0,15865,0,0,0,1,1002,249,1514
2025-08-05 19:29:37,1089,1227,1,0,3,266,266,3,83,1,0,0,637,402,201,213,54,8,2,130,0,16633,0,0,0,1,1253,387,2478
2025-08-05 21:52:03,6,15,0,0,0,76,4,0,34,1,0,0,65,41,0,0,10,11,3,1,0,241,0,2,0,0,192,0,4483
2025-08-05 23:24:21,8,17,0,0,0,3,2,0,34,1,0,0,85,56,0,0,11,12,4,3,0,276,0,2,0,0,221,0,4827
2025-08-06 12:57:57,21,26,0,0,1,39,202,2,1,0,0,0,116,72,0,0,34,5,3,0,0,461,0,0,0,0,287,0,779
2025-08-06 14:10:39,21,26,0,0,0,0,55,0,1,0,0,0,132,87,0,0,35,5,3,0,0,540,0,0,0,0,292,0,3946
2025-08-06 15:32:50,395,409,0,0,0,539,630,3,2,0,0,0,449,302,0,0,37,5,3,51,0,2365,0,0,0,0,426,145,0
2025-08-06 17:01:37,695,711,0,0,1,493,1550,12,27,1,0,0,833,546,133,131,50,7,3,55,0,5639,0,0,0,0,902,602,0
2025-08-06 18:46:57,798,793,0,0,0,138,347,0,55,1,0,0,937,595,133,131,51,8,4,59,0,6368,0,0,0,0,1250,679,4409
2025-08-06 20:35:00,851,819,0,0,0,33,291,0,55,1,0,0,1051,687,133,131,59,8,4,59,0,6908,0,0,0,0,1431,689,3616
2025-08-07 15:07:09,36,26,0,0,0,47,155,3,12,1,0,0,260,225,0,0,5,2,0,8,0,562,0,0,0,0,170,3,2161
2025-08-07 16:30:38,36,26,0,0,0,0,0,0,12,1,0,0,260,225,0,0,5,2,0,8,0,562,0,0,0,0,170,3,5008
