record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-06 11:09:37,220,152,0,0,0,317,148,6,147,1,0,0,283,142,13,14,12,4,0,31,160,1155,34,1,0,0,679,53,0
2025-08-06 22:16:29,1487,1261,6,0,0,1023,580,19,921,1,3,0,1061,452,109,110,81,15,1,180,357,9338,62,6,0,6,5672,99,0
2025-08-07 10:48:20,355,79,12,0,0,195,22,5,250,1,1,0,183,118,5,5,2,2,0,65,0,1180,0,0,0,12,1237,7,0
2025-08-07 17:06:02,689,448,17,0,0,152,54,0,370,1,1,0,573,317,45,45,32,18,0,120,115,3352,17,2,0,17,3162,73,1740
2025-08-07 23:03:41,1259,1079,20,0,0,232,114,10,417,1,1,0,1174,639,82,82,61,22,0,141,1734,6330,205,4,0,20,4825,183,2561
2025-08-08 11:41:16,596,904,0,0,1,1055,692,22,8,1,0,0,274,178,0,0,5,2,0,19,58,2270,25,0,0,0,599,43,0
2025-08-09 12:39:09,348,430,9,8,0,608,737,7,89,1,0,0,261,116,10,9,15,2,0,39,22,2434,3,0,0,9,1822,12,0
2025-08-09 16:54:28,930,1380,11,11,0,1244,166,2,128,1,0,0,401,187,10,9,28,8,0,54,66,4836,9,2,0,11,2257,12,2587
2025-08-10 16:35:38,1892,2824,2,4,0,1093,466,3,169,1,0,0,565,315,91,94,28,14,1,39,25,11094,0,2,0,2,2582,3,2792
2025-08-10 22:21:56,2867,4571,5,0,3,1378,178,12,211,1,24,0,1220,677,135,137,110,18,3,88,138,17196,7,3,0,5,4956,7,542
2025-08-11 11:38:31,361,863,1,0,0,210,141,13,52,1,0,0,213,131,11,11,10,3,1,78,5,830,3,0,0,1,471,4,1532
2025-08-13 12:48:28,178,281,0,0,0,401,231,4,20,1,0,0,348,165,9,9,44,18,16,25,209,1628,26,0,0,0,740,0,20
2025-08-13 16:25:09,433,305,0,0,0,828,217,29,318,1,1,0,339,129,67,67,40,3,1,120,4,3047,1,1,0,0,706,19,0
2025-08-14 11:56:05,258,309,3,0,0,324,184,14,333,1,0,0,236,100,7,7,24,10,0,24,19,1525,1,0,0,3,1117,0,0
2025-08-15 10:35:12,39,42,0,0,0,65,79,2,21,1,0,0,95,33,3,3,24,5,0,3,12,547,1,0,0,0,1656,1,261
2025-08-16 15:51:36,1644,2352,0,0,0,667,685,5,19,1,0,0,444,302,36,36,10,21,0,55,0,6451,0,1,0,0,1587,74,119
2025-08-16 17:43:22,2264,3375,2,2,0,861,1144,35,39,1,0,0,968,638,36,36,54,21,0,80,5,9766,1,1,0,2,2622,155,0
