record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-07 14:08:56,652,2694,9,2,0,1067,200,2,497,1,0,0,166,62,14,14,21,7,5,83,10,3036,2,0,0,9,571,0,0
2025-08-07 15:23:17,1391,4026,16,1,0,1237,221,69,1080,1,0,0,385,179,14,14,24,25,18,96,67,6968,8,0,0,16,1142,56,33
2025-08-08 14:36:56,616,796,26,5,7,1452,165,1,1109,1,0,0,227,80,282,282,49,45,42,219,20,5014,5,0,0,26,982,3,0
2025-08-08 17:45:26,754,877,72,1,9,382,22,0,2468,17,0,0,437,136,317,310,120,74,68,428,33,7358,7,1,0,72,1827,3,108
2025-08-08 21:37:32,822,911,84,0,12,70,17,18,3461,1,0,0,829,336,327,318,188,92,79,538,62,9205,20,2,0,84,3152,3,968
2025-08-09 00:02:35,1155,1148,116,0,2,418,166,1,4367,1,0,0,1098,451,377,368,213,100,81,615,155,11618,36,3,0,116,4315,48,159
2025-08-09 13:01:25,178,1021,10,0,6,65,44,0,221,1,0,0,159,68,19,19,51,3,1,28,25,647,8,0,0,10,879,3,1083
2025-08-09 14:48:58,181,1023,16,0,1,7,2,0,223,1,0,0,200,98,19,19,55,4,1,29,25,781,8,0,0,16,1154,3,5058
2025-08-09 16:40:22,182,1023,16,0,0,6,0,0,240,1,0,0,231,100,19,19,57,27,24,29,27,859,8,0,0,16,1381,3,4230
2025-08-09 18:30:03,182,1023,16,0,0,0,0,0,241,1,0,0,236,102,19,19,58,27,24,33,28,895,8,0,0,16,1469,3,5138
2025-08-09 20:28:32,260,1148,22,0,1,292,73,1,606,1,0,0,342,133,29,29,88,28,25,41,32,2016,8,0,0,22,2152,35,1430
2025-08-10 06:33:35,3,0,0,0,0,0,7,0,1,0,0,0,27,10,0,0,8,2,0,0,0,83,0,0,0,0,37,0,2870
2025-08-10 08:51:12,3,0,0,0,0,0,0,0,1,0,0,0,36,14,0,0,14,4,0,0,0,87,0,1,0,0,111,0,2859
2025-08-10 10:03:40,3,0,0,0,0,0,0,0,1,0,0,0,36,14,0,0,14,4,0,0,0,87,0,1,0,0,111,0,4347
2025-08-10 11:25:22,3,0,0,0,0,0,0,0,1,0,0,0,36,14,0,0,14,4,0,0,0,87,0,1,0,0,111,0,4902
2025-08-10 13:04:07,3,0,0,0,0,0,0,0,1,0,0,0,36,14,0,0,14,4,0,0,0,87,0,1,0,0,111,0,5683
2025-08-12 00:42:02,2336,5594,7,0,2,1608,474,4,145,1,0,0,498,236,6,6,32,21,3,465,143,13313,7,1,0,7,2507,41,0
2025-08-12 15:25:46,451,1032,3,0,4,1137,670,2,44,1,0,0,139,31,240,14,25,9,5,93,1,4411,1,1,0,3,1557,0,859
2025-08-12 18:16:06,290,422,3,0,3,318,1381,0,50,0,0,0,183,44,19,5,28,10,8,102,0,2943,0,0,0,3,859,0,772
2025-08-12 20:08:12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6726
2025-08-13 15:27:09,821,3973,7,0,3,4076,202,0,168,1,0,0,136,51,94,88,41,5,3,45,66,7521,14,0,0,7,1126,0,371
2025-08-13 17:25:55,882,4077,15,41,0,165,50,0,218,2,0,0,203,72,163,150,50,9,7,72,66,8465,14,0,0,15,2025,0,1294
