record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-06 10:19:28,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,0,0,0,8,0,0,0,0,16,0,2815
2025-08-06 11:21:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3743
2025-08-06 12:27:08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3915
2025-08-06 13:37:11,84,113,0,0,0,142,0,3,0,0,0,0,19,19,0,0,0,0,0,33,0,275,0,0,0,0,93,0,3570
2025-08-06 14:55:22,85,113,0,0,0,0,0,0,0,0,0,0,27,23,0,0,0,0,0,34,0,281,0,0,0,0,104,0,4347
2025-08-06 17:58:07,2097,718,0,0,0,176,115,0,0,0,0,0,518,407,0,0,13,2,0,1573,0,2950,0,1,0,0,914,44,2295
2025-08-06 19:43:02,3437,4785,0,0,0,4128,1140,3222,0,0,0,0,692,567,0,0,27,2,0,4784,0,34379,0,1,0,0,1449,82,1036
2025-08-07 00:18:19,3915,5855,0,0,0,40,8200,0,0,0,0,0,935,741,0,0,42,7,0,4833,0,60293,0,3,0,0,2819,90,1036
2025-08-10 23:57:18,58,57,0,0,0,80,6736,3,0,0,0,0,109,67,0,0,6,3,0,2,0,15046,3,0,0,0,735,0,1271
2025-08-11 01:46:44,60,57,0,0,0,0,4253,0,0,0,0,0,132,82,0,0,10,4,0,2,0,24333,3,0,0,0,1009,0,4129
2025-08-11 03:23:22,61,60,0,0,0,3,12,0,0,0,0,0,150,96,0,0,11,4,0,2,0,24384,3,0,0,0,1044,0,4439
2025-08-11 11:25:57,3,1,0,0,0,6,43,0,0,0,0,0,45,39,0,0,3,2,0,1,0,97,0,0,0,0,81,0,3833
2025-08-11 13:10:08,370,407,0,0,0,461,129,10,0,0,0,0,38,15,0,0,2,0,0,11,0,717,0,0,0,0,257,3,3253
2025-08-11 15:09:59,378,416,0,0,1,9,14,0,0,0,0,0,68,37,0,0,3,0,0,31,0,791,0,0,0,0,373,3,4692
2025-08-11 17:15:35,379,416,0,0,0,0,0,0,0,0,0,0,71,39,0,0,3,0,0,31,0,794,0,0,0,0,373,3,7163
2025-08-11 19:25:04,386,416,1,0,0,0,2,0,0,0,0,0,316,47,0,0,13,217,217,39,0,835,0,0,0,1,529,3,4133
2025-08-11 21:36:02,386,416,1,0,0,0,0,0,0,0,0,0,316,47,0,0,13,217,217,39,0,835,0,0,0,1,529,3,7858
2025-08-11 23:37:42,388,418,2,0,0,2,6506,0,0,0,0,0,388,102,0,0,22,218,217,40,0,14030,0,0,0,2,857,3,4003
2025-08-12 01:29:17,390,418,2,0,0,0,0,1,0,0,0,0,431,129,0,0,30,227,217,41,0,14083,1,2,0,2,938,3,4437
2025-08-12 03:28:02,2358,5110,3,0,0,4734,328,32,13,1,0,0,655,302,1,1,53,229,217,56,0,23053,1,3,0,3,1317,52,863
2025-08-12 12:36:03,5,4,0,0,0,4,4,99,0,0,0,0,89,78,0,0,2,2,0,10,0,95,0,0,0,0,45,1,3828
2025-08-12 14:27:43,193,80,0,0,0,90,1515,1,2,1,0,0,170,139,42,40,9,2,0,39,0,4188,0,0,0,0,200,623,4160
2025-08-12 18:40:36,527,674,0,0,0,802,48,0,0,0,0,0,45,5,65,66,1,4,0,14,0,1353,0,0,0,0,345,11,3645
2025-08-12 20:33:51,594,697,0,0,0,30,274,1,0,0,0,0,93,35,66,66,7,4,0,18,0,1811,0,0,0,0,402,24,4775
2025-08-12 22:31:35,667,784,0,0,0,102,4,1,0,0,0,0,130,64,85,85,8,4,0,22,0,2016,0,0,0,0,487,28,4388
2025-08-13 00:27:21,667,784,0,0,0,0,0,1,0,0,0,0,147,80,85,85,8,4,0,22,0,2036,0,0,0,0,499,28,6197
2025-08-13 02:06:48,426,442,0,0,0,512,1573,107,0,0,0,0,275,220,32,28,19,0,0,76,0,4555,0,0,0,0,354,647,1174
2025-08-13 14:11:48,6,13,0,0,0,14,0,0,0,0,0,0,25,21,0,0,4,2,0,1,0,43,0,0,0,0,18,0,5560
2025-08-13 16:12:49,126,173,0,0,0,161,0,1,0,0,0,0,58,41,20,36,4,4,0,4,0,388,0,0,0,0,141,0,5526
2025-08-13 18:08:11,126,173,0,0,0,0,0,0,0,0,0,0,69,51,20,36,4,4,0,4,0,406,0,0,0,0,161,0,5250
2025-08-13 23:28:27,347,593,0,0,0,0,0,6,2,1,0,0,127,89,49,53,8,12,0,17,0,1103,0,4,0,0,334,4,5254
2025-08-14 01:00:48,349,593,0,0,0,0,0,0,2,1,0,0,155,115,49,53,9,12,0,17,0,1137,0,4,0,0,364,4,4576
2025-08-14 02:11:54,373,615,0,0,0,38,9367,3,2,1,0,0,220,168,49,53,12,13,0,21,0,21080,0,4,0,0,1113,4,605
2025-08-14 13:14:32,83,10,0,0,0,10,39,108,0,0,0,0,94,86,0,0,6,2,0,72,0,146,0,0,0,0,40,5,4450
2025-08-14 15:14:17,101,26,0,0,0,27,1501,0,0,0,0,0,48,34,36,34,3,0,0,57,0,3692,0,0,0,0,134,614,5143
2025-08-14 17:08:59,121,46,0,0,0,33,8767,0,0,0,0,0,144,69,36,34,5,1,0,58,0,22234,0,0,0,0,617,614,959
