record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-16 00:58:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-16 02:32:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-16 03:52:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-16 06:05:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-16 07:09:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-16 08:14:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-16 09:20:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-16 10:35:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-16 12:09:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-16 14:45:35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,108,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-16 17:22:21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,3,0,0,0,0,0,1,0,0,0,0,0
2025-08-16 20:30:09,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,66,5,0,0,0,0,0,2,0,0,0,0,0
2025-08-16 23:03:05,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,99,7,0,0,0,0,0,3,0,0,0,0,0
2025-08-17 00:53:11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,147,7,0,0,0,0,0,3,0,0,0,0,0
2025-08-17 02:32:01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,191,7,0,0,0,0,0,3,0,0,0,0,0
2025-08-17 03:44:32,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,220,7,0,0,0,0,0,3,0,0,0,0,0
