record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-08 21:04:16,508,620,1,1,0,768,368,48,80,1,0,11,354,140,16,16,36,6,4,25,124,1775,32,0,0,1,461,5,1288
2025-08-08 23:01:35,1321,2122,4,0,0,400,140,102,131,1,0,27,901,475,27,28,87,9,5,33,906,3035,303,0,0,4,725,21,1032
2025-08-10 00:08:56,2883,5629,1,0,0,1925,315,18,297,2,0,13,830,413,16,16,122,30,18,23,3550,5571,360,3,0,1,1272,22,15
2025-08-10 21:03:02,5519,7032,5,0,0,3979,589,22,42,1,0,13,374,138,13,13,17,12,2,59,74,11025,7,4,0,5,1182,6,2018
2025-08-11 20:34:29,3068,3871,1,0,1,4133,135,18,5,1,0,6,289,195,0,0,12,2,0,6,2687,5690,322,0,0,1,575,6,2472
2025-08-12 20:09:53,360,425,1,0,0,551,259,25,148,1,0,6,286,105,2,2,19,11,1,23,96,1873,2,0,0,1,1093,0,1905
2025-08-12 22:05:55,1019,1180,3,0,0,824,94,1,108,1,0,9,446,173,2,2,28,11,1,39,2611,3160,155,0,0,3,2703,0,627
2025-08-13 20:25:34,1990,8384,0,0,0,1778,96,100,44,1,0,12,381,267,1,1,6,2,0,19,17,2833,0,0,0,0,610,20,1068
2025-08-14 22:22:21,4642,6303,0,0,0,7086,372,16,44,1,0,5,235,116,1,1,6,2,0,11,30,9188,0,0,0,0,1038,4,0
2025-08-15 23:13:43,3586,5671,8,0,0,376,1405,35,140,1,0,19,469,224,3,3,23,9,1,40,97,10245,1,3,0,8,2941,6,45
