record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:05:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3168
2025-08-05 07:07:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3454
2025-08-05 08:10:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3731
2025-08-05 09:14:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3554
2025-08-05 10:19:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3615
2025-08-05 11:26:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3718
2025-08-05 12:42:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3939
2025-08-05 14:20:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5907
2025-08-05 19:06:19,14,0,0,0,0,0,0,0,1,1,0,0,35,24,0,0,20,3,0,11,0,40,0,1,0,0,59,0,10708
2025-08-05 20:37:07,22,10,0,0,0,12,28,8,1,1,0,0,110,85,0,0,27,8,0,11,0,161,0,1,0,0,333,0,4002
2025-08-05 22:17:37,111,233,0,0,0,35,125,4,4,1,0,0,243,176,0,0,64,14,0,16,64,462,23,1,0,0,653,5,3393
2025-08-06 00:25:46,1889,4651,0,0,0,647,1649,12,4,1,0,0,541,389,12,12,97,28,0,59,64,4051,23,2,0,0,1809,48,0
2025-08-06 01:33:01,9,8,0,0,0,8,51,0,1,0,0,0,3,2,0,0,1,2,0,0,0,64,0,0,0,0,42,0,3132
2025-08-06 02:34:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3691
2025-08-06 03:35:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3685
2025-08-06 04:37:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3694
2025-08-06 06:03:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3355
2025-08-06 07:03:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3639
2025-08-06 08:04:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,12,0,3249
2025-08-06 09:05:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3671
2025-08-06 23:30:12,804,1204,1,0,0,1397,951,24,17,1,0,0,266,161,11,16,38,8,0,37,2,3477,1,1,0,1,1340,337,44123
2025-08-07 00:48:28,918,1345,1,0,0,176,663,0,17,1,0,0,348,218,11,16,45,8,0,40,2,4486,3,1,0,1,1507,609,3126
2025-08-07 01:57:28,918,1345,1,0,0,0,0,0,17,1,0,0,348,218,11,16,45,8,0,40,2,4486,3,1,0,1,1507,609,4140
2025-08-07 03:03:44,918,1345,1,0,0,0,0,0,17,1,0,0,348,218,11,16,45,8,0,40,2,4486,3,1,0,1,1507,609,3975
