record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:05:20,3,0,0,0,0,0,0,0,78,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1561
2025-08-05 07:07:55,9,0,0,0,0,0,0,0,151,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,826
2025-08-05 08:10:07,9,0,0,0,0,0,0,0,151,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3686
2025-08-05 09:14:23,9,0,0,0,0,0,0,0,156,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3432
2025-08-05 10:19:39,9,0,0,0,0,0,0,0,156,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3699
2025-08-05 11:26:37,9,0,0,0,0,0,0,0,156,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4018
2025-08-05 12:42:20,9,0,0,0,0,0,0,0,156,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4542
2025-08-06 02:40:31,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,2703
2025-08-06 03:41:56,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,3684
2025-08-06 04:43:28,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,3692
2025-08-06 06:03:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3055
2025-08-06 07:03:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3639
2025-08-06 08:04:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3639
2025-08-06 09:05:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3094
2025-08-06 10:07:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3234
2025-08-06 11:09:33,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,12,0,3400
2025-08-06 12:35:34,34,37,0,0,1,58,648,1,8,1,0,0,290,268,0,0,17,2,0,0,3,2412,0,1,0,0,315,4,891
2025-08-06 13:46:18,81,83,0,0,1,77,1030,0,9,1,0,0,603,561,0,0,26,2,0,3,3,4955,0,1,0,0,523,31,313
2025-08-06 15:36:29,626,326,1,0,11,217,215,3,515,1,0,0,988,824,15,13,77,8,4,5,140,6557,110,2,0,1,1090,31,0
2025-08-07 00:39:53,626,326,1,0,0,0,0,0,515,1,0,0,1005,834,15,13,78,10,4,5,164,6567,133,3,0,1,1091,31,4333
2025-08-07 01:50:34,626,326,1,0,0,0,0,0,515,1,0,0,1005,834,15,13,78,10,4,5,164,6567,133,3,0,1,1091,31,4241
2025-08-07 02:57:05,626,326,1,0,0,0,0,0,515,1,0,0,1005,834,15,13,78,10,4,5,164,6567,133,3,0,1,1091,31,3991
2025-08-07 04:01:41,626,326,1,0,0,0,0,0,515,1,0,0,1005,834,15,13,78,10,4,5,164,6567,133,3,0,1,1091,31,3875
2025-08-07 06:03:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3394
2025-08-07 07:04:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3656
2025-08-07 08:25:29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3278
2025-08-07 09:27:52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3743
2025-08-07 10:31:04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3792
2025-08-07 11:35:43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3879
2025-08-07 13:52:32,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,3883
2025-08-07 15:06:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4426
