record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 22:55:52,21,0,0,0,0,0,0,0,0,0,0,0,57,41,0,0,9,2,0,9,0,45,0,0,0,0,589,0,2714
2025-08-06 23:07:02,2,0,0,0,0,0,0,0,4,0,0,0,42,26,0,0,6,2,0,2,0,52,0,0,0,0,71,0,5534
2025-08-07 22:42:09,0,0,0,0,0,0,0,0,0,0,0,0,41,38,0,0,2,3,0,0,0,38,0,0,0,0,54,0,6005
2025-08-08 23:04:58,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,3,1,0,0,22,0,0,0,0,591,0,4693
2025-08-09 15:31:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6411
2025-08-09 17:20:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6509
2025-08-09 19:15:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6891
2025-08-09 21:14:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7141
2025-08-09 23:11:06,0,0,0,0,0,0,0,0,0,0,0,0,20,15,0,0,4,2,0,0,0,15,0,0,0,0,66,0,6493
2025-08-10 01:01:54,0,0,0,0,0,0,0,0,0,0,0,0,20,15,0,0,4,2,0,0,0,15,0,0,0,0,66,0,6647
2025-08-10 19:56:45,1,1,0,0,0,1,1,1,0,0,0,0,77,70,0,0,5,2,0,0,7,640,0,0,0,0,390,0,6026
2025-08-10 22:02:22,1,1,0,0,0,0,0,0,0,0,0,0,77,70,0,0,5,2,0,0,7,640,0,0,0,0,390,0,7537
2025-08-11 21:50:33,3,0,0,0,1,0,1,0,0,0,0,0,69,60,0,0,6,2,0,3,0,72,0,0,0,0,43,0,6949
2025-08-12 22:12:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6696
2025-08-14 22:09:13,0,0,0,0,0,0,0,0,1,0,0,0,7,5,0,0,1,2,0,21,0,21,0,0,0,0,38,0,5971
2025-08-15 22:25:23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,6108
2025-08-16 00:21:46,105,0,0,0,0,209,5,38,15,0,0,0,225,181,0,0,85,2,0,25,0,744,0,0,0,0,354,0,4746
2025-08-16 15:28:07,1,0,0,0,2,0,0,0,0,0,0,0,17,9,0,0,4,2,0,2,0,17,0,0,0,0,257,0,4529
2025-08-16 17:17:45,1,0,0,0,0,0,0,0,0,0,0,0,17,9,0,0,4,3,0,2,0,17,0,0,0,0,257,0,6578
2025-08-16 19:16:45,1,0,0,0,0,0,0,0,0,0,0,0,17,9,0,0,4,3,0,2,0,17,0,0,0,0,257,0,7139
2025-08-16 21:14:13,1,0,0,0,0,0,0,0,0,0,0,0,17,9,0,0,4,3,0,2,0,17,0,0,0,0,257,0,7048
2025-08-17 00:46:21,22,32,0,0,0,62,1979,66,3,0,0,0,98,46,2,3,44,7,2,13,0,5388,0,1,0,0,2336,0,3901
