record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:06:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 07:08:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 08:11:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 10:19:10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,78,4,0,0,0,1,0,1,0,0,0,0,0
2025-08-05 11:26:05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98,4,0,0,0,1,0,1,0,0,0,0,0
2025-08-05 12:41:40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,132,4,0,0,0,1,0,1,0,0,0,0,0
2025-08-05 15:48:02,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,200,6,0,0,0,2,0,2,0,0,0,0,0
2025-08-05 17:27:24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,238,6,0,0,0,2,0,2,0,0,0,0,0
2025-08-05 19:01:43,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,274,6,0,0,0,2,0,2,0,0,0,0,0
2025-08-05 20:30:54,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,314,10,0,0,0,2,0,2,0,0,0,0,0
2025-08-05 22:11:41,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,358,10,0,0,0,2,0,2,0,0,0,0,0
2025-08-05 23:40:52,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,398,10,0,0,0,2,0,2,0,0,0,0,0
2025-08-06 01:34:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,1,0,0,0,0,0,0,0
2025-08-06 02:35:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,1,0,0,0,0,0,0,0
2025-08-06 03:37:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,0,0,0,1,0,0,0,0,0,0,0
2025-08-06 04:38:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2,0,0,0,1,0,0,0,0,0,0,0
2025-08-06 06:03:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 07:03:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 08:04:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 09:05:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 10:07:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 11:09:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 12:14:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 13:23:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 14:39:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0
