record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:05:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 07:08:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 08:10:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 10:20:10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,90,4,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 11:27:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 12:43:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 15:47:44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 17:27:06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 19:01:29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,69,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 20:30:33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,89,6,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 22:11:24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,112,6,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 23:40:38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,138,6,0,0,0,0,0,1,0,0,0,0,0
2025-08-06 01:32:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 02:34:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 03:35:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 04:37:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 06:02:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 07:03:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 08:04:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 09:05:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 10:07:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 11:09:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 12:13:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 13:23:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 14:38:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,2,0,0,0,0,0,0,0,0,0,0,0
