record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-06 14:29:05,2,0,0,0,0,0,1,0,0,0,0,0,24,14,0,0,3,4,0,1,0,794,0,1,0,0,10,0,474
2025-08-06 15:52:46,2,0,0,0,0,0,0,0,0,0,0,0,24,14,0,0,3,4,0,1,0,2048,0,1,0,0,10,0,0
2025-08-06 17:27:03,2,0,0,0,0,0,0,0,0,0,0,0,24,14,0,0,3,4,0,1,0,3468,0,1,0,0,10,0,0
2025-08-06 19:12:30,2,0,0,0,0,0,0,0,0,0,0,0,24,14,0,0,3,4,0,1,0,5048,0,1,0,0,10,0,0
2025-08-07 19:02:07,5,5,0,0,0,6,3,0,0,0,0,0,19,14,0,0,0,4,0,0,0,29,0,1,0,0,20,0,5905
2025-08-07 20:40:23,5,5,0,0,0,0,0,0,0,0,0,0,19,14,0,0,0,4,0,0,0,29,0,1,0,0,20,0,5895
2025-08-07 22:27:55,5,5,0,0,0,0,0,0,0,0,0,0,21,16,0,0,1,4,0,0,0,30,0,1,0,0,20,0,6136
2025-08-12 09:41:55,170,152,0,0,22,217,300,8,39,1,0,0,267,199,0,0,21,2,0,19,0,1009,1,0,0,0,436,26,715
2025-08-12 11:00:41,363,276,1,0,5,173,77,0,100,1,0,0,396,300,0,0,30,5,1,34,0,1922,1,0,0,1,740,26,424
2025-08-13 10:23:59,965,1729,0,0,8,1909,1617,4,12,1,0,0,224,139,39,39,22,2,0,13,0,5321,1,0,0,0,625,1,0
2025-08-13 15:09:24,2,0,0,0,0,3032,0,0,2,0,0,0,8,3,0,0,1,4,0,0,0,3058,0,2,0,0,13,0,0
2025-08-13 17:08:36,2,0,0,0,0,3167,0,0,2,0,0,0,8,3,0,0,1,4,0,0,0,6225,0,2,0,0,13,0,0
2025-08-13 19:05:10,2,0,0,0,0,3104,0,0,2,0,0,0,8,3,0,0,1,4,0,0,0,9329,0,2,0,0,13,0,0
2025-08-13 21:09:28,0,0,0,0,0,3296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3296,0,0,0,0,0,0,0
2025-08-15 13:45:36,0,0,0,0,0,6779,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6798,0,0,0,0,0,0,0
2025-08-15 15:43:43,0,0,0,0,0,8073,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14871,0,0,0,0,0,0,0
2025-08-15 17:35:10,0,0,0,0,0,7618,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,22489,0,0,0,0,0,0,0
