record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:05:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,32851,0,0,0,0,0,0,0
2025-08-05 07:07:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,66285,0,0,0,0,0,0,0
2025-08-05 08:10:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35942,0,0,0,0,0,0,0
2025-08-05 09:14:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67056,0,0,0,0,0,0,0
2025-08-05 10:19:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97702,0,0,0,0,0,0,0
2025-08-05 11:26:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128160,0,0,0,0,0,0,0
2025-08-05 12:42:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160935,0,0,0,0,0,0,0
2025-08-05 14:20:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200461,0,0,0,0,0,0,0
2025-08-05 16:02:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237744,0,0,0,0,0,0,0
2025-08-05 17:41:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269858,0,0,0,0,0,0,0
2025-08-05 19:11:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305471,0,0,0,0,0,0,0
2025-08-05 20:44:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,354186,0,0,0,0,0,0,0
2025-08-05 22:24:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,394077,0,0,0,0,0,0,0
2025-08-05 23:51:18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,4,0,0,0,424541,0,0,0,0,0,0,0
2025-08-06 01:33:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,70791,0,0,0,0,0,0,0
2025-08-06 02:34:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63487,0,0,0,0,0,0,0
2025-08-06 03:35:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115505,0,0,0,0,0,0,0
2025-08-06 04:37:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156551,0,0,0,0,0,0,0
2025-08-06 06:03:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,64224,0,0,0,0,0,0,0
2025-08-06 07:03:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63984,0,0,0,0,0,0,0
2025-08-06 08:04:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129012,0,0,0,0,0,0,0
2025-08-06 09:05:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180735,0,0,0,0,0,0,0
2025-08-06 10:07:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226957,0,0,0,0,0,0,0
2025-08-06 11:09:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270597,0,0,0,0,0,0,0
2025-08-06 12:14:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308131,0,0,0,0,0,0,0
2025-08-06 13:23:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346216,0,0,0,0,0,0,0
2025-08-06 14:39:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380240,0,0,0,0,0,0,0
2025-08-06 16:02:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414076,0,0,0,0,0,0,0
2025-08-06 17:39:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451836,0,0,0,0,0,0,0
2025-08-06 19:24:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491346,0,0,0,0,0,0,0
2025-08-06 21:14:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531380,0,0,0,0,0,0,0
2025-08-06 23:03:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570677,0,0,0,0,0,0,0
2025-08-07 00:23:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598176,0,0,0,0,0,0,0
2025-08-07 01:36:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623936,0,0,0,0,0,0,0
2025-08-07 02:43:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648227,0,0,0,0,0,0,0
2025-08-07 03:48:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672772,0,0,0,0,0,0,0
2025-08-07 04:51:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698883,0,0,0,0,0,0,0
2025-08-07 06:03:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,58021,0,0,0,0,0,0,0
