record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-12 00:41:14,429,530,0,0,15,825,23,15,56,1,0,0,191,88,0,0,81,11,1,3,387,1013,94,7,0,0,551,2,0
2025-08-12 10:42:29,3028,7678,1,0,1,5793,806,15,109,1,0,0,314,195,3,2,45,7,1,27,330,11143,127,1,0,1,1162,9,12
2025-08-12 12:18:01,3291,8711,1,0,1,438,53,0,109,1,0,0,316,196,3,2,47,7,1,27,330,11837,127,1,0,1,1238,9,5052
2025-08-12 14:06:06,3806,10417,1,0,1,739,221,3,132,1,0,0,387,235,3,2,60,7,1,31,332,13350,127,1,0,1,2133,11,4378
2025-08-12 16:11:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7495
2025-08-13 13:41:31,1690,6336,0,0,0,2581,64,16,2,1,0,0,211,96,2,4,36,3,0,43,0,4150,0,0,0,0,2313,6,465
2025-08-13 15:38:41,4127,9875,0,0,2,3756,733,10,63,1,0,0,522,296,110,113,52,4,0,83,26,10271,2,0,0,0,3621,6,376
2025-08-13 19:30:09,7462,15701,1,0,5,2799,786,71,121,1,0,0,1013,640,200,247,105,7,1,132,40,23687,5,1,0,1,4666,30,313
2025-08-14 10:56:23,34,183,0,0,0,13,2,0,0,0,0,0,12,8,0,0,1,2,0,0,0,24,0,0,0,0,22,0,4340
2025-08-14 12:26:04,34,183,0,0,0,0,0,0,0,0,0,0,12,8,0,0,1,2,0,0,0,24,0,0,0,0,22,0,5380
2025-08-14 14:21:45,34,183,0,0,0,0,0,0,0,0,0,0,13,9,0,0,2,2,0,0,0,25,0,0,0,0,26,0,6341
2025-08-14 16:18:45,36,183,0,0,0,0,0,0,0,0,0,0,36,31,0,0,4,2,0,1,0,37,0,0,0,0,26,0,6494
2025-08-15 14:10:44,1,1,0,0,0,1,0,0,0,0,0,0,25,25,0,0,1,2,0,1,0,30,0,0,0,0,10,0,5448
2025-08-15 16:09:42,2,1,0,0,0,0,0,0,0,0,0,0,25,25,0,0,1,2,0,1,0,30,0,0,0,0,10,0,6828
2025-08-15 18:02:14,2,1,0,0,0,0,0,0,0,0,0,0,25,25,0,0,1,2,0,1,0,30,0,0,0,0,10,0,6751
2025-08-16 00:12:31,74,2,1,0,32,5,18,3,23,1,0,0,249,169,0,0,54,4,0,3,35,250,3,1,0,1,473,0,690
2025-08-16 01:58:19,84,2,1,0,0,0,1,0,23,1,0,0,287,191,0,0,60,4,0,13,35,273,3,1,0,1,496,0,5610
2025-08-16 03:22:24,84,2,1,0,0,0,0,0,23,1,0,0,287,191,0,0,60,4,0,13,35,273,3,1,0,1,496,0,5045
2025-08-16 04:36:00,84,2,1,0,0,0,0,0,23,1,0,0,287,191,0,0,60,4,0,13,35,273,3,1,0,1,496,0,4415
2025-08-16 10:06:03,161,297,0,0,0,0,0,0,0,0,0,0,50,45,0,0,2,4,0,14,251,1120,1,1,0,0,24,0,8878
2025-08-16 14:02:12,161,297,0,0,0,0,0,0,0,0,0,0,52,46,0,0,3,6,0,14,251,1120,1,2,0,0,24,0,12351
2025-08-16 15:47:02,161,297,0,0,0,0,0,0,0,0,0,0,52,46,0,0,3,6,0,14,251,1120,1,2,0,0,24,0,6289
