record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 14:59:58,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0,0,1,2,0,0,0,11,0,0,0,0,0,0,5152
2025-08-06 02:29:16,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,2,0,0,0,7,0,0,0,0,2,0,3357
2025-08-06 13:57:49,0,0,0,0,0,0,0,0,0,0,0,0,131,106,0,0,14,5,0,1,341,145,184,1,0,0,175,0,3453
2025-08-06 16:48:07,176,110,0,0,0,159,7113,4,38,1,0,0,855,479,73,76,92,10,0,104,341,8564,184,3,0,0,1977,1707,0
2025-08-06 18:32:01,311,206,0,0,0,115,160,66,97,1,0,0,1242,753,73,100,121,10,0,123,342,9562,184,3,0,0,2327,1717,3357
2025-08-06 20:19:11,311,206,0,0,0,0,0,0,97,1,0,0,1242,753,73,100,121,10,0,123,342,9562,184,3,0,0,2327,1717,6430
2025-08-06 22:10:55,312,206,0,0,0,0,0,0,97,1,0,0,1242,753,73,100,121,10,0,123,342,9562,184,3,0,0,2327,1717,6703
2025-08-06 23:45:40,312,206,0,0,0,0,0,0,97,1,0,0,1242,753,73,100,121,10,0,123,342,9562,184,3,0,0,2327,1717,5684
2025-08-07 01:02:31,312,206,0,0,0,0,0,0,97,1,0,0,1242,753,73,100,121,10,0,123,342,9562,184,3,0,0,2327,1717,4610
2025-08-07 02:10:06,312,206,0,0,0,0,0,0,97,1,0,0,1242,753,73,100,121,10,0,123,342,9562,184,3,0,0,2327,1717,4055
2025-08-07 03:15:53,312,206,0,0,0,0,0,0,97,1,0,0,1242,753,73,100,121,10,0,123,342,9562,184,3,0,0,2327,1717,3946
2025-08-07 04:19:52,312,206,0,0,0,0,0,0,97,1,0,0,1242,754,73,100,122,10,0,123,342,9562,184,3,0,0,2327,1717,3839
2025-08-07 06:03:46,0,0,0,0,0,0,0,0,0,0,0,0,31,27,0,0,4,2,0,0,0,54,0,0,0,0,81,0,2523
2025-08-07 07:04:43,21,13,0,0,0,15,29,0,0,0,0,0,161,150,0,0,8,2,0,2,0,259,0,0,0,0,291,11,2334
2025-08-07 08:05:49,21,13,0,0,0,0,0,0,0,0,0,0,175,163,0,0,8,2,0,2,0,288,0,0,0,0,361,11,3049
2025-08-07 09:07:43,21,14,0,0,0,6,0,0,3,1,0,0,185,171,0,0,8,2,0,2,0,310,0,0,0,0,409,11,3004
2025-08-07 10:10:50,29,16,0,0,0,3,1,24,5,1,0,0,444,401,0,0,26,2,0,14,12,590,5,0,0,0,551,11,2367
2025-08-07 15:16:20,34,16,0,0,0,0,0,1,9,1,0,0,528,475,0,0,32,4,0,18,3974,700,257,1,0,0,905,11,3981
2025-08-07 16:42:13,34,16,0,0,0,0,0,2,9,1,0,0,564,505,0,0,36,4,0,18,11690,733,525,1,0,0,922,11,4935
2025-08-08 01:04:34,34,16,0,0,0,1,0,3,9,1,0,0,675,599,0,0,54,8,0,20,30157,842,1447,3,0,0,992,11,11261
2025-08-08 02:17:14,34,16,0,0,0,0,0,0,9,1,0,0,675,599,0,0,54,8,0,20,35481,842,1642,3,0,0,992,11,4360
2025-08-08 03:25:54,34,16,0,0,0,0,0,0,10,1,0,0,675,599,0,0,54,8,0,20,40255,842,1778,3,0,0,992,11,4119
2025-08-08 04:33:31,34,16,0,0,0,0,0,0,10,1,0,0,675,599,0,0,54,8,0,20,45093,842,1877,3,0,0,992,11,4057
2025-08-08 06:05:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5800,0,98,0,0,0,0,0,0
2025-08-08 07:08:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11898,0,191,0,0,0,0,0,0
2025-08-08 08:11:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18347,0,280,0,0,0,0,0,0
2025-08-08 09:14:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,24336,0,353,0,0,0,0,0,143
2025-08-08 10:18:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,30604,0,429,0,0,0,0,0,0
2025-08-08 11:27:45,0,0,0,0,0,0,0,0,0,0,0,0,15,13,0,0,4,2,0,0,31317,24,440,0,0,0,28,0,2948
2025-08-08 12:43:41,0,0,0,0,0,0,0,0,0,0,0,0,23,21,0,0,6,2,0,0,31317,40,440,0,0,0,72,0,3840
2025-08-08 14:21:20,0,0,0,0,0,0,0,0,0,0,0,0,23,21,0,0,6,2,0,0,31317,40,440,0,0,0,72,0,5858
2025-08-08 15:57:47,0,0,0,0,0,0,0,0,0,0,0,0,27,25,0,0,6,2,0,0,31317,54,440,0,0,0,129,0,5283
2025-08-08 19:10:05,1,0,0,0,0,0,0,0,0,0,0,0,142,109,0,0,23,8,0,2,40880,195,1086,1,0,0,273,0,6299
2025-08-08 21:05:18,1,0,0,0,0,0,0,0,0,0,0,0,142,109,0,0,23,8,0,2,50577,195,1254,1,0,0,273,0,6912
2025-08-09 01:55:22,2,8,0,0,0,0,0,0,0,0,0,0,161,114,0,0,31,14,0,3,53886,262,1296,3,0,0,419,0,5204
2025-08-09 03:10:49,2,8,0,0,0,0,0,0,0,0,0,0,161,114,0,0,31,14,0,3,53886,262,1296,3,0,0,419,0,4527
2025-08-09 14:51:30,11,8,0,0,0,1,0,0,0,0,0,0,11,7,0,0,3,5,0,2,0,79,0,1,0,0,83,0,5769
2025-08-09 16:42:52,11,8,0,0,0,0,0,0,0,0,0,0,13,8,0,0,3,5,0,2,0,93,0,1,0,0,107,0,6342
2025-08-09 18:32:39,11,8,0,0,0,1,0,0,0,0,0,0,36,30,0,0,3,5,0,2,0,133,0,1,0,0,227,0,5347
2025-08-09 20:31:16,11,8,0,0,0,0,0,0,0,0,0,0,36,30,0,0,3,5,0,2,0,133,0,1,0,0,227,0,7117
2025-08-10 21:04:25,1,0,1,0,0,0,0,0,0,0,0,0,7,6,0,0,6,4,0,0,17154,0,486,1,0,1,8,0,33237
2025-08-10 23:03:39,2,0,1,0,0,1,0,0,0,0,0,0,9,6,0,0,6,4,0,0,27510,3,644,1,0,1,8,0,6848
2025-08-11 00:53:47,3,0,1,0,0,0,0,0,2,0,0,0,13,6,0,0,8,4,0,3,28760,27,662,1,0,1,257,0,5738
2025-08-11 02:38:18,21,5,1,0,0,9,5,0,2,0,0,0,34,18,0,0,13,6,0,5,28760,84,662,1,0,1,315,1,5774
2025-08-11 04:07:12,21,5,1,0,0,0,0,0,2,0,0,0,34,18,0,0,13,6,0,5,28760,84,662,1,0,1,315,1,5334
2025-08-11 06:06:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3550
2025-08-11 07:10:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3856
2025-08-11 08:16:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3940
2025-08-11 09:23:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4054
2025-08-11 10:45:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4872
2025-08-11 12:18:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5576
2025-08-11 14:10:35,4,4,0,0,0,4,4,0,0,0,0,0,3,1,0,0,4,0,0,0,0,29,0,0,0,0,24,0,6365
2025-08-11 21:37:25,4,4,0,0,0,0,0,0,0,0,0,0,22,16,0,0,10,2,0,0,0,77,0,1,0,0,106,0,7138
2025-08-11 23:38:52,4,4,0,0,0,15,0,0,0,0,0,0,24,17,0,0,11,3,0,0,0,116,0,1,0,0,135,0,6896
2025-08-12 03:15:22,6,3,0,0,0,7,3,3,0,0,0,0,135,101,0,0,14,6,0,13,6,190,0,1,0,0,65,2,8960
2025-08-13 02:14:16,9,5,0,0,0,43,5,2,1,0,0,0,31,25,0,0,2,4,0,1,0,89,0,0,0,0,32,1,5384
2025-08-13 03:32:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4681
