record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 14:03:55,216,88,4,0,0,133,89,5,8,1,0,0,65,25,0,0,64,6,4,1,47,958,0,0,0,4,454,0,0
2025-08-05 15:45:47,361,88,4,0,0,0,0,0,27,1,0,0,67,25,0,0,64,7,5,1,47,958,0,0,0,4,464,0,0
2025-08-05 17:25:01,634,321,5,0,0,238,169,13,30,1,0,0,135,55,0,0,95,7,5,4,106,2242,0,0,0,5,904,0,631
2025-08-05 19:00:06,840,1106,6,0,1,203,73,12,45,1,0,0,239,86,3,4,125,9,7,12,117,2734,0,0,0,6,1414,0,509
2025-08-05 20:28:34,34,23,4,0,10,50,19,0,90,1,0,0,138,45,0,0,108,3,1,3,4,656,0,0,0,4,326,3,1813
2025-08-05 22:09:35,34,83,4,0,0,69,0,0,100,1,0,0,167,55,0,0,120,5,1,3,4,743,0,0,0,4,408,3,4555
2025-08-05 23:38:55,370,3017,8,0,3,243,91,7,104,1,2,1,324,129,0,0,180,5,1,14,15,1562,6,0,0,8,966,16,0
2025-08-08 13:10:59,291,379,4,0,0,254,350,41,18,1,0,0,129,78,0,1,32,5,3,9,35,1886,0,0,0,4,1487,1,0
2025-08-08 14:53:37,291,379,4,0,0,0,0,0,21,1,0,0,131,79,0,1,33,5,3,9,35,1891,0,0,0,4,1496,1,4792
2025-08-08 16:26:00,321,379,5,0,0,1,0,0,26,1,0,0,136,80,0,1,34,5,3,9,35,1906,0,0,0,5,1513,1,1571
2025-08-08 18:12:05,0,0,0,0,0,0,0,0,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2025-08-08 20:05:00,0,0,0,0,0,0,0,0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
2025-08-08 22:02:22,0,0,0,0,0,0,0,0,132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
2025-08-08 23:55:41,0,0,0,0,0,0,0,0,148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
2025-08-09 02:05:34,395,841,9,3,0,535,550,21,200,1,14,12,204,88,0,0,23,3,1,5,0,1685,0,1,0,9,806,9,480
2025-08-11 00:10:49,647,4852,0,0,0,568,3244,34,8,1,0,4,176,42,0,0,43,3,1,16,25,5212,0,0,0,0,1568,0,0
2025-08-11 01:59:58,760,5701,7,0,3,136,1437,32,20,1,0,4,333,142,0,0,72,4,2,26,26,7414,0,0,0,7,2554,93,2625
2025-08-11 13:28:19,356,1298,28,0,4,712,429,26,26,1,0,0,145,37,0,0,10,4,2,25,7,1659,0,0,0,28,1272,111,0
2025-08-11 21:10:49,968,2505,30,3,2,473,203,5,127,1,0,6,655,139,0,0,49,246,238,74,23,3572,0,2,0,30,2107,113,3606
2025-08-11 23:16:33,1269,2953,52,3,3,396,1144,49,147,1,0,8,858,205,1,0,102,251,243,154,23,6373,0,2,0,52,3129,409,888
2025-08-13 01:16:30,161,162,0,0,8,220,93,0,21,1,0,0,219,112,1,2,57,5,1,4,21,891,2,0,0,0,816,1,876
2025-08-13 02:46:48,161,162,0,0,0,0,0,0,25,1,0,0,220,112,1,2,57,6,2,4,21,891,2,0,0,0,817,1,5103
2025-08-13 22:31:48,77,217,3,0,0,286,174,2,66,1,0,0,111,31,0,0,40,22,10,16,47,1365,1,0,0,3,676,1,190
2025-08-15 13:35:02,97,361,0,0,0,354,42,0,17,1,0,1,94,26,0,0,18,3,1,8,0,648,0,0,0,0,451,1,185
2025-08-15 15:33:00,152,372,0,0,6,19,4,0,31,1,0,1,169,54,0,0,30,3,1,10,0,776,0,0,0,0,570,1,4439
2025-08-15 23:32:12,212,408,1,0,4,109,21,0,89,1,0,1,218,69,0,0,72,10,6,11,5,1487,0,1,0,1,1073,2,22561
2025-08-16 01:34:11,234,439,1,0,0,46,23,0,92,1,0,1,229,71,0,0,85,12,6,11,8,1815,0,2,0,1,1184,2,3201
2025-08-17 00:31:52,515,3382,9,0,6,291,26,56,44,1,0,0,357,238,0,0,50,10,4,18,37,1571,6,0,0,9,1814,1,0
2025-08-17 02:13:22,698,4868,19,0,0,167,31,5,60,1,0,0,390,245,0,0,52,10,4,20,45,1993,6,0,0,19,2339,2,870
