record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-08 08:28:39,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,5,0,0,0,0,186,0,994
2025-08-08 09:31:28,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,12,0,0,0,0,349,0,1009
2025-08-08 10:36:35,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,14,0,0,0,0,409,0,755
2025-08-08 11:46:52,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,3,3,0,0,0,18,0,0,0,0,512,0,2413
2025-08-08 13:06:41,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,4,4,0,0,0,19,0,0,0,0,512,0,4367
2025-08-11 07:58:49,11,21,0,0,0,30,2,0,0,0,0,0,3,0,0,0,2,3,0,3,0,59,0,0,0,0,283,0,28
2025-08-11 09:05:08,25,118,0,0,0,126,0,0,0,0,0,0,9,2,44,45,4,3,0,4,0,401,0,0,0,0,814,0,1011
2025-08-11 10:20:11,161,313,0,0,0,280,2,0,0,0,0,0,30,19,45,45,5,3,0,5,0,774,0,0,0,0,971,0,2734
2025-08-11 11:50:15,161,313,0,0,0,0,191,0,0,0,0,0,49,29,45,45,5,3,0,5,0,1005,0,0,0,0,996,160,4996
2025-08-11 13:38:45,173,321,1,0,0,13,1558,0,0,0,0,0,137,70,45,45,5,3,0,5,0,2986,0,0,0,1,1466,1370,1268
2025-08-12 07:50:17,0,6,0,0,0,6,0,0,3,1,0,0,1,1,0,0,2,2,0,0,0,19,0,0,0,0,208,0,856
2025-08-12 08:55:55,608,800,0,0,0,922,6,0,2,1,0,0,51,23,8,9,2,0,0,2,0,1486,0,0,0,0,302,0,512
2025-08-12 10:11:27,608,819,0,0,3,20,0,0,2,1,0,0,52,24,8,9,2,0,0,2,0,1542,0,0,0,0,533,0,1487
2025-08-12 11:42:11,1237,1733,0,0,0,980,3,0,2,1,0,0,143,63,8,9,4,0,0,6,0,3510,0,0,0,0,1340,1,807
2025-08-13 09:06:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,80,0,1510
2025-08-13 10:15:45,0,24,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,127,0,1923
2025-08-13 11:41:30,3,75,0,0,7,59,0,0,2,1,0,0,3,0,0,0,0,0,0,2,1,194,0,0,0,0,392,0,988
2025-08-14 08:40:07,63,241,0,0,0,421,0,0,0,0,0,0,2,0,0,0,1,2,0,5,0,541,0,0,0,0,258,0,1034
2025-08-14 09:50:16,758,4444,0,0,2,5036,2,0,0,0,0,0,17,6,0,0,2,0,0,5,0,9791,0,0,0,0,372,0,0
