record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-16 02:01:20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0,5960
2025-08-16 03:24:53,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0,5013
2025-08-16 04:38:15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0,4401
2025-08-16 06:05:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3501
2025-08-16 07:09:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3823
2025-08-16 08:14:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3911
2025-08-16 09:20:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3945
2025-08-16 10:35:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4488
2025-08-16 12:08:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5632
2025-08-16 13:42:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5635
2025-08-16 15:27:43,18,594,0,0,0,633,0,0,0,0,0,0,8,1,0,0,2,0,0,0,0,741,0,0,0,0,2,0,5748
2025-08-16 17:17:21,1103,37302,0,0,0,36710,0,0,0,0,0,0,16,1,0,0,2,1,0,21,32,42116,12,0,0,0,2,0,3184
2025-08-16 19:16:17,1103,144800,0,0,0,107498,0,0,0,0,0,0,16,1,0,0,2,1,0,21,92,152086,25,0,0,0,2,0,0
2025-08-16 21:13:46,1103,255950,0,0,0,111150,0,0,0,0,0,0,16,1,0,0,2,1,0,21,149,264445,37,0,0,0,2,0,0
2025-08-17 02:20:44,1103,402224,0,0,0,72854,0,0,0,0,0,0,21,3,0,0,3,3,0,21,226,412160,53,1,0,0,2,0,1466
