record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:05:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 07:07:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 08:09:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 10:22:06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 11:29:12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 12:45:41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,54,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 15:44:49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 17:24:01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,54,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 18:59:24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,92,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 20:27:38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,132,3,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 22:08:43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,175,6,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 23:38:07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,214,6,0,0,0,0,0,1,0,0,0,0,0
2025-08-06 01:33:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 02:34:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
