record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 16:27:34,769,972,0,0,1,1166,1086,22,18,1,0,0,156,103,0,0,6,2,0,15,0,3037,0,0,0,0,660,0,1578
2025-08-05 18:08:25,1706,2243,0,0,1,1420,1694,4,48,1,0,0,253,162,0,0,10,2,0,17,0,6820,0,0,0,0,1090,0,1268
2025-08-05 19:31:01,1711,2244,2,0,3,2,14,11,48,1,0,0,305,199,0,0,14,3,1,22,0,6941,0,0,0,2,1558,2,3153
2025-08-05 21:08:14,1711,2244,2,0,0,0,0,0,48,1,0,0,306,200,0,0,15,7,1,22,0,6941,0,0,0,2,1558,2,5532
2025-08-05 22:46:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5915
2025-08-06 17:17:26,226,274,5,0,13,397,1402,41,0,0,0,0,131,69,0,0,18,2,0,13,0,2945,0,0,0,5,684,187,397
2025-08-07 12:12:46,240,357,1,4,3,379,583,30,22,0,0,0,133,84,0,0,10,4,0,18,0,1691,0,0,0,1,720,0,185
2025-08-07 13:20:54,300,427,1,0,6,92,754,8,63,1,0,0,272,147,0,0,31,4,0,22,0,3210,0,0,0,1,1313,0,0
2025-08-07 14:31:19,336,457,3,0,5,44,8,0,134,1,0,0,356,183,0,0,49,4,0,39,0,3440,0,0,0,3,1749,0,1157
2025-08-07 15:49:03,692,1003,4,0,0,661,150,0,145,6,0,0,536,203,0,0,115,40,36,193,9,4882,0,0,0,4,2790,0,53
