record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-06 04:40:23,207,122,5,0,0,4,4,3,2,1,0,0,561,472,0,0,51,4,0,67,232,875,1,1,0,5,385,98,1629
2025-08-07 06:12:11,72,78,1,3,0,102,333,6,0,0,0,0,74,27,4,4,9,2,0,24,1,564,0,0,0,1,267,42,1978
2025-08-07 07:13:09,72,78,1,0,0,0,0,0,0,0,0,0,74,27,4,4,9,2,0,24,1,564,0,0,0,1,267,42,3657
2025-08-07 08:14:16,72,78,1,0,0,0,0,0,0,0,0,0,74,27,4,4,9,2,0,24,1,564,0,0,0,1,267,42,3667
2025-08-07 09:16:24,72,78,1,0,0,0,0,0,0,0,0,0,74,27,4,4,9,2,0,24,1,564,0,0,0,1,267,42,3727
2025-08-07 10:19:35,72,78,1,0,0,0,0,0,0,0,0,0,74,27,4,4,9,2,0,24,1,564,0,0,0,1,267,42,3790
2025-08-07 11:23:42,72,78,1,0,0,0,0,0,0,0,0,0,74,27,4,4,9,2,0,24,1,564,0,0,0,1,267,42,3846
2025-08-07 12:30:44,72,78,1,0,0,0,0,0,0,0,0,0,74,27,4,4,9,2,0,24,1,564,0,0,0,1,267,42,4022
2025-08-07 13:39:06,72,78,1,0,0,0,0,0,0,0,0,0,74,27,4,4,9,2,0,24,1,564,0,0,0,1,267,42,4101
2025-08-08 06:17:21,268,268,1,0,0,445,320,8,0,0,0,0,174,114,0,0,18,2,0,99,3,1507,0,0,0,1,235,0,961
2025-08-08 07:20:13,506,497,4,0,0,357,121,16,10,1,0,0,493,376,0,0,61,2,0,331,87,2803,0,0,0,4,775,3,227
2025-08-08 08:23:20,506,497,4,0,0,0,0,0,10,1,0,0,513,396,0,0,61,2,0,331,116,2904,0,0,0,4,849,3,2824
2025-08-08 09:26:11,576,551,6,5,0,90,89,8,18,1,0,0,567,437,0,0,69,3,1,361,133,3378,0,0,0,6,1023,3,2412
2025-08-08 10:30:44,641,605,36,0,1,63,124,4,29,1,0,0,705,511,0,0,97,5,1,490,135,4028,2,0,0,36,1777,27,442
2025-08-08 11:40:53,641,605,36,0,0,0,0,0,29,1,0,0,705,511,0,0,97,5,1,490,135,4028,2,0,0,36,1777,27,4208
2025-08-08 12:59:43,641,605,36,0,0,0,0,0,29,1,0,0,705,511,0,0,97,5,1,490,135,4028,2,0,0,36,1777,27,4730
2025-08-08 14:40:18,641,605,36,0,0,0,0,0,29,1,0,0,705,511,0,0,97,5,1,490,135,4028,2,0,0,36,1777,27,6035
2025-08-08 16:14:39,708,607,37,0,0,18,1,0,130,1,0,0,770,557,0,0,105,5,1,549,233,4183,3,0,0,37,1907,27,4361
2025-08-08 17:57:47,708,607,37,0,0,0,0,0,130,1,0,0,770,557,0,0,105,5,1,549,233,4183,3,0,0,37,1907,27,6187
2025-08-09 06:09:08,251,616,2,0,1,283,674,70,0,0,0,0,175,87,8,8,32,2,0,12,0,1342,0,0,0,2,545,62,0
2025-08-09 07:11:53,736,921,14,0,0,1008,167,38,109,1,0,0,208,143,0,0,17,0,0,12,60,1835,0,0,0,14,502,0,0
2025-08-10 04:26:04,1556,3986,51,1,3,601,956,22,128,1,0,0,537,306,0,0,87,8,0,17,141,6043,1,4,0,51,1783,134,0
2025-08-10 06:07:48,5,0,3,0,0,1,0,0,4,0,0,0,8,4,0,0,4,2,0,0,0,23,0,0,0,3,66,0,2929
