record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:05:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 07:07:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 08:09:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 10:21:45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 11:28:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 12:45:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 15:45:15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,74,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 17:24:27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,96,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 18:59:44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,127,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 20:28:02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,167,4,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 22:09:08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,211,6,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 23:38:28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,251,6,0,0,0,0,0,1,0,0,0,0,0
2025-08-06 01:34:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 02:36:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 03:37:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 04:39:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 06:03:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 07:03:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 08:04:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 09:05:38,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 10:07:25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 11:09:36,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 12:14:18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 13:23:21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0
