record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-12 20:42:10,663,1016,23,0,26,955,111,11,212,1,0,0,723,305,10,8,192,76,64,63,115,3203,58,2,0,23,1551,1,521
2025-08-12 23:13:50,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,6785
2025-08-13 01:05:49,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,6718
2025-08-13 02:37:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2178
2025-08-13 03:51:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4093
2025-08-13 04:57:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3986
2025-08-13 06:05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3469
2025-08-13 07:08:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3826
2025-08-13 08:12:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3827
2025-08-13 09:17:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3895
2025-08-13 10:28:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4233
2025-08-13 11:57:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5375
2025-08-13 13:44:01,11,14,3,0,4,58,6,0,8,0,0,0,81,32,3,3,12,2,2,0,0,256,0,0,0,3,71,1,5081
2025-08-13 20:33:55,1733,3530,13,0,9,3153,33,13,762,1,0,0,868,421,4,19,125,39,33,94,792,9679,151,2,0,13,2297,1,1146
2025-08-15 16:11:38,560,885,0,0,8,1145,1191,9,20,1,0,0,747,466,56,58,45,11,7,23,3,4168,0,0,0,0,1005,140,990
2025-08-15 20:01:59,1250,1703,1,0,5,779,27,0,130,1,0,0,1130,648,86,86,117,25,19,61,3,7762,3,1,0,1,1565,235,5278
