record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:05:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3476
2025-08-05 07:07:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3754
2025-08-05 08:10:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3732
2025-08-05 09:14:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3856
2025-08-05 10:19:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3915
2025-08-05 11:26:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4018
2025-08-07 19:09:45,36,11,0,0,2,9,6,0,0,0,0,0,124,116,0,0,3,2,0,19,2,195,0,0,0,0,142,0,4584
2025-08-07 20:48:00,36,11,0,0,2,0,0,0,0,0,0,0,129,121,0,0,6,2,0,19,2,218,0,0,0,0,182,0,5003
2025-08-07 22:35:46,36,11,0,0,1,0,0,0,0,0,0,0,131,123,0,0,6,2,0,19,2,227,0,0,0,0,192,0,5835
2025-08-08 00:18:46,41,21,0,0,0,10,0,0,0,0,0,0,144,133,0,0,10,2,0,21,2,262,0,0,0,0,257,0,5332
2025-08-08 01:37:42,42,21,0,0,0,0,0,0,0,0,0,0,144,133,0,0,10,2,0,21,2,262,0,0,0,0,257,0,4735
2025-08-08 02:47:53,45,21,0,0,0,0,0,0,0,0,0,0,144,133,0,0,10,2,0,21,2,262,0,0,0,0,257,0,4211
2025-08-08 03:55:43,45,21,0,0,0,0,0,0,0,0,0,0,144,133,0,0,10,2,0,21,2,262,0,0,0,0,257,0,4070
2025-08-08 06:05:37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3485
