record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:05:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 07:07:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 08:10:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 10:19:52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 11:26:50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 12:42:35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,46,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 15:44:33,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,106,4,0,0,0,0,0,2,0,0,0,0,0
2025-08-05 17:23:40,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,140,4,0,0,0,0,0,2,0,0,0,0,0
2025-08-05 18:59:11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,161,4,0,0,0,0,0,2,0,0,0,0,0
2025-08-06 00:16:29,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,18,8,0,0,0,0,0,4,0,0,0,0,0
2025-08-06 01:33:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 02:35:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 03:36:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 04:38:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 06:04:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 07:04:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 08:05:26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 09:06:38,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 10:08:25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 11:10:36,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 12:15:20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 13:24:31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 14:40:39,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 16:03:32,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 17:40:51,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 19:25:50,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 21:16:40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 23:05:10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-07 00:24:17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-07 01:37:34,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-07 02:44:15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-07 03:49:08,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-07 04:52:04,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-07 06:05:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-07 07:06:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-07 08:07:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-07 09:09:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-07 10:12:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-07 11:16:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-07 12:23:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-07 16:02:51,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,123,20,0,0,0,0,0,9,0,0,0,0,0
2025-08-07 17:38:43,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,145,20,0,0,0,0,0,9,0,0,0,0,0
2025-08-07 22:39:45,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,209,24,0,0,0,0,0,11,0,0,0,0,0
2025-08-08 00:32:26,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,234,26,0,0,0,0,0,12,0,0,0,0,0
2025-08-08 01:49:13,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,251,26,0,0,0,0,0,12,0,0,0,0,0
2025-08-08 02:59:04,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,267,26,0,0,0,0,0,12,0,0,0,0,0
2025-08-08 04:06:53,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,282,26,0,0,0,0,0,12,0,0,0,0,0
2025-08-08 06:05:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-08 07:08:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-08 08:11:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-08 10:14:05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-08 11:23:30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-08 12:38:49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,46,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-08 14:14:59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,67,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-08 15:52:20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,89,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-08 17:30:18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,111,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-08 19:21:09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,151,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-08 21:17:17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,203,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-08 23:13:56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,255,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-09 00:58:36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,301,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-09 02:24:22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,339,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-09 03:35:21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,371,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-09 04:43:19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,401,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-09 06:07:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-09 07:10:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-09 08:13:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-09 09:18:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-09 10:29:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-09 11:47:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-09 14:16:39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99,3,0,0,0,0,0,1,0,0,0,0,0
2025-08-09 16:09:09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,125,3,0,0,0,0,0,1,0,0,0,0,0
2025-08-09 17:56:54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,149,3,0,0,0,0,0,1,0,0,0,0,0
2025-08-09 19:54:48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,175,3,0,0,0,0,0,1,0,0,0,0,0
2025-08-09 21:55:04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,202,3,0,0,0,0,0,1,0,0,0,0,0
2025-08-09 23:50:20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,243,3,0,0,0,0,0,1,0,0,0,0,0
2025-08-10 01:35:01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,288,3,0,0,0,0,0,1,0,0,0,0,0
2025-08-10 03:04:05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,326,3,0,0,0,0,0,1,0,0,0,0,0
2025-08-10 04:22:44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,360,3,0,0,0,0,0,1,0,0,0,0,0
2025-08-10 06:08:41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,2,0,0,0,0,0,1,0,0,0,0,0
