record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-10 10:03:56,9,10,0,0,1,11,6306,0,0,0,0,0,104,85,0,0,33,6,1,15,0,6493,0,0,0,0,432,0,173
2025-08-10 15:18:50,93,42,0,0,0,41,8367,0,1,0,0,0,396,285,0,0,108,50,5,72,0,20120,8,3,0,0,1508,0,514
2025-08-10 18:44:52,173,116,0,0,2,91,9374,4,4,0,0,0,696,502,0,0,152,74,5,80,0,38380,9,6,0,0,2887,3,835
2025-08-12 20:19:29,53,45,0,0,9,70,9542,0,1,0,0,0,157,94,0,0,28,14,2,5,0,9783,0,0,0,0,725,151,1031
2025-08-13 20:31:02,80,42,0,0,17,79,6747,0,1,0,0,0,149,102,0,0,19,8,0,41,0,7021,0,0,0,0,509,1,1773
2025-08-16 08:24:51,25,7,0,0,0,8,9587,0,0,0,0,0,67,45,0,0,8,4,0,15,0,9683,1,0,0,0,659,0,188
2025-08-16 09:51:08,56,38,0,0,1,31,7995,0,1,0,0,0,206,155,0,0,18,10,0,28,0,17938,1,1,0,0,1180,2,206
2025-08-16 11:14:13,72,56,0,0,0,25,10007,0,1,0,0,0,315,240,0,0,21,10,0,34,0,28155,2,1,0,0,1898,10,483
2025-08-16 12:50:36,82,66,0,0,4,19,11173,0,1,0,0,0,358,270,0,0,26,10,0,34,0,39412,2,1,0,0,2559,10,784
2025-08-16 15:42:22,26,30,0,0,5,32,8224,0,12,0,0,0,164,125,0,0,9,2,0,9,0,12502,1,1,0,0,868,3,1157
