record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:05:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 07:07:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 08:10:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 09:14:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 17:30:28,170,44,7,0,0,1138,133,118,51,2,0,0,314,283,24,25,0,3,1,34,0,2041,0,1,0,7,283,5,3399
2025-08-05 19:03:50,181,48,8,0,0,17,1,167,61,1,0,0,442,402,24,25,2,4,2,34,0,2282,0,1,0,8,401,5,4356
2025-08-05 20:33:52,181,48,8,0,0,0,0,0,61,1,0,0,442,402,24,25,2,8,2,34,0,2282,0,1,0,8,401,5,5402
2025-08-05 23:23:36,181,48,8,0,0,0,0,0,61,1,0,0,443,402,24,25,2,10,2,34,0,2282,0,2,0,8,401,5,4869
2025-08-06 20:49:11,227,136,13,0,1,209,739,290,43,1,0,0,721,421,0,0,7,5,1,131,97,1953,6,1,0,13,841,0,14219
2025-08-06 22:40:09,233,139,13,0,0,19868,6,0,43,1,0,0,746,435,0,0,8,6,2,134,97,21912,6,1,0,13,891,0,3799
2025-08-07 00:06:02,233,139,13,0,0,51352,0,0,43,1,0,0,746,435,0,0,8,6,2,134,97,73264,6,1,0,13,891,0,0
2025-08-07 01:20:49,233,139,13,0,0,44800,0,0,43,1,0,0,746,435,0,0,8,6,2,134,97,118064,6,1,0,13,891,0,0
2025-08-07 02:28:02,234,139,13,0,0,40062,0,0,43,1,0,0,746,435,0,0,8,6,2,134,97,158126,6,1,0,13,891,0,0
2025-08-07 03:33:01,234,139,13,0,0,38880,0,0,43,1,0,0,746,435,0,0,8,6,2,134,97,197006,6,1,0,13,891,0,0
2025-08-07 04:36:38,234,139,13,0,0,37816,0,0,43,1,0,0,746,435,0,0,8,6,2,134,97,234822,6,1,0,13,891,0,0
2025-08-07 06:03:47,0,0,0,0,0,36872,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,36872,0,0,0,0,0,0,0
2025-08-07 07:04:44,0,0,0,0,0,36477,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,73349,0,0,0,0,0,0,0
2025-08-07 08:05:50,0,0,0,0,0,36497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36497,0,0,0,0,0,0,0
2025-08-07 09:07:45,0,0,0,0,0,36977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73474,0,0,0,0,0,0,0
2025-08-07 10:10:52,1,0,0,0,0,37733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111207,0,0,0,0,0,0,0
2025-08-07 11:14:44,1,0,0,0,0,38263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149470,0,0,0,0,0,0,0
2025-08-07 12:21:30,1,0,0,0,0,39945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189415,0,0,0,0,0,0,0
2025-08-07 13:29:36,1,0,0,0,0,40738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230153,0,0,0,0,0,0,0
2025-08-07 14:40:07,1,0,0,0,0,42316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272469,0,0,0,0,0,0,0
2025-08-07 16:00:08,115,61,64,1,16,24558,81,4,44,1,0,0,172,133,0,0,3,2,2,12,12,25140,0,0,0,64,607,11,0
2025-08-07 17:47:28,150,90,72,0,0,22,146,0,46,1,0,0,392,294,0,0,15,9,7,112,2057,25659,198,1,0,72,1088,11,1670
2025-08-07 19:30:21,302,308,73,0,16,274,1432,353,49,1,0,0,741,578,0,0,28,10,8,121,3766,28529,326,1,0,73,2368,11,221
2025-08-07 21:11:18,63,221,14,0,4,643,20,2,1,0,0,0,128,95,0,0,2,1,1,6,3987,1178,168,0,0,14,825,0,1391
2025-08-07 23:00:41,80,228,17,0,1,49025,32,0,14,0,0,0,158,108,0,0,5,2,2,6,3990,50318,168,0,0,17,897,0,162
2025-08-08 00:37:23,80,228,17,0,0,13104,0,0,14,0,0,0,158,108,0,0,5,2,2,6,3990,63423,168,0,0,17,897,0,4181
2025-08-08 01:53:22,80,228,17,0,0,0,0,0,14,0,0,0,158,108,0,0,5,2,2,6,3990,63423,168,0,0,17,897,0,4558
2025-08-08 03:02:59,80,228,17,0,0,0,0,0,14,0,0,0,158,108,0,0,5,2,2,6,3990,63423,168,0,0,17,897,0,4177
2025-08-08 04:10:46,80,228,17,0,0,0,0,0,14,0,0,0,158,108,0,0,5,2,2,6,3990,63423,168,0,0,17,897,0,4067
2025-08-08 06:05:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3487
2025-08-08 07:08:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3765
2025-08-08 08:11:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3788
2025-08-08 09:14:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3775
2025-08-08 10:17:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3820
2025-08-08 11:27:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4175
2025-08-08 12:43:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4553
2025-08-08 14:21:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5857
2025-08-08 15:57:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5788
2025-08-08 17:36:23,195,121,6,0,0,243,127,0,44,1,0,0,22,6,0,0,1,0,0,0,22,603,0,0,0,6,146,0,5037
2025-08-08 19:27:26,195,121,6,0,0,0,0,0,44,1,0,0,22,6,0,0,1,0,0,0,22,603,0,0,0,6,146,0,6663
2025-08-08 21:24:23,195,121,6,0,0,1,0,0,44,1,0,0,22,6,0,0,1,0,0,0,22,604,0,0,0,6,146,0,6716
2025-08-08 23:20:25,195,121,6,0,0,0,0,0,44,1,0,0,22,6,0,0,1,0,0,0,22,604,0,0,0,6,146,0,6961
2025-08-09 01:04:20,195,121,6,0,0,0,0,0,0,0,0,0,22,6,0,0,1,0,0,0,22,604,0,0,0,6,146,0,6234
2025-08-09 02:28:52,195,121,6,0,0,0,0,0,0,0,0,0,22,6,0,0,1,0,0,0,22,604,0,0,0,6,146,0,5071
2025-08-09 03:39:22,195,121,6,0,0,0,0,0,0,0,0,0,22,6,0,0,1,0,0,0,22,604,0,0,0,6,146,0,4230
2025-08-09 04:47:15,195,121,6,0,0,0,0,0,0,0,0,0,22,6,0,0,1,0,0,0,22,604,0,0,0,6,146,0,4072
