record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:13:34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3469
2025-08-05 07:16:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3753
2025-08-05 08:18:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3741
2025-08-05 09:23:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3877
2025-08-05 10:28:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3909
2025-08-05 11:35:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4054
2025-08-05 12:54:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4727
2025-08-05 14:34:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5977
2025-08-05 16:16:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6121
2025-08-05 19:45:28,1125,2860,0,0,0,118,48,4,2,1,4,0,177,56,0,0,35,8,1,237,0,3213,0,2,0,0,1209,53,2456
2025-08-05 21:24:18,1795,3227,0,0,9,482,1972,59,6,1,555,0,564,288,0,0,110,42,4,687,9,8189,0,2,0,0,2151,448,599
2025-08-05 23:01:10,147,578,0,0,4,747,1637,0,3,0,0,0,74,33,9,9,21,3,1,0,0,3504,0,0,0,0,297,373,2634
2025-08-06 00:21:58,706,1286,0,0,29,591,4119,68,7,1,775,0,355,176,26,26,54,14,2,245,0,11508,0,0,0,0,1201,1137,0
2025-08-06 01:37:44,108,204,2,0,37,301,195,7,125,2,11,0,196,37,0,0,73,49,11,22,6,1017,0,0,0,2,492,91,0
2025-08-06 03:17:59,285,9,4,0,0,0,0,1,4,1,0,0,84,6,0,0,25,14,2,91,2,287,0,1,0,4,232,0,1202
2025-08-06 04:19:38,285,9,4,0,0,0,0,0,4,1,0,0,84,6,0,0,25,14,2,91,2,287,0,1,0,4,232,0,3409
2025-08-06 06:03:10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3050
2025-08-06 07:03:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3639
2025-08-06 08:04:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3639
2025-08-06 09:05:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3671
2025-08-06 10:07:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3706
2025-08-06 11:09:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3730
2025-08-06 12:14:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3882
2025-08-06 13:23:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3841
2025-08-06 14:39:20,151,108,0,0,5,169,338,16,244,1,0,0,222,60,0,0,45,26,0,42,50,749,0,0,0,0,241,60,952
2025-08-06 16:02:19,381,320,0,0,11,337,241,28,807,1,0,0,537,117,9,11,127,82,1,113,93,1696,0,0,0,0,479,173,0
2025-08-06 17:39:13,572,492,0,0,10,254,459,21,1268,1,0,0,1004,292,9,11,224,110,1,163,97,2869,0,0,0,0,1086,382,44
2025-08-06 19:24:19,609,507,0,0,8,26,116,5,3013,1,0,0,1147,372,9,11,248,128,1,203,98,3156,0,0,0,0,1280,452,4585
2025-08-06 21:14:56,609,507,0,0,0,0,0,0,5276,1,0,0,1147,372,9,11,248,128,1,203,98,3156,0,0,0,0,1280,452,6636
2025-08-06 23:03:42,667,544,0,0,22,57,426,3,5710,1,0,0,1427,504,9,11,310,160,1,245,98,4008,0,0,0,0,1910,584,1606
