record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-09 11:35:29,141,147,0,0,9,178,2381,2,24,1,0,0,371,107,0,0,46,2,0,52,0,3587,0,0,0,0,422,0,0
2025-08-10 09:25:43,492,2479,0,0,12,361,1004,8,29,1,0,0,510,258,6,6,48,18,0,55,20,2221,5,0,0,0,844,25,0
2025-08-10 18:19:01,3176,7996,3,0,128,68,22,1,459,1,0,0,2009,1086,15,14,324,97,1,242,448,11661,51,4,0,3,3611,37,675
2025-08-11 11:15:19,971,618,0,0,8,227,57,2,680,1,0,0,397,92,0,0,39,4,0,124,224,2141,1,1,0,0,602,0,1517
2025-08-11 15:38:40,1586,1416,0,0,14,273,243,1,1180,1,0,0,1057,310,5,5,138,27,11,214,330,6618,4,2,0,0,2254,1,4910
2025-08-11 17:46:26,1593,1424,0,0,72,10,2,3,1193,1,0,0,1195,376,5,5,188,31,11,220,330,7331,4,2,0,0,4316,1,3256
2025-08-11 22:06:25,2650,3899,37,0,108,125,21,15,1333,1,0,0,2078,902,10,10,353,59,13,299,338,13068,9,3,0,37,5631,5,2153
2025-08-13 10:18:44,742,661,0,10,25,785,267,13,41,1,0,0,602,449,6,6,31,2,0,97,13,2081,0,0,0,0,970,49,59
2025-08-13 11:45:18,959,760,0,1,111,149,141,19,149,1,0,0,1351,921,10,10,130,6,4,152,24,4304,0,0,0,0,2718,59,0
2025-08-14 10:56:36,2104,3150,1,0,57,3612,2421,8,7,1,0,0,416,161,40,40,47,2,0,55,0,8239,0,0,0,1,989,113,0
2025-08-14 17:09:21,3728,6878,0,0,155,7009,442,60,136,1,0,0,931,565,1,1,122,9,1,72,33,12201,4,1,0,0,1477,6,0
2025-08-15 09:57:18,72,289,0,0,17,69,855,1,15,1,0,0,185,78,0,0,48,4,0,2,0,1698,0,0,0,0,217,0,1611
2025-08-15 11:18:46,106,334,0,0,78,70,608,4,108,1,0,0,480,225,0,0,110,6,0,20,0,3361,0,0,0,0,519,0,994
2025-08-15 12:50:38,116,347,0,0,18,21,584,0,169,1,0,0,670,317,0,0,126,10,0,22,0,4415,0,0,0,0,668,0,2961
2025-08-15 14:42:31,123,354,0,0,0,9,108,0,174,1,0,0,704,330,0,0,129,10,0,24,0,4672,0,0,0,0,744,0,5909
2025-08-15 16:37:49,172,387,0,0,32,44,1011,0,208,1,0,0,849,370,0,0,140,10,0,38,0,6544,0,0,0,0,968,0,4398
2025-08-16 09:13:48,38,58,0,0,36,67,842,0,73,1,0,0,145,40,0,0,27,2,0,3,0,1776,0,0,0,0,408,0,0
2025-08-16 17:34:37,152,208,0,0,69,134,1694,0,257,1,0,0,557,173,0,0,107,7,0,27,25,6095,4,2,0,0,1049,0,754
