record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:05:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 07:07:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 08:10:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 10:19:42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,121,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 11:26:41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,136,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 12:42:24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,153,2,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 15:46:20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,192,4,0,0,0,0,0,2,0,0,0,0,0
2025-08-05 17:25:35,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,226,4,0,0,0,0,0,2,0,0,0,0,0
2025-08-05 19:00:29,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,268,4,0,0,0,0,0,2,0,0,0,0,0
2025-08-05 20:29:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 22:10:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,4,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 00:17:56,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1001,20,0,0,0,0,0,10,0,0,0,0,0
