record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-07 13:35:46,843,1220,0,0,0,1439,2488,4,4,0,0,0,190,117,0,0,5,6,0,53,0,10030,0,2,0,0,1082,0,0
2025-08-07 14:47:15,1633,2375,0,0,0,1462,1603,0,4,0,0,0,553,462,0,0,5,6,0,61,0,15125,0,2,0,0,1809,0,1037
2025-08-07 17:17:32,3204,4047,2,0,0,1350,4990,0,8,0,0,0,693,523,0,0,7,8,0,248,0,25314,3,3,0,2,3661,0,0
2025-08-08 10:17:02,774,550,0,0,0,709,3197,0,2,0,0,0,44,16,0,0,0,2,0,99,0,4104,0,0,0,0,623,0,827
2025-08-08 11:26:38,1481,1494,0,0,0,1255,2166,0,3,0,0,0,145,78,0,0,4,2,0,224,0,7920,0,0,0,0,1352,0,0
2025-08-08 12:42:21,1875,2242,0,0,0,1561,840,0,52,1,0,0,158,78,0,0,6,2,0,226,0,10899,0,0,0,0,1653,0,1857
2025-08-13 12:26:29,215,453,0,0,0,1146,451,0,9,1,0,0,26,12,0,0,2,2,0,5,0,1667,0,0,0,0,240,0,3653
2025-08-13 14:17:08,772,1359,0,0,0,2286,1197,0,1,0,0,0,51,19,0,0,4,2,0,13,0,5284,0,0,0,0,669,0,4658
2025-08-13 16:18:27,2198,3167,1,0,0,4726,5873,0,6,0,0,0,183,48,0,0,11,2,0,108,0,16670,0,0,0,1,1998,0,768
2025-08-14 11:07:02,1548,4884,0,0,0,8835,3384,5,7,0,0,0,96,31,0,0,1,2,0,60,0,14810,0,0,0,0,918,0,0
2025-08-14 12:37:43,2485,6358,3,0,0,3800,5917,0,13,0,0,0,232,85,0,0,7,2,0,175,13,24943,1,0,0,3,1875,0,441
2025-08-15 11:27:23,215,112,0,0,0,289,3989,1,2,0,0,0,140,75,0,0,11,2,0,5,0,4561,0,0,0,0,989,0,716
2025-08-15 12:59:58,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,4485
