record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-09 02:03:40,1096,1629,2,0,7,1836,356,4,71,1,0,0,551,415,0,0,43,9,1,37,1,4609,1,2,0,2,1597,48,421
2025-08-09 03:18:04,1174,1707,3,0,2,131,90,0,80,1,0,0,755,563,0,0,71,9,1,44,1,5073,1,2,0,3,1924,50,1263
2025-08-09 04:26:02,1174,1707,3,0,0,0,0,0,80,1,0,0,755,563,0,0,71,9,1,44,1,5073,1,2,0,3,1924,50,4078
2025-08-09 12:49:20,76,111,9,0,0,162,2,5,22,1,0,0,77,50,0,0,14,2,0,0,0,552,0,1,0,9,1261,0,1449
2025-08-09 14:35:14,2482,5410,9,0,6,6268,276,2,91,1,0,0,634,491,0,0,51,6,1,211,30,9655,2,1,0,9,3105,49,65
2025-08-09 16:26:53,2658,5558,12,0,12,193,836,1,112,1,0,0,1053,850,7,7,60,6,1,219,31,11390,2,1,0,12,4572,85,1487
2025-08-09 18:16:08,2788,5600,41,0,1,95,874,0,117,1,0,0,1238,970,7,7,67,6,1,227,36,12767,3,1,0,41,5290,89,905
2025-08-09 20:14:22,2798,5610,41,0,0,18,217,0,117,1,0,0,1239,970,7,7,67,6,1,227,36,13033,3,1,0,41,5322,89,6391
2025-08-10 02:12:03,4546,8400,44,0,0,3162,29,0,147,1,0,0,1311,1029,7,7,68,10,1,229,37,17899,3,3,0,44,6028,89,2164
2025-08-10 03:39:04,4548,8400,45,0,0,0,0,0,149,1,0,0,1322,1036,7,7,68,10,1,229,37,17913,3,3,0,45,6056,89,3703
2025-08-10 04:54:09,4548,8400,45,0,0,0,0,0,149,1,0,0,1322,1036,7,7,68,10,1,229,37,17913,3,3,0,45,6056,89,4505
2025-08-10 06:07:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3623
2025-08-10 07:12:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3896
2025-08-10 08:19:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3977
2025-08-10 09:29:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4207
2025-08-10 10:44:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4550
2025-08-10 19:03:19,1611,2193,0,7,0,1655,7,0,92,1,0,0,122,52,0,0,11,5,3,8,14,3814,1,1,0,0,579,0,2835
2025-08-10 21:12:13,3169,4408,2,0,0,2828,347,5,161,1,0,0,264,144,0,0,17,12,6,33,125,8092,1,1,0,2,2463,0,3592
2025-08-10 23:10:42,3257,4513,8,0,1,159,693,1,184,1,0,0,422,289,0,0,18,12,6,34,125,9285,1,1,0,8,2865,0,3480
2025-08-11 02:51:54,3300,4533,8,0,0,9,0,0,281,1,0,0,657,459,12,8,45,20,6,53,145,9663,2,3,0,8,3243,0,4176
2025-08-11 04:18:17,3300,4533,8,0,0,0,0,0,281,1,0,0,657,459,12,8,45,20,6,53,145,9663,2,3,0,8,3243,0,5182
2025-08-11 06:06:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3549
2025-08-11 07:10:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3856
2025-08-11 08:16:22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3640
2025-08-11 09:23:56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4054
2025-08-11 10:45:09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4872
2025-08-11 12:18:06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5576
2025-08-11 14:10:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6747
2025-08-11 16:12:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7344
2025-08-11 18:22:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7797
2025-08-12 02:15:14,0,0,1,0,0,2,2,0,3,0,0,0,25,20,0,0,2,2,0,0,0,47,0,1,0,1,104,0,4683
2025-08-12 03:32:09,0,0,1,0,0,0,0,0,3,0,0,0,25,20,0,0,2,2,0,0,0,47,0,1,0,1,104,0,4614
2025-08-12 04:41:58,0,0,1,0,0,0,0,0,3,0,0,0,25,20,0,0,2,2,0,0,0,47,0,1,0,1,104,0,4189
2025-08-12 06:06:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3517
2025-08-12 07:09:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3779
2025-08-12 08:12:15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,3144
2025-08-12 09:22:22,3,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,115,113,0,0,0,0,0,0,0,54,0,1829
2025-08-12 10:39:31,9,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,280,278,0,0,0,0,0,0,0,126,0,1536
2025-08-12 12:14:43,14,0,0,0,0,0,0,0,0,0,0,0,558,0,0,0,0,560,558,0,0,0,0,0,0,0,235,0,1490
2025-08-12 14:02:03,14,0,0,0,0,0,0,0,0,0,0,0,720,0,0,0,0,722,720,0,0,0,0,0,0,0,298,0,3266
2025-08-12 16:06:22,14,0,0,0,0,0,0,0,0,0,0,0,876,0,0,0,0,878,876,0,0,0,0,0,0,0,344,0,3810
2025-08-12 18:16:00,4,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,125,123,0,0,0,0,0,0,0,52,0,3583
2025-08-14 03:19:50,0,0,0,0,0,0,0,0,0,0,0,0,20,13,0,0,4,2,0,0,0,7,0,0,0,0,153,0,3254
2025-08-14 04:26:29,0,0,0,0,0,0,0,0,0,0,0,0,20,13,0,0,4,2,0,0,0,7,0,0,0,0,153,0,3999
2025-08-14 06:06:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3524
2025-08-14 07:10:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3840
2025-08-14 08:13:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3822
2025-08-14 09:20:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3994
2025-08-14 10:39:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4757
2025-08-14 12:07:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5275
2025-08-14 13:59:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6692
2025-08-14 15:57:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7129
2025-08-14 17:50:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6159
