record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-06 18:48:53,9,0,2,0,0,5,1,28,0,0,0,0,115,107,0,0,2,4,0,15,0,136,0,1,0,2,78,0,5000
2025-08-06 20:37:00,9,0,2,0,0,0,0,0,0,0,0,0,115,107,0,0,2,4,0,15,0,136,0,1,0,2,78,0,6486
2025-08-06 22:28:10,21,0,2,0,0,3,0,13,0,0,0,0,176,166,0,0,3,4,0,33,0,210,0,1,0,2,121,0,4627
2025-08-06 23:58:00,24,0,7,0,0,0,1,4,0,0,0,0,240,226,0,0,5,4,0,37,0,293,0,1,0,7,220,0,3823
2025-08-07 15:35:27,7,0,0,0,0,0,0,25,0,0,0,0,69,68,0,0,0,2,0,14,0,96,0,0,0,0,47,0,2328
2025-08-07 17:05:28,12,0,0,0,0,2,1,10,0,0,0,0,122,116,0,0,2,4,0,22,0,156,0,0,0,0,80,0,4625
2025-08-07 18:50:03,14,0,2,0,0,16,1,5,0,1,0,0,257,235,0,0,12,4,0,24,2,356,0,0,0,2,331,0,3275
2025-08-07 20:28:10,16,0,2,0,0,0,0,0,1,1,0,0,276,248,0,0,15,4,0,25,2,411,0,0,0,2,473,0,4159
2025-08-07 22:15:01,59,80,4,0,0,102,26,0,7,1,0,0,289,256,0,0,18,4,0,26,2,653,0,0,0,4,760,0,4848
2025-08-08 00:01:48,65,83,4,0,0,5,0,0,9,1,0,0,292,259,0,0,18,4,0,26,2,683,0,0,0,4,783,0,4415
2025-08-08 18:53:05,101,1,0,0,0,6,1,0,0,0,0,0,8,1,0,0,1,2,0,0,0,108,0,0,0,0,125,0,3687
2025-08-08 20:47:11,115,8,0,0,0,162,8,0,0,0,0,0,95,81,0,0,4,2,0,2,0,457,0,0,0,0,414,3,4078
2025-08-08 22:44:48,117,10,0,0,0,12,2,0,0,0,0,0,117,99,0,0,6,2,0,2,0,519,0,0,0,0,418,3,6006
2025-08-09 21:46:57,3,1,0,0,0,12,1,0,2,0,0,0,5,1,0,0,2,3,1,0,0,67,0,0,0,0,102,0,4790
2025-08-09 23:42:27,3,1,0,0,0,5,0,0,2,0,0,0,6,2,0,0,4,3,1,0,0,85,0,0,0,0,113,0,5220
