record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 13:28:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4909
2025-08-05 15:10:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6125
2025-08-05 16:49:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5591
2025-08-05 18:32:25,76,87,0,1,0,93,625,93,0,0,0,3,200,135,0,0,0,0,0,0,3,1002,0,0,0,0,263,2,2421
2025-08-05 19:53:42,76,87,0,0,0,0,0,0,0,0,0,3,200,135,0,0,0,0,0,0,3,1002,0,0,0,0,263,2,4877
2025-08-05 21:33:34,76,87,0,0,0,0,0,0,0,0,0,3,200,135,0,0,0,4,0,0,3,1002,0,0,0,0,263,2,5991
2025-08-05 23:08:48,76,87,0,0,0,0,0,0,0,0,0,3,200,135,0,0,0,4,0,0,3,1002,0,0,0,0,263,2,5714
2025-08-06 13:25:38,300,922,0,6,0,199,335,15,1,0,0,1,273,183,0,0,0,2,0,0,16,1184,1,0,0,0,256,35,1022
2025-08-06 14:41:59,300,922,0,0,0,0,0,0,1,0,0,1,273,183,0,0,0,2,0,0,16,1184,1,0,0,0,257,35,4270
2025-08-06 16:04:42,300,922,0,0,0,0,0,0,1,0,0,1,273,183,0,0,0,2,0,0,16,1184,1,0,0,0,257,35,4962
2025-08-06 17:42:30,300,922,0,0,0,0,0,0,1,0,0,1,273,183,0,0,0,2,0,0,16,1184,1,0,0,0,257,35,5867
2025-08-06 19:27:26,760,3550,30,0,0,196,189,4,465,1,0,1,390,246,0,0,6,2,0,13,168,1982,4,0,0,30,956,35,2289
2025-08-06 21:18:22,760,3550,30,0,0,0,0,0,465,1,0,1,390,246,0,0,6,2,0,13,168,1982,4,0,0,30,956,35,6656
2025-08-07 15:42:57,71,16,0,0,0,20,1,0,0,0,0,0,40,14,0,0,7,6,0,0,3,398,1,0,0,0,93,0,3022
2025-08-07 17:14:51,1084,1418,0,0,0,1861,87,43,12,1,0,2,182,87,0,0,28,14,0,19,9,3318,2,0,0,0,467,0,1870
2025-08-07 18:59:56,1084,1418,0,0,0,0,0,0,12,1,0,2,182,87,0,0,28,14,0,19,9,3318,2,0,0,0,467,0,5985
2025-08-07 20:38:09,1084,1418,0,0,0,0,0,0,12,1,0,2,182,87,0,0,28,14,0,19,9,3318,2,0,0,0,467,0,5290
2025-08-07 22:25:30,1084,1418,0,0,0,0,1,0,12,1,0,2,183,87,0,0,28,14,0,19,9,3325,2,0,0,0,473,0,6117
2025-08-08 19:04:34,1381,1738,0,0,0,2186,232,1,3,1,0,1,47,15,0,0,0,2,0,20,5,2932,3,0,0,0,254,0,3707
2025-08-08 20:59:28,1381,1738,0,0,0,0,0,0,3,1,0,1,47,15,0,0,0,2,0,20,5,2932,3,0,0,0,254,0,6893
2025-08-08 22:56:50,2155,2417,0,0,0,910,176,0,238,1,0,2,98,46,0,0,2,3,1,33,92,4608,9,0,0,0,411,0,5002
2025-08-09 12:20:17,130,112,0,0,0,131,15,1,1,0,0,2,12,9,0,1,0,2,0,0,2,232,0,0,0,0,27,0,4269
2025-08-09 13:59:33,130,112,0,0,0,0,0,0,1,0,0,2,12,9,0,1,0,3,0,0,2,232,0,0,0,0,27,0,5955
2025-08-09 15:52:01,130,112,0,0,0,0,0,0,1,0,0,2,12,9,0,1,0,3,0,0,2,232,0,0,0,0,27,0,6748
2025-08-09 17:39:28,130,112,0,0,0,0,0,0,1,0,0,2,13,9,0,1,0,3,0,0,2,237,0,0,0,0,27,0,6136
2025-08-09 19:36:35,130,112,0,0,0,0,0,0,1,0,0,2,13,9,0,1,0,3,0,0,2,237,0,0,0,0,27,0,7026
2025-08-09 21:36:18,130,112,0,0,0,0,0,0,1,0,0,2,13,9,0,1,0,3,0,0,2,237,0,0,0,0,27,0,7182
2025-08-09 23:32:20,130,112,0,0,0,0,0,0,1,0,0,2,13,9,0,1,0,3,0,0,2,237,0,0,0,0,27,0,6962
2025-08-11 01:09:57,822,1535,0,0,10,0,4,7,0,0,0,3,115,75,0,0,7,4,0,20,22,2688,1,1,0,0,242,4,5027
2025-08-11 02:52:07,874,1568,0,0,4,41,156,32,0,0,0,3,188,121,0,0,12,4,0,22,22,3141,1,1,0,0,380,11,4709
2025-08-11 04:18:28,874,1568,0,0,0,0,0,0,0,0,0,3,188,121,0,0,12,4,0,22,22,3141,1,1,0,0,380,11,5180
2025-08-11 15:09:07,71,0,0,0,0,6,0,0,187,1,0,0,8,6,0,0,0,2,0,0,48,82,2,0,0,0,65,0,6213
2025-08-11 17:14:44,72,1,0,0,0,1,0,0,187,1,0,0,8,6,0,0,0,2,0,0,48,84,2,0,0,0,65,0,7372
2025-08-11 19:24:15,72,1,0,0,0,0,0,0,187,1,0,0,8,6,0,0,0,2,0,0,48,84,2,0,0,0,65,0,7632
2025-08-11 21:35:13,72,1,0,0,0,0,0,0,187,1,0,0,8,6,0,0,0,2,0,0,48,84,2,0,0,0,65,0,7858
2025-08-11 23:37:00,72,1,0,0,0,0,0,0,187,1,0,0,8,6,0,0,0,2,0,0,48,84,2,0,0,0,65,0,7306
2025-08-12 12:52:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5587
2025-08-12 14:46:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6855
2025-08-14 02:30:55,700,702,0,0,0,835,867,22,304,1,0,3,181,119,4,4,0,8,0,10,93,2405,2,3,0,0,550,0,616
2025-08-14 03:39:42,875,875,0,0,0,253,258,21,304,1,0,5,232,159,4,4,0,8,0,10,138,3149,3,3,0,0,731,0,2635
2025-08-14 04:45:40,875,875,0,0,0,0,0,0,304,1,0,5,232,159,4,4,0,8,0,10,138,3149,3,3,0,0,731,0,3829
2025-08-14 22:01:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6545
2025-08-15 01:13:24,870,1065,0,0,0,1298,456,121,59,1,0,0,239,140,0,0,26,20,16,7,51,2831,2,1,0,0,645,3,100
2025-08-16 02:17:20,695,2795,0,0,0,2250,108,22,0,0,0,0,89,50,0,0,4,4,0,0,746,3287,16,1,0,0,358,0,2755
2025-08-16 03:39:02,916,3142,1,0,0,466,24,4,3,0,0,6,284,216,0,0,6,4,0,0,849,4117,18,1,0,1,516,4,2788
2025-08-16 04:50:34,916,3142,1,0,0,0,0,0,3,0,0,6,284,216,0,0,6,4,0,0,849,4117,18,1,0,1,516,4,4291
2025-08-16 06:05:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3501
2025-08-16 07:09:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3823
2025-08-16 08:14:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3911
2025-08-16 09:20:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3945
2025-08-16 10:35:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4489
2025-08-16 17:41:45,386,817,0,0,0,1144,83,29,0,0,0,0,11,4,0,0,1,5,0,0,163,1401,2,1,0,0,87,0,23273
2025-08-16 19:41:16,475,1057,0,0,0,328,62,70,28,1,0,0,40,16,0,0,3,5,0,1,238,1931,3,1,0,0,163,0,6133
2025-08-16 21:38:54,633,1259,10,0,0,218,397,67,37,1,0,1,300,197,12,14,22,5,0,4,239,3105,3,1,0,10,664,48,2843
2025-08-16 23:39:35,816,1563,13,0,0,391,1178,0,134,1,0,1,440,290,48,49,48,5,0,11,296,5203,6,1,0,13,1090,48,1899
2025-08-17 01:25:18,1039,1829,13,5,0,336,461,19,226,1,0,1,683,459,121,121,60,7,2,21,296,6804,6,1,0,13,1777,49,55
