record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 16:28:31,0,0,0,0,0,5957,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5958,0,0,0,0,2,0,0
2025-08-05 18:09:39,0,0,0,0,0,6027,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11985,0,0,0,0,2,0,0
2025-08-05 19:32:00,0,0,0,0,0,4906,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16891,0,0,0,0,2,0,0
2025-08-06 17:16:51,101,91,0,0,0,5446,0,0,0,0,0,0,4,1,0,0,0,4,0,0,0,5782,0,1,0,0,29,0,0
2025-08-06 19:02:28,101,91,0,0,0,6294,0,0,0,0,0,0,4,1,0,0,0,4,0,0,0,12077,0,1,0,0,29,0,0
2025-08-07 17:01:49,0,0,0,0,0,5307,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5309,0,0,0,0,0,0,0
2025-08-07 18:46:01,0,0,0,0,0,6217,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11526,0,0,0,0,0,0,0
2025-08-11 16:03:11,86,93,0,0,0,7025,0,0,0,0,0,0,13,10,0,0,1,4,0,0,0,7438,0,1,0,0,36,0,0
2025-08-12 18:16:03,0,0,0,0,0,6367,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6367,0,0,0,0,0,0,0
2025-08-12 20:08:09,0,0,0,0,0,6663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6663,0,0,0,0,0,0,0
2025-08-14 15:17:24,99,91,0,0,0,6907,89,0,0,0,0,0,18,16,0,0,1,2,0,0,0,7115,0,0,0,0,33,0,0
2025-08-15 16:23:47,0,0,0,0,0,6934,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6934,0,0,0,0,2,0,0
2025-08-15 18:17:37,0,0,0,0,0,6786,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13720,0,0,0,0,2,0,0
