record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:05:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 07:07:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 08:10:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 10:19:28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,82,4,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 11:26:26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,103,4,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 12:42:05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,120,4,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 15:43:56,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,161,6,0,0,0,0,0,2,0,0,0,0,0
2025-08-05 17:23:02,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,183,6,0,0,0,0,0,2,0,0,0,0,0
2025-08-06 01:32:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 02:34:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 03:35:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 04:37:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 06:03:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 07:03:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 08:04:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 09:05:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 10:07:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 11:09:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 12:14:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
