record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-06 01:35:07,1531,3918,1,0,0,563,4204,1,102,1,0,0,105,38,0,0,26,14,0,6,0,6144,0,0,0,1,903,0,0
2025-08-06 02:36:41,21,19,0,0,0,22,1331,3,0,0,0,0,109,49,0,0,72,0,0,3,0,1682,0,0,0,0,675,78,0
2025-08-06 03:38:06,21,20,0,0,1,26,3022,8,0,0,0,0,322,253,0,0,58,0,0,2,0,3665,0,0,0,0,1007,163,0
2025-08-07 02:55:34,701,1070,1,2,4,47,3565,17,2,0,0,0,295,181,0,0,105,12,0,0,0,7219,0,2,0,1,1602,144,168
2025-08-07 22:45:42,49,45,0,15,0,60,2432,38,0,0,0,0,217,137,0,0,104,4,0,3,0,6452,0,1,0,0,1290,217,2149
2025-08-10 20:42:14,308,111,0,4,0,155,4665,65,0,0,0,0,392,268,0,0,162,10,0,0,0,6101,0,0,0,0,1966,221,0
2025-08-12 04:02:40,11581,19044,2,0,3,7757,8,0,13,1,0,0,161,86,0,0,55,8,0,3,8,33887,4,3,0,2,1888,0,0
2025-08-13 02:52:37,246,209,1,0,6,20,5030,16,37,1,0,0,652,417,0,0,181,8,0,3,0,15481,0,4,0,1,2341,47,0
2025-08-13 04:03:31,308,266,2,0,0,73,5771,262,37,1,0,0,816,527,0,0,245,8,0,7,0,22245,0,4,0,2,3110,52,198
2025-08-13 18:12:42,3795,5762,1,0,0,4834,36,0,165,1,0,0,191,111,0,0,77,6,0,1,0,18532,0,3,0,1,2277,186,0
2025-08-13 20:50:04,4049,5997,2,3,0,274,5845,76,242,1,0,0,505,320,0,0,221,13,0,5,5,25982,0,4,0,2,3893,269,0
