record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 11:12:26,2482,11322,0,2,0,1482,365,30,141,1,0,2,567,215,2,3,52,20,4,159,255,6094,24,5,0,0,1100,10,0
2025-08-05 12:25:14,4503,17553,1,0,1,2243,1095,31,227,1,0,15,929,414,11,15,61,21,5,215,321,10338,29,5,0,1,1646,14,0
2025-08-05 14:52:16,7110,22461,1,0,0,3617,493,50,247,1,0,35,1504,716,44,49,72,24,6,254,398,17867,32,6,0,1,2170,26,0
2025-08-06 12:53:33,669,1509,0,1,6,1553,808,63,23,1,0,2,245,60,3,3,16,2,0,21,11,3908,0,0,0,0,295,0,129
2025-08-06 14:06:16,1416,2916,1,0,3,1586,806,44,62,1,0,2,467,148,11,11,45,2,0,39,28,7395,1,0,0,1,691,1,0
2025-08-06 15:27:44,2938,5130,1,3,0,2489,670,48,68,1,0,2,769,265,12,12,48,2,0,158,31,11998,1,0,0,1,1024,3,39
2025-08-06 16:55:19,7113,10626,1,0,3,5988,438,13,82,1,0,5,1061,374,83,83,64,2,0,238,37,20061,1,0,0,1,1616,5,0
2025-08-06 23:43:41,14848,22318,2,0,11,6729,317,8,183,1,0,21,1722,718,84,86,125,6,2,456,63,34213,9,1,0,2,2637,18,0
2025-08-07 01:39:34,16640,24913,2,8,1,2118,320,7,207,1,0,22,1868,775,597,599,144,8,2,471,66,41772,9,2,0,2,2919,18,0
2025-08-07 12:58:46,1203,2061,3,0,3,1409,475,30,12,1,0,1,169,77,4,4,5,2,0,22,6,2436,0,0,0,3,364,2,1386
2025-08-07 23:45:33,3951,6970,4,2,0,2870,1574,28,138,1,0,20,639,329,1,1,15,3,1,58,40,7794,1,1,0,4,1159,6,615
2025-08-08 09:25:09,2870,3765,0,0,3,4105,288,0,18,1,0,1,132,64,0,0,13,2,0,5,3,5084,0,0,0,0,380,0,513
2025-08-08 10:29:38,3953,7609,0,0,5,1066,513,14,134,1,0,11,440,209,0,0,26,5,3,45,17,7324,1,0,0,0,905,2,152
2025-08-08 11:39:43,5491,10961,5,3,8,2303,370,16,213,1,0,25,910,495,9,9,56,5,3,74,35,10714,3,0,0,5,1369,30,0
2025-08-08 12:58:19,7112,15143,8,7,3,1927,1122,35,348,1,0,50,1354,641,20,20,63,6,4,129,83,14717,5,0,0,8,2101,30,0
2025-08-08 14:38:34,3743,5906,0,0,1,4530,530,34,128,1,0,31,752,449,2,2,8,0,0,53,46,6324,2,0,0,0,861,1,0
2025-08-08 23:28:52,11656,17334,1,0,14,4461,536,10,307,1,0,74,2386,1382,2,2,119,9,1,380,135,21847,26,2,0,1,2639,63,763
2025-08-09 08:27:45,595,910,0,0,0,973,280,17,419,1,0,3,275,104,0,0,17,13,0,42,122,2133,28,0,0,0,498,0,0
2025-08-11 12:40:34,1318,4929,0,0,3,1233,847,7,415,1,0,1,396,106,1,1,14,16,1,51,62,2978,9,1,0,0,480,0,995
2025-08-11 14:36:47,4774,13460,1,3,2,4616,2160,37,550,1,0,59,1129,495,28,28,26,22,1,136,109,12265,12,1,0,1,1217,2,143
2025-08-12 00:02:47,9416,22593,1,0,1,4290,4116,18,748,1,0,86,2162,862,29,29,57,38,3,282,144,28589,15,2,0,1,3180,2,0
