record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:06:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 07:08:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 08:10:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 10:20:38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,104,4,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 11:27:40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,119,4,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 12:43:39,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,139,4,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 15:46:39,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,178,6,0,0,0,0,0,2,0,0,0,0,0
2025-08-05 17:25:56,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,200,6,0,0,0,0,0,2,0,0,0,0,0
2025-08-05 19:00:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 20:29:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,3,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 22:10:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,4,0,0,0,0,0,0,0,0,0,0,0
2025-08-05 23:39:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,4,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 01:35:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0
