record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:05:14,4213,0,0,0,0,0,4214,0,0,0,0,0,0,0,0,0,1,2,0,0,0,18658,0,0,0,0,4,0,0
2025-08-05 07:07:49,8453,0,0,0,0,0,4239,0,0,0,0,0,0,0,0,0,1,2,0,0,0,37432,0,0,0,0,4,0,0
2025-08-05 08:10:01,12685,0,0,0,0,0,4232,0,0,0,0,0,0,0,0,0,1,2,0,0,0,56095,0,0,0,0,4,0,0
2025-08-05 09:14:17,16827,0,0,0,0,0,4143,0,0,0,0,0,0,0,0,0,1,2,0,0,0,75375,0,0,0,0,4,0,0
2025-08-05 10:19:32,4085,0,0,0,0,0,4085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19574,0,0,0,0,0,0,0
2025-08-05 11:26:30,8065,0,0,0,0,0,3981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39651,0,0,0,0,0,0,0
2025-08-05 12:42:11,11961,0,0,0,0,0,3895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62355,0,0,0,0,0,0,0
2025-08-05 14:20:38,16345,0,0,0,0,0,4386,0,0,0,0,0,27,23,0,0,2,0,0,0,0,91478,0,0,0,0,13,0,0
2025-08-05 22:25:06,1209,19,0,0,36,29,1180,0,1,0,0,0,326,271,0,0,44,10,0,39,0,7198,0,5,0,0,262,9,835
2025-08-05 23:52:04,5405,44,0,0,0,25,4197,0,1,0,0,0,346,277,0,0,50,10,0,89,0,31019,0,5,0,0,286,9,0
2025-08-06 01:33:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3379
2025-08-06 03:35:49,1588,0,2,0,52,0,142,0,0,0,0,0,120,69,0,0,56,8,0,6,0,6501,2,1,0,2,162,0,103
2025-08-06 04:37:23,4736,30,2,0,11,31,3154,1,0,0,0,0,235,158,0,0,97,8,0,6,0,19400,2,1,0,2,271,6,0
2025-08-06 06:03:37,4494,0,0,0,0,0,4493,0,0,0,0,0,1,1,0,0,1,2,0,0,0,18068,0,0,0,0,2,0,0
2025-08-06 07:04:17,4546,0,0,0,0,0,4545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18197,0,0,0,0,0,0,0
2025-08-06 08:04:56,9089,0,0,0,0,0,4543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36393,0,0,0,0,0,0,0
2025-08-06 09:06:07,13653,0,0,0,0,0,4565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54752,0,0,0,0,0,0,0
2025-08-06 10:07:55,18249,0,0,0,0,0,4595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73287,0,0,0,0,0,0,0
2025-08-06 11:10:05,22849,0,0,0,0,0,4601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91941,0,0,0,0,0,0,0
2025-08-06 12:14:49,27281,0,0,0,0,0,4432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111359,0,0,0,0,0,0,0
2025-08-06 13:23:55,30772,0,0,0,0,0,3486,0,0,0,0,0,23,17,0,0,3,0,0,20,0,128803,0,0,0,0,68,0,0
2025-08-06 15:25:02,35305,24,0,0,0,0,3784,0,14,0,0,0,74,55,0,0,9,2,0,74,0,156621,0,1,0,0,136,0,0
2025-08-06 17:46:54,35364,63,0,0,96,42,6626,32,20,0,0,0,467,300,110,1176,77,15,0,1199,0,175971,0,2,0,0,825,646,1
2025-08-06 19:31:30,38438,689,0,0,18,699,3232,18,20,0,0,0,577,352,110,1176,79,15,0,1301,0,192525,0,2,0,0,945,1371,15
2025-08-06 21:22:53,42215,729,0,0,32,42,3782,5,20,0,0,0,632,388,110,1176,96,15,0,1339,0,217610,0,2,0,0,1094,1445,0
2025-08-06 23:10:07,49943,1088,0,0,107,403,1054,27,20,0,0,0,1324,927,110,1176,188,77,0,3309,0,221115,0,2,0,0,1494,2065,0
2025-08-07 00:28:25,54354,1088,0,0,0,0,4412,0,20,0,0,0,1324,927,110,1176,188,77,0,3309,0,244606,0,2,0,0,1494,2065,0
2025-08-07 03:44:41,58256,1110,1,0,0,0,1216,0,20,0,0,0,1421,1016,110,1176,195,81,0,3313,0,263939,0,4,0,1,1559,2070,2325
2025-08-07 04:47:47,61859,1110,1,0,0,0,3948,0,20,0,0,0,1421,1016,110,1176,195,81,0,3313,0,282410,0,4,0,1,1559,2070,0
2025-08-07 06:03:49,4491,0,0,0,0,0,4204,0,0,0,0,0,108,85,0,0,25,2,0,287,0,17091,0,0,0,0,55,0,0
2025-08-07 07:04:46,9051,0,0,0,0,0,4559,0,0,0,0,0,108,85,0,0,25,2,0,287,0,35375,0,0,0,0,55,0,0
2025-08-07 08:05:52,13621,0,0,0,0,0,4571,0,0,0,0,0,108,85,0,0,25,2,0,287,0,53705,0,0,0,0,55,0,0
2025-08-07 09:07:46,18230,0,0,0,0,0,4609,0,0,0,0,0,108,85,0,0,25,2,0,287,0,72279,0,0,0,0,55,0,0
2025-08-07 10:10:53,22766,0,0,0,0,0,4536,0,0,0,0,0,108,85,0,0,25,2,0,287,0,91214,0,0,0,0,55,0,0
2025-08-07 11:14:46,27313,0,0,0,0,0,4546,0,0,0,0,0,108,85,0,0,25,2,0,287,0,110376,0,0,0,0,55,0,0
2025-08-07 12:21:32,31744,0,0,0,0,0,4431,0,0,0,0,0,108,85,0,0,25,2,0,287,0,130409,0,0,0,0,55,0,0
2025-08-07 13:29:37,36040,0,0,0,0,0,4296,0,0,0,0,0,108,85,0,0,25,2,0,287,0,150834,0,0,0,0,55,0,0
2025-08-07 14:40:09,39217,24,0,0,0,24,3144,0,0,0,0,0,141,114,0,0,29,2,0,288,0,170952,0,0,0,0,128,0,0
2025-08-07 16:00:11,41697,78,1,0,20,87,3505,26,0,0,0,0,228,181,0,0,33,2,0,689,0,190464,0,0,0,1,437,0,0
2025-08-07 17:35:42,41828,323,1,0,47,283,3039,8,25,1,0,0,514,275,420,420,155,44,0,708,6,198015,0,0,0,1,1221,121,0
2025-08-07 19:22:02,45134,356,4,0,0,41,3963,0,29,1,0,0,585,314,420,423,183,56,0,712,8,224218,0,0,0,4,1392,121,0
2025-08-07 20:59:52,47327,810,5,0,0,496,2443,0,29,1,0,0,728,382,427,431,210,64,0,747,8,240611,0,0,0,5,1604,130,724
2025-08-07 22:48:30,48608,810,5,0,0,0,1282,0,29,1,0,0,735,387,427,431,212,65,0,747,8,249084,0,0,0,5,1610,130,4771
2025-08-08 00:28:28,53498,810,5,0,0,0,4890,0,29,1,0,0,735,387,427,431,212,65,0,747,8,279074,0,0,0,5,1610,130,0
2025-08-08 01:45:52,57799,810,5,0,0,0,4301,0,29,1,0,0,735,387,427,431,212,65,0,747,8,302290,0,0,0,5,1610,130,0
2025-08-08 06:05:31,4524,0,0,0,0,0,4525,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18706,0,0,0,0,0,0,0
2025-08-08 07:08:16,4636,0,0,0,0,0,4636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18826,0,0,0,0,0,0,0
2025-08-08 08:11:25,9211,0,0,0,0,0,4575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37769,0,0,0,0,0,0,0
2025-08-08 09:14:20,13752,0,0,0,0,0,4541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56648,0,0,0,0,0,0,0
2025-08-08 10:18:02,18299,0,0,0,0,0,4546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75756,0,0,0,0,0,0,0
2025-08-08 11:27:38,22528,0,0,0,0,0,4229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96638,0,0,0,0,0,0,0
