record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:05:14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3172
2025-08-05 07:07:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3754
2025-08-05 08:10:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3732
2025-08-05 09:14:17,133,1,0,0,1,1,1,0,0,0,0,0,11,7,0,0,3,0,0,36,0,51,0,0,0,0,28,0,3103
2025-08-05 10:19:32,4454,1,0,0,0,0,13067,0,0,0,0,0,11,7,0,0,3,0,0,36,0,26493,0,0,0,0,29,0,1625
2025-08-05 11:26:30,5631,262,0,0,0,379,17748,0,0,0,0,0,14,8,0,0,2,0,0,63,0,36159,0,0,0,0,176,0,0
2025-08-05 12:42:11,2597,315,0,0,0,483,14870,0,0,0,0,0,13,8,0,0,4,0,0,45,0,32339,0,0,0,0,283,0,1047
2025-08-05 15:55:42,11156,1455,0,0,0,1510,14286,0,0,0,0,0,70,20,0,0,7,2,0,142,0,126597,0,1,0,0,731,0,348
2025-08-06 01:33:03,2851,273,0,0,0,405,7778,0,0,0,0,0,17,13,0,0,3,2,0,35,0,16278,0,0,0,0,421,0,119
2025-08-06 02:34:34,6152,278,0,0,0,395,16654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33897,0,0,0,0,112,0,313
2025-08-06 03:36:00,10529,380,0,0,0,155,15464,0,0,0,0,0,26,10,0,0,2,0,0,75,0,65938,0,0,0,0,322,0,0
2025-08-06 04:37:35,10775,380,0,0,0,0,1059,0,0,0,0,0,26,10,0,0,2,0,0,75,0,68099,0,0,0,0,322,0,3161
