record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-12 16:13:58,2706,4549,2,0,0,1394,139,13,307,1,0,0,603,258,46,47,166,64,54,15,199,3638,24,2,0,2,996,19,0
2025-08-12 19:48:50,914,2768,2,0,0,827,222,10,14,1,0,0,365,217,0,1,74,21,19,0,34,1843,2,1,0,2,659,0,81
2025-08-13 01:03:44,370,933,3,0,0,274,46,6,407,1,0,0,263,122,0,0,100,41,10,8,34,813,2,0,0,3,562,0,0
2025-08-13 12:53:50,538,1102,1,0,0,959,38,4,178,1,0,0,257,106,4,6,77,26,9,7,136,1641,19,3,0,1,707,0,0
2025-08-13 14:48:28,1645,2729,0,0,1,2940,405,74,205,1,0,0,494,246,9,10,86,36,20,26,517,4775,84,0,0,0,863,79,0
2025-08-13 16:48:33,1984,2798,0,0,0,90,176,24,346,1,0,0,715,420,9,10,110,41,25,30,1441,5349,202,0,0,0,1342,111,1758
2025-08-14 01:48:11,3062,4190,0,1,0,1253,156,16,457,1,0,3,2001,1484,9,10,166,68,34,69,1737,9549,295,7,0,0,2238,153,0
2025-08-14 02:57:41,3062,4190,0,0,0,0,0,0,457,1,0,3,2039,1514,9,10,168,68,34,69,1737,9584,295,7,0,0,2248,153,3274
2025-08-14 04:05:33,3063,4190,0,0,0,0,0,0,457,1,0,3,2039,1514,9,10,168,68,34,69,1737,9584,295,7,0,0,2248,153,4072
2025-08-14 06:06:16,366,909,0,0,0,266,56,13,174,1,0,0,348,242,0,0,49,14,8,4,607,618,96,0,0,0,332,0,0
2025-08-14 07:10:18,983,909,1,0,0,9,4,6,268,1,0,0,777,561,0,0,86,14,8,10,981,933,293,0,0,1,680,0,0
2025-08-14 08:14:00,1349,909,1,0,0,0,0,0,268,1,0,0,790,569,0,0,90,14,8,10,3299,953,563,0,0,1,710,0,2340
2025-08-14 14:56:21,1766,3002,1,2,0,3283,521,64,5,1,0,0,436,241,0,0,40,2,0,57,4,5484,0,1,0,1,626,190,19
2025-08-14 16:52:21,569,736,0,0,2,895,419,37,0,0,0,0,440,336,10,10,45,0,0,2,9,2004,1,0,0,0,245,150,257
2025-08-14 18:43:13,843,736,0,0,0,0,0,12,0,0,0,0,741,599,10,10,58,0,0,4,49,2262,1,0,0,0,487,150,3370
2025-08-15 17:01:52,343,854,0,0,0,336,160,17,11,0,0,0,468,351,2,6,50,4,2,6,3,1132,0,0,0,0,577,48,410
2025-08-15 18:57:29,380,952,0,0,0,52,25,2,30,0,0,0,602,409,2,6,112,4,2,12,3,1371,0,0,0,0,1241,61,2971
2025-08-16 16:10:15,32,14,0,0,0,17,78,78,7,1,0,0,263,208,0,0,54,7,0,2,0,331,0,2,0,0,290,1,2150
2025-08-16 18:03:47,41,24,0,0,0,10,226,24,20,1,0,0,352,263,7,7,70,7,0,3,0,680,0,2,0,0,464,48,4453
2025-08-16 23:41:28,467,260,1,0,0,141,616,21,22,1,1,0,914,660,14,15,150,11,0,9,1,2920,0,4,0,1,1222,592,1103
