record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 16:23:44,16,3478,0,0,0,13,206,21,1,1,0,0,173,153,0,0,20,3,1,12,0,596,0,0,0,0,278,0,3927
2025-08-05 22:33:29,843,1365,0,0,0,393,255,2,365,2,82,0,101,60,0,0,4,18,2,43,67,2226,0,6,0,0,485,0,3827
2025-08-05 23:59:27,843,1365,0,0,0,0,0,0,365,2,82,0,101,60,0,0,4,18,2,43,67,2226,0,6,0,0,485,0,5157
2025-08-07 20:53:58,1408,1964,0,0,3,2632,280,3,24,1,168,0,121,68,0,0,7,3,1,69,97,3320,2,0,0,0,403,0,1939
2025-08-07 22:42:25,1408,5154,0,0,0,1,0,0,24,1,168,0,125,71,0,0,8,3,1,69,97,3323,2,0,0,0,411,0,6048
2025-08-08 00:23:59,1883,9634,0,0,0,410,70,0,24,1,168,0,199,139,0,0,8,3,1,69,99,4184,2,0,0,0,685,0,4880
2025-08-08 14:50:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5845
2025-08-08 16:22:57,222,5063,0,0,1,100,55,14,6,1,0,0,94,75,0,0,8,2,0,155,0,459,0,0,0,0,287,0,4524
2025-08-08 18:08:22,943,7144,0,0,4,1109,275,16,6,2,65,0,230,166,0,0,16,3,1,185,6,2373,8,0,0,0,700,0,2894
2025-08-08 20:00:59,943,7144,0,0,0,0,0,0,6,2,65,0,230,166,0,0,16,3,1,185,6,2373,8,0,0,0,700,0,6756
2025-08-08 21:58:23,945,8579,0,0,0,6,268,0,6,2,65,0,253,184,0,0,17,3,1,185,6,2926,8,0,0,0,754,0,6442
2025-08-11 21:56:47,9,5256,0,0,1,35,619,14,1,0,0,0,78,71,0,0,12,2,0,2,0,1270,0,0,0,0,237,0,5689
2025-08-12 18:16:02,558,925,0,0,1,1002,767,7,24,1,0,0,150,114,0,0,9,5,3,4,0,2775,0,0,0,0,1297,11,2077
2025-08-12 20:08:08,172,197,0,0,0,249,323,0,0,0,0,0,245,135,0,0,0,0,0,3,0,935,0,0,0,0,196,112,3140
2025-08-12 22:04:05,445,4592,0,0,0,19,14,0,0,0,0,0,14,9,0,0,0,0,0,0,0,55,0,0,0,0,143,0,5618
2025-08-13 00:01:26,44,47,0,0,6,51,21,0,1,0,0,0,34,23,0,0,9,0,0,0,0,112,0,0,0,0,56,5,5830
2025-08-13 01:45:13,1092,5123,0,0,4,415,247,12,1,1,0,0,508,408,0,0,20,0,0,26,1472,1682,128,0,0,0,744,83,637
2025-08-13 13:40:01,69,40,0,0,0,31,0,0,0,0,0,0,170,161,0,0,7,5,1,0,0,228,0,1,0,0,215,1,4756
2025-08-13 15:37:04,69,40,0,0,0,0,0,0,0,0,0,0,170,161,0,0,7,5,1,0,0,228,0,1,0,0,215,1,7022
2025-08-13 17:35:39,69,40,0,0,0,0,0,0,0,0,0,0,170,161,0,0,7,5,1,0,0,228,0,1,0,0,215,1,7114
2025-08-13 19:32:47,74,4692,0,0,0,11,7,0,0,0,0,0,299,290,0,0,7,5,1,0,0,404,0,1,0,0,406,1,5163
