record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:05:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3468
2025-08-05 07:07:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3755
2025-08-05 08:10:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3731
2025-08-05 09:14:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3856
2025-08-05 10:19:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3916
2025-08-05 11:26:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4018
2025-08-05 12:42:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4542
2025-08-05 14:20:51,21,0,0,0,0,1,0,0,0,0,0,0,5,2,0,0,1,0,0,0,0,68,0,0,0,0,44,0,5520
2025-08-05 16:02:23,45,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,3,0,0,0,10344,234,191,0,0,0,63,0,5732
2025-08-05 17:41:37,45,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,3,0,0,0,20705,234,331,0,0,0,63,0,5954
2025-08-05 19:11:56,45,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,3,0,0,0,30198,234,449,0,0,0,63,0,5418
2025-08-05 20:44:34,45,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,3,4,0,0,38748,234,533,0,0,0,63,0,5558
2025-08-05 22:24:14,45,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,3,4,0,0,44780,234,581,0,0,0,63,0,5980
2025-08-05 23:51:27,45,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,3,4,0,0,53372,234,646,0,0,0,63,0,5232
2025-08-06 03:26:37,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,2,0,0,28,3,0,0,0,0,20,0,3359
2025-08-06 04:28:18,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,2,0,0,28,3,0,0,0,0,20,0,3701
2025-08-06 06:03:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3085
2025-08-06 07:03:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3639
2025-08-06 08:04:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3638
2025-08-06 09:05:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3671
2025-08-06 10:07:24,0,0,0,0,0,0,0,0,2,0,0,0,8,4,0,0,1,0,0,0,0,19,0,0,0,0,43,0,3009
2025-08-06 11:09:35,0,0,0,0,0,0,0,0,2,0,0,0,8,4,0,0,1,0,0,0,0,19,0,0,0,0,43,0,3730
2025-08-06 12:14:17,0,0,0,0,0,4,0,0,2,0,0,0,8,4,0,0,1,0,0,0,0,23,0,0,0,0,43,0,3570
2025-08-06 13:23:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4143
2025-08-06 14:39:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4556
2025-08-06 16:02:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4979
2025-08-06 17:39:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5813
2025-08-06 19:24:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6306
2025-08-06 21:14:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6635
2025-08-06 23:03:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6525
