record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-06 15:41:15,108,44,2,0,63,77,0,0,0,0,0,0,63,13,0,0,16,2,0,78,0,415,0,0,0,2,166,0,911
2025-08-06 17:12:26,111,114,5,0,10,105,0,0,3,0,0,0,94,23,0,0,32,2,0,107,0,641,0,0,0,5,500,0,3208
2025-08-06 18:58:07,2297,18678,5,0,3,1171,204,2,83,1,0,0,321,129,0,0,67,5,3,144,43,3090,10,0,0,5,1754,0,917
2025-08-06 20:46:32,3789,27793,7,0,24,1403,522,120,110,1,0,0,623,318,0,0,113,5,3,225,43,6422,10,0,0,7,2737,3,770
2025-08-07 14:38:39,1640,2094,0,0,6,2935,173,0,22,1,125,0,63,31,0,0,17,4,2,17,38,4356,14,0,0,0,461,0,0
2025-08-07 15:58:07,2406,9396,0,0,9,537,354,2,83,1,129,0,181,70,0,0,44,5,3,51,38,6317,14,0,0,0,1072,0,0
2025-08-07 18:49:59,3848,18262,0,0,21,132,60,17,155,1,129,0,470,196,0,0,100,13,5,126,38,8683,14,3,0,0,2284,40,2140
2025-08-07 21:36:25,3899,18364,1,0,7,150,182,0,476,1,140,0,991,489,0,0,184,50,36,175,101,10527,26,5,0,1,3667,78,410
2025-08-08 10:28:08,11,67,0,0,19,111,0,0,16,0,0,0,51,29,0,0,16,2,0,82,0,290,0,0,0,0,114,0,485
2025-08-08 11:38:09,450,2601,1,0,47,467,23,0,18,1,0,0,152,53,0,0,35,5,1,179,66,1155,0,0,0,1,434,0,29
2025-08-08 12:56:24,1629,8795,1,0,3,1286,122,0,22,1,0,0,263,118,0,0,55,8,3,230,134,3251,1,0,0,1,877,2,1547
2025-08-08 14:52:33,3417,20597,1,0,9,604,370,0,66,1,0,0,427,195,0,0,86,14,7,413,203,6020,1,1,0,1,2586,5,801
2025-08-08 16:25:05,4440,28969,1,0,7,287,294,179,123,1,0,0,612,322,0,0,112,15,8,583,241,7989,6,1,0,1,3031,12,996
2025-08-09 10:58:35,313,332,0,0,2,587,3,0,74,1,0,0,46,20,0,0,24,10,8,50,191,1303,2,0,0,0,906,0,1298
2025-08-09 12:20:17,426,471,1,0,4,245,11,0,137,1,0,0,111,57,0,0,41,15,13,134,242,2007,2,0,0,1,1390,0,1175
2025-08-09 20:51:28,840,2032,13,1,4,188,195,3,269,1,0,0,553,355,0,0,121,32,25,463,301,5214,4,2,0,13,5076,178,17489
